name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,duelLost,challengeLost,onTargetScoringAttempt,goals,interceptionWon,fouls,expectedGoals,expectedGoalsOnTarget,aerialLost,aerialWon,duelWon,bigChanceMissed,shotOffTarget,hitWoodwork,unsuccessfulTouch,blockedScoringAttempt,outfielderBlock,totalTackle,wonTackle,errorLeadToAGoal,sofascoreId,totalCross,accurateCross,dispossessed,totalContest,bigChanceCreated,wasFouled,keyPass,goalAssist,wonContest,totalOffside,penaltyWon,lastName,penaltyFaced,errorLeadToAShot,penaltyConceded
Jason Steele,jason-steele,J. Steele,G,23,188.0,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",39.0,25.0,23.0,10.0,21.0,27.0,4.0,12.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,90.0,44.0,6.4,14.0,0.00189138,"{'original': 6.4, 'alternative': 6.2}",0,0.2184,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hinshelwood,jack-hinshelwood,J. Hinshelwood,D,13,182.0,1551,M,1142315,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113177600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هينشلوود', 'hi': 'जैक हिन्शेलवुड', 'bn': 'জ্যাক হিনশেলউড'}, 'shortNameTranslation': {'ar': 'ج. هينشلوود', 'hi': 'जे. हिन्शेलवुड', 'bn': 'জে. হিনশেলউড'}}",41.0,29.0,5.0,,25.0,33.0,4.0,8.0,4.0,4.0,,,,,,90.0,54.0,6.9,13.0,0.00239524,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Jack Hinshelwood,3.0,1.0,1.0,1.0,1.0,2.0,0.3251,0.1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189.0,2983,M,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",47.0,42.0,6.0,3.0,32.0,35.0,10.0,12.0,3.0,4.0,,,,,,90.0,61.0,6.4,7.0,0.00438448,"{'original': 6.4, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,,,2.0,1.0,0.2078,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Lewis Dunk,lewis-dunk,L. Dunk,D,5,190.0,1872,M,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",43.0,38.0,7.0,4.0,27.0,28.0,11.0,15.0,5.0,4.0,,,,,,90.0,58.0,7.0,5.0,0.00665919,"{'original': 7, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,1.0,,1.0,,1.0,,0.475,0.5901,1.0,1.0,2.0,,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185.0,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",15.0,9.0,3.0,,5.0,8.0,4.0,7.0,4.0,1.0,,,,,,45.0,22.0,6.6,6.0,0.00270384,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,,,,3.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Pascal Groß,pascal-gross,P. Groß,M,13,181.0,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",64.0,56.0,5.0,2.0,35.0,38.0,24.0,33.0,4.0,10.0,,,,,,90.0,99.0,8.1,16.0,0.325795,"{'original': 8.1, 'alternative': 8.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,,,4.0,,,,,,7.0,,,,2.0,,1.0,6.0,3.0,,pascalgross65,7.0,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169.0,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",57.0,53.0,3.0,2.0,29.0,30.0,24.0,27.0,3.0,5.0,,,,,,90.0,68.0,6.9,6.0,0.0257713,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,billygilmour,,,,1.0,1.0,,1.0,,,,,,,,
James Milner,james-milner,J. Milner,M,20,175.0,3314,M,791,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,505180800,"{'value': 820000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ميلنر', 'hi': 'जेम्स मिलनर', 'bn': 'জেমস মিলনার'}, 'shortNameTranslation': {'ar': 'ج. ميلنر', 'hi': 'जे. मिलनर', 'bn': 'জে. মিলনার'}}",33.0,26.0,,,10.0,13.0,17.0,23.0,,8.0,,,,,,69.0,45.0,7.1,12.0,0.264985,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,3.0,,,,,0.0797,,,,1.0,,1.0,1.0,2.0,,,1.0,1.0,,,3.0,1.0,1.0,,,,2.0,1.0,,,,,,,
Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174.0,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",12.0,12.0,,,5.0,5.0,7.0,7.0,,2.0,,,,,,59.0,24.0,6.9,4.0,0.0234338,"{'original': 6.9, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Facundo Buonanotte,7.0,3.0,,,,1.0,0.1688,,1.0,,4.0,,,,2.0,2.0,1.0,2.0,1.0,,facubuonanotte_,,,1.0,2.0,,1.0,,,1.0,1.0,,,,,
Danny Welbeck,danny-welbeck,D. Welbeck,F,18,185.0,4472,M,33902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,659577600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني ويلبيك', 'hi': 'डैनी वेल्बेक', 'bn': 'ড্যানি ওয়েলবেক'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'hi': 'डी. वेल्बेक', 'bn': 'ডি. ওয়েলবেক'}}",19.0,16.0,,,8.0,9.0,8.0,11.0,1.0,4.0,,,,,,69.0,36.0,6.6,7.0,0.0118002,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,2.0,,1.0,,0.3936,0.6874,1.0,,3.0,2.0,,,,,,,,,,1.0,,,4.0,,1.0,,,2.0,,1.0,,,,
