minute,value
1.0,-8
2.0,-33
3.0,-30
4.0,-23
5.0,-21
6.0,-16
7.0,-11
8.0,-10
9.0,67
10.0,3
11.0,4
12.0,15
13.0,-13
14.0,-15
15.0,-6
16.0,-1
17.0,51
18.0,31
19.0,2
20.0,4
21.0,100
22.0,52
23.0,7
24.0,21
25.0,9
26.0,-8
27.0,14
28.0,-39
29.0,-19
30.0,23
31.0,8
32.0,4
33.0,52
34.0,14
35.0,-12
36.0,-9
37.0,-18
38.0,-4
39.0,-8
40.0,-20
41.0,-14
42.0,-4
43.0,-15
44.0,-4
45.0,65
45.5,-63
46.0,4
47.0,25
48.0,19
49.0,45
50.0,31
51.0,97
52.0,59
53.0,27
54.0,-31
55.0,-35
56.0,-31
57.0,-58
58.0,-32
59.0,32
60.0,22
61.0,16
62.0,14
63.0,3
64.0,21
65.0,5
66.0,-6
67.0,-16
68.0,-3
69.0,7
70.0,-8
71.0,-31
72.0,-11
73.0,-1
74.0,17
75.0,21
76.0,35
77.0,23
78.0,17
79.0,12
80.0,10
81.0,7
82.0,-35
83.0,-26
84.0,-19
85.0,-24
86.0,-47
87.0,-27
88.0,-35
89.0,-12
90.0,-25
90.5,-102
