name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,totalClearance,outfielderBlock,totalTackle,wonTackle,challengeLost,shotOffTarget,interceptionWon,fouls,totalOffside,expectedGoals,totalContest,wonContest,bigChanceMissed,onTargetScoringAttempt,clearanceOffLine,wasFouled,expectedGoalsOnTarget,sofascoreId,totalCross,dispossessed,unsuccessfulTouch,blockedScoringAttempt,goals,accurateCross,bigChanceCreated,hitWoodwork,errorLeadToAShot,keyPass,goalAssist,firstName,lastName,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194.0,8808,M,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",27.0,19.0,15.0,7.0,17.0,17.0,2.0,10.0,6.0,,1.0,4.0,90.0,38.0,6.9,8.0,0.00025556,"{'original': 6.9, 'alternative': 6.6}",0,-0.3633,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,,,,,,,,,,,,,,,,,dj.petrovic12,,,,,,,,,,,,,,1.0,1.0,
Malo Gusto,gusto-malo,M. Gusto,D,27,179.0,18882,M,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",42.0,37.0,3.0,3.0,21.0,23.0,17.0,21.0,3.0,,,,80.0,58.0,6.9,8.0,0.227312,"{'original': 6.9, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,3.0,4.0,2.0,,1.0,1.0,,,,,,0.017,,,,,,2.0,,malogst,2.0,,2.0,1.0,,1.0,,,1.0,2.0,,,,,,
Axel Disasi,axel-disasi,A. Disasi,D,2,190.0,8850,M,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",84.0,76.0,4.0,,48.0,52.0,28.0,33.0,4.0,,,,90.0,97.0,7.0,10.0,0.0452737,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,4.0,2.0,6.0,4.0,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,axel_disasi,1.0,,1.0,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181.0,43819,M,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",76.0,70.0,7.0,4.0,51.0,55.0,19.0,21.0,6.0,,,,90.0,86.0,6.5,6.0,0.0109739,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,3.0,5.0,4.0,1.0,2.0,,2.0,,,,,,,,,,,,,ThiagoSilva,,,,,,,,,1.0,,,,,,,
Levi Colwill,levi-colwill,L. Colwill,D,6,187.0,17567,M,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",47.0,44.0,1.0,1.0,26.0,27.0,18.0,20.0,7.0,,,,79.0,63.0,7.0,4.0,0.0161911,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,6.0,,,3.0,1.0,,,1.0,1.0,,,2.0,2.0,,,,1.0,,LColwill,,,1.0,,,,,,,,,,,,,
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,188.0,5188,M,1048916,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1080259200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'hi': 'लेस्ली उगोचुकु', 'bn': 'লেসলি উগোচুকউ'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'hi': 'एल. उगोचुकु', 'bn': 'এল. উগোচুকউ'}}",37.0,32.0,1.0,,18.0,20.0,14.0,17.0,2.0,,,,59.0,42.0,6.8,6.0,0.00624456,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,3.0,6.0,,1.0,2.0,2.0,1.0,,,1.0,,,,,,,,1.0,,l.ugochukwu8,,1.0,,,,,,,,,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182.0,15436,M,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",71.0,65.0,6.0,4.0,30.0,32.0,36.0,40.0,10.0,,,,90.0,88.0,7.0,10.0,0.0591662,"{'original': 7, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,,6.0,5.0,,,2.0,1.0,,,1.0,3.0,,0.1755,2.0,2.0,,1.0,,1.0,0.0526,conorgallagher92,1.0,2.0,2.0,2.0,,1.0,,,,,,,,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185.0,368423,M,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",63.0,56.0,7.0,5.0,14.0,16.0,42.0,52.0,4.0,,,,90.0,85.0,7.0,20.0,0.190353,"{'original': 7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,7.0,3.0,1.0,,2.0,2.0,2.0,1.0,,1.0,,0.0601,3.0,1.0,,,,,,ColdPalmer,5.0,2.0,4.0,1.0,,,,,,3.0,,,,,,
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186.0,86972,M,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",20.0,17.0,,,3.0,3.0,14.0,17.0,1.0,,,,80.0,32.0,6.3,11.0,0.0702207,"{'original': 6.3, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,7.0,3.0,1.0,1.0,,,,,,1.0,,0.0215,3.0,,,,,1.0,,NJackson11,,3.0,2.0,1.0,,,,,,2.0,,Nicolas Jackson,,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170.0,37771,M,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",34.0,27.0,1.0,,4.0,5.0,24.0,34.0,3.0,,,,90.0,58.0,7.3,19.0,0.717883,"{'original': 7.3, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,8.0,5.0,,,1.0,1.0,,1.0,1.0,2.0,,0.8091,4.0,2.0,1.0,1.0,,2.0,0.4206,Sterling7,5.0,3.0,3.0,1.0,,1.0,1.0,,,2.0,1.0,,,,,
Armando Broja,armando-broja,A. Broja,F,27,191.0,8884,M,996985,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,1000080000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرماندو برويا', 'hi': 'अरमांडो ब्रोजा', 'bn': 'আরমান্দো ব্রজা'}, 'shortNameTranslation': {'ar': 'أ. برويا', 'hi': 'ए. ब्रोजा', 'bn': 'এ. ব্রজা'}}",8.0,7.0,,,3.0,4.0,4.0,4.0,1.0,,,,59.0,16.0,6.7,4.0,0.0223066,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,3.0,2.0,,,,,,1.0,,,,0.1478,2.0,1.0,,,,1.0,,armando.broja,,,1.0,,,,,,,,,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175.0,52950,M,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",20.0,17.0,1.0,1.0,2.0,2.0,15.0,21.0,,,,,31.0,28.0,6.8,9.0,0.0428659,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,2.0,2.0,,,2.0,2.0,,,,,,,1.0,,,,,,,MMudryk10,3.0,,2.0,,,,,,,,,,,,,
Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175.0,52393,M,769333,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,879465600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر نكونكو', 'hi': 'क्रिस्टोफर नकुंकू', 'bn': 'ক্রিস্টোফার এনকুঙ্কু'}, 'shortNameTranslation': {'ar': 'ك. نكونكو', 'hi': 'सी. नकुंकू', 'bn': 'সি. এনকুঙ্কু'}}",18.0,18.0,,,4.0,4.0,14.0,15.0,,,,,31.0,26.0,7.6,3.0,0.127479,"{'original': 7.6, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,,,,,,,,,0.8157,,,,3.0,,,0.9955,Nkunku,1.0,,2.0,1.0,1.0,,,,,,,,,,,
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178.0,5423,M,976263,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1015718400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيان ماتسين', 'hi': 'इयान मात्सेन', 'bn': 'ইয়ান মাতসেন'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'hi': 'आई. मात्सेन', 'bn': 'আই. মাতসেন'}}",14.0,8.0,1.0,,2.0,6.0,6.0,8.0,1.0,,,,11.0,19.0,6.1,6.0,0.00673138,"{'original': 6.1, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,maatsen_,,,,,,,,,,,,,,,,
Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194.0,10333,M,904827,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985564800,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بينوا بادياشيل', 'hi': 'बेनोइट बाडियाशिले', 'bn': 'বেনেডিক্ট বাদিয়াশিলে'}, 'shortNameTranslation': {'ar': 'ب. بادياشيل', 'hi': 'बी. बाडियाशिले', 'bn': 'বি.বাদিয়াশিলে'}}",26.0,22.0,4.0,3.0,13.0,16.0,9.0,10.0,5.0,,,,10.0,29.0,5.3,4.0,0.00478701,"{'original': 5.3, 'alternative': 5.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,badiashile,,,,,,,,,,,,,,,,1.0
Noni Madueke,noni-madueke,N. Madueke,M,20,182.0,40433,M,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",13.0,12.0,,,4.0,4.0,9.0,12.0,2.0,,,,10.0,23.0,6.7,7.0,0.159531,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,2.0,,,,,1.0,1.0,,,,0.0121,3.0,1.0,,,,1.0,,nonzinoo10,3.0,,2.0,,,1.0,,,,1.0,,,,,,
Lucas Bergström,lucas-bergstrom,L. Bergström,G,13,206.0,3384,M,996903,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1031184000,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس بيرغستروم', 'hi': 'लुकास बर्गस्ट्रोम', 'bn': 'লুকাস বার্গস্ট্রোম'}, 'shortNameTranslation': {'ar': 'ل. بيرغستروم', 'hi': 'एल. बर्गस्ट्रोम', 'bn': 'এল. বার্গস্ট্রোম'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Bettinelli,marcus-bettinelli,M. Bettinelli,G,13,194.0,7252,M,257993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,706665600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس بتينلي', 'hi': 'मार्कस बेट्टीनेली', 'bn': 'মার্কাস বেটিনেলি'}, 'shortNameTranslation': {'ar': 'م. بتينلي', 'hi': 'एम. बेट्टीनेली', 'bn': 'এম. বেটিনেল্লি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,marcusbettss,,,,,,,,,,,,,,,,
Roméo Lavia,romeo-lavia,R. Lavia,M,45,181.0,16600,M,1069488,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1073347200,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روميو لافيا', 'hi': 'रोमियो लाविया', 'bn': 'রোমিও লাভিয়া'}, 'shortNameTranslation': {'ar': 'ر. لافيا', 'hi': 'आर. लाविया', 'bn': 'আর. লাভিয়া'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,romeolavia,,,,,,,,,,,,Romeo Lavia,,,,
Alex Matos,matos-alex,A. Matos,M,28,175.0,600,M,1186050,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1096761600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتوس، أليكس', 'hi': 'माटोस, एलेक्स', 'bn': 'মাতোস, অ্যালেক্স'}, 'shortNameTranslation': {'ar': 'أ. ماتوس', 'hi': 'ए. माटोस', 'bn': 'এ. মাতোস'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
