minute,value
1.0,11
2.0,10
3.0,22
4.0,27
5.0,26
6.0,24
7.0,40
8.0,26
9.0,17
10.0,-33
11.0,-29
12.0,-20
13.0,-13
14.0,-16
15.0,-9
16.0,-88
17.0,-48
18.0,-41
19.0,-82
20.0,-45
21.0,35
22.0,-12
23.0,40
24.0,25
25.0,-18
26.0,-21
27.0,-35
28.0,24
29.0,6
30.0,-39
31.0,-15
32.0,-2
33.0,-12
34.0,-11
35.0,-19
36.0,-13
37.0,-18
38.0,-15
39.0,-13
40.0,-26
41.0,-19
42.0,-14
43.0,-22
44.0,-7
45.0,6
45.5,17
46.0,-3
47.0,-10
48.0,15
49.0,13
50.0,50
51.0,56
52.0,33
53.0,-20
54.0,-68
55.0,-26
56.0,20
57.0,-5
58.0,30
59.0,22
60.0,11
61.0,14
62.0,22
63.0,7
64.0,-49
65.0,-25
66.0,-5
67.0,-6
68.0,12
69.0,4
70.0,-5
71.0,-7
72.0,8
73.0,17
74.0,40
75.0,19
76.0,-15
77.0,18
78.0,15
79.0,13
80.0,68
81.0,46
82.0,34
83.0,57
84.0,30
85.0,11
86.0,4
87.0,10
88.0,12
89.0,33
90.0,21
90.5,-59
