name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,ballRecovery,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,aerialWon,duelWon,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,aerialLost,shotOffTarget,outfielderBlock,expectedGoals,unsuccessfulTouch,fouls,onTargetScoringAttempt,hitWoodwork,expectedGoalsOnTarget,accurateCross,blockedScoringAttempt,totalOffside,goals,bigChanceMissed,firstName,lastName,savedShotsFromInsideTheBox,saves,punches,goalAssist,bigChanceCreated
Daniel Bentley,daniel-bentley,D. Bentley,G,25,188,263,M,101367,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,742521600,"{'value': 910000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيال بنتلي', 'hi': 'डैनियल बेंटले', 'bn': 'ড্যানিয়েল বেন্টলি'}, 'shortNameTranslation': {'ar': 'د. بنتلي', 'hi': 'डी. बेंटले', 'bn': 'ডি. বেন্টলি'}}",45.0,28.0,24.0,7.0,22.0,27.0,6.0,18.0,1.0,1.0,7.0,90.0,47.0,5.6,17.0,0.00135694,"{'original': 5.6, 'alternative': 5.6}",0,-1.3517,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7468,M,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",59.0,52.0,7.0,4.0,24.0,26.0,28.0,34.0,5.0,,5.0,90.0,83.0,6.3,14.0,0.0187054,"{'original': 6.3, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,nelsonsemedo50,1.0,1.0,7.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
Max Kilman,max-kilman,M. Kilman,D,3,192,1235,M,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",80.0,75.0,6.0,3.0,56.0,58.0,19.0,22.0,3.0,,6.0,90.0,89.0,6.8,7.0,0.00633924,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,3.0,3.0,1.0,,,1.0,2.0,,,1.0,,2.0,1.0,2.0,0.0356,,,,,,,,,,,,,,,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,187,1089,M,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",58.0,49.0,7.0,2.0,30.0,32.0,19.0,27.0,2.0,1.0,3.0,89.0,72.0,6.7,11.0,0.00925181,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,4.0,7.0,,,,2.0,1.0,1.0,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
Matt Doherty,matt-doherty,M. Doherty,D,2,182,1503,M,143047,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,695520000,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات دوهيرتي', 'hi': 'मैट डोहर्टी', 'bn': 'ম্যাট ডোহার্টি'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'hi': 'एम. डोहर्टी', 'bn': 'এম. ডোহার্টি'}}",46.0,37.0,2.0,2.0,16.0,17.0,21.0,30.0,9.0,1.0,7.0,79.0,68.0,6.9,11.0,0.0179495,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,2.0,4.0,1.0,,,1.0,1.0,2.0,2.0,,,7.0,,,0.1112,,,1.0,1.0,0.0804,,,,,,,,,,,,
João Gomes,joao-gomes,J. Gomes,M,8,176,15514,M,1015267,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,981936000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",43.0,34.0,2.0,,12.0,12.0,25.0,36.0,8.0,1.0,8.0,90.0,76.0,7.1,20.0,0.0650246,"{'original': 7.1, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,joaogomes.01,5.0,,10.0,4.0,3.0,2.0,,,7.0,2.0,1.0,2.0,,1.0,1.0,0.1101,3.0,2.0,,,,3.0,1.0,,,,,,,,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,184,8485,M,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",71.0,62.0,8.0,4.0,35.0,39.0,27.0,33.0,7.0,1.0,3.0,90.0,88.0,6.7,12.0,0.00737005,"{'original': 6.7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,6.0,,2.0,,3.0,1.0,5.0,3.0,,,2.0,,,0.1127,,2.0,1.0,,0.0641,,1.0,,,,,,,,,,
Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183,1017,M,982613,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,998265600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر تراوري', 'hi': 'बौबाकर ट्रैओरे', 'bn': 'বউবাকার ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",33.0,30.0,1.0,,19.0,19.0,12.0,16.0,8.0,1.0,3.0,45.0,43.0,6.4,7.0,0.0263677,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,1.0,4.0,2.0,1.0,1.0,,,2.0,2.0,,1.0,3.0,,,,1.0,3.0,,,,1.0,,,,,,,,,,,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,39814,M,931278,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,991785600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",18.0,15.0,1.0,,10.0,12.0,6.0,8.0,1.0,,1.0,61.0,35.0,7.1,7.0,0.10077,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,r_aitnouri,2.0,,3.0,1.0,2.0,2.0,,,1.0,1.0,,1.0,,,,0.1856,1.0,,2.0,,0.2292,1.0,,1.0,,,,,,,,,
Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,62297,M,886363,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,927763200,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس كونيا', 'hi': 'मैथियस कुन्हा', 'bn': 'ম্যাথিউস কুনহা'}, 'shortNameTranslation': {'ar': 'م. كونيا', 'hi': 'एम. कुन्हा', 'bn': 'এম. কুনহা'}}",27.0,22.0,2.0,2.0,5.0,5.0,17.0,26.0,7.0,,2.0,90.0,50.0,7.7,14.0,0.0441548,"{'original': 7.7, 'alternative': 7.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Cunha,4.0,1.0,5.0,1.0,4.0,2.0,,,,,2.0,,2.0,,,0.3561,1.0,2.0,3.0,,0.2855,,1.0,,1.0,,,,,,,,
