name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,totalCross,fouls,firstName,lastName,ownGoals,unsuccessfulTouch,keyPass,wonContest,wasFouled,onTargetScoringAttempt,goals,expectedGoals,expectedGoalsOnTarget,accurateCross,bigChanceMissed,shotOffTarget,blockedScoringAttempt,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot,bigChanceCreated,totalOffside,hitWoodwork
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",50.0,35.0,26.0,11.0,0.0,31.0,34.0,4.0,16.0,7.0,3.0,5.0,90.0,58.0,7.5,15.0,0.00096928,"{'original': 7.5, 'alternative': 7.3}",0,-0.4193,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,13565,M,yungchalobah,826134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,931132800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تريفوه تشالوبا', 'hi': 'ट्रेवोह चालोबा', 'bn': 'ত্রেভহ চালোবাহ'}, 'shortNameTranslation': {'ar': 'ت. تشالوبا', 'hi': 'टी. चालोबा', 'bn': 'টি. চালোবাহ'}}",51.0,44.0,8.0,5.0,0.0,33.0,37.0,11.0,14.0,2.0,,,90.0,67.0,6.8,10.0,0.005899,"{'original': 6.8, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",57.0,52.0,5.0,3.0,0.0,41.0,41.0,11.0,17.0,4.0,,,90.0,66.0,6.8,6.0,0.00358542,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,3.0,4.0,3.0,1.0,,,7.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10333,M,badiashile,904827,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985564800,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بينوا بادياشيل', 'hi': 'बेनोइट बाडियाशिले', 'bn': 'বেনেডিক্ট বাদিয়াশিলে'}, 'shortNameTranslation': {'ar': 'ب. بادياشيل', 'hi': 'बी. बाडियाशिले', 'bn': 'বি.বাদিয়াশিলে'}}",63.0,55.0,8.0,4.0,0.0,47.0,53.0,8.0,10.0,4.0,,,90.0,77.0,6.6,10.0,0.013026,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,6.0,2.0,1.0,1.0,,5.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,cucurella3,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",52.0,46.0,1.0,,0.0,30.0,34.0,16.0,20.0,4.0,,,90.0,82.0,7.4,11.0,0.0172735,"{'original': 7.4, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,11.0,1.0,2.0,1.0,1.0,,1.0,6.0,3.0,2.0,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",52.0,44.0,3.0,2.0,0.0,29.0,35.0,15.0,17.0,6.0,,,64.0,70.0,7.8,12.0,0.0198955,"{'original': 7.8, 'alternative': 7.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,7.0,,2.0,3.0,1.0,1.0,3.0,6.0,4.0,,,,,,,1.0,1.0,,1.0,1.0,0.0426,0.3997,,,,,,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",53.0,50.0,3.0,2.0,0.0,28.0,28.0,24.0,29.0,7.0,,,90.0,76.0,7.7,7.0,0.113824,"{'original': 7.7, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,1.0,3.0,9.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,1.0,,5.0,2.0,1.0,,0.2653,0.8491,2.0,1.0,1.0,,,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",20.0,19.0,3.0,3.0,0.0,8.0,8.0,11.0,13.0,4.0,,,64.0,30.0,6.7,5.0,0.0262842,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,4.0,4.0,2.0,,4.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,2.0,,,,0.0548,,,,,1.0,,,,,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",31.0,25.0,5.0,4.0,1.0,9.0,12.0,18.0,24.0,2.0,,,89.0,53.0,7.2,15.0,0.196199,"{'original': 7.2, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,3.0,,2.0,5.0,,,1.0,1.0,,5.0,,,,,1.0,4.0,2.0,,,,0.1757,,2.0,,1.0,2.0,,,,,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",24.0,21.0,1.0,1.0,0.0,9.0,9.0,12.0,16.0,2.0,,,64.0,43.0,7.6,11.0,0.0336332,"{'original': 7.6, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,5.0,,,6.0,,,,1.0,,1.0,1.0,,,,4.0,3.0,3.0,1.0,1.0,1.0,0.1968,0.1788,,,1.0,,,,,,,,
