name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,duelWon,challengeLost,totalContest,wonContest,ballRecovery,lastManTackle,totalTackle,wonTackle,errorLeadToAShot,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,aerialLost,aerialWon,totalClearance,interceptionWon,unsuccessfulTouch,keyPass,dispossessed,shotOffTarget,blockedScoringAttempt,wasFouled,fouls,expectedGoals,totalCross,outfielderBlock,errorLeadToAGoal,accurateCross,onTargetScoringAttempt,totalOffside,expectedGoalsOnTarget,clearanceOffLine,hitWoodwork,goals,sofascoreId,goalAssist,bigChanceCreated,bigChanceMissed
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",37.0,29.0,10.0,4.0,27.0,32.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,6.0,3.0,1.0,90.0,53.0,7.3,8.0,0.00100515,"{'original': 7.3, 'alternative': 7.2}",0,-0.2995,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",55.0,46.0,6.0,2.0,16.0,20.0,30.0,35.0,2.0,5.0,1.0,1.0,1.0,9.0,,1.0,,,,,,,90.0,68.0,7.0,11.0,0.03779,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,3.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
Gabriel Osho,gabriel-osho,G. Osho,D,3,185,835,M,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",48.0,42.0,3.0,1.0,25.0,27.0,17.0,21.0,6.0,5.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,90.0,64.0,6.9,8.0,0.0123432,"{'original': 6.9, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,2.0,3.0,,,2.0,2.0,1.0,1.0,1.0,0.2375,,,,,,,,,,,,,,
Amari'i Bell,amarii-bell,A. Bell,D,17,179,253,M,369674,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,768096000,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اماري بيل', 'hi': ""अमरी'ई बेल"", 'bn': 'আমারি বেল'}, 'shortNameTranslation': {'ar': 'ا. بيل', 'hi': 'एक बेल', 'bn': 'এ. বেল'}}",57.0,46.0,,,27.0,31.0,19.0,27.0,6.0,6.0,,2.0,1.0,7.0,,3.0,1.0,,,,,,90.0,81.0,6.6,16.0,0.018287,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,,1.0,2.0,,1.0,,,1.0,3.0,,1.0,3.0,1.0,,,,,,,,,,,
Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,181,794,M,849309,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,862444800,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",31.0,30.0,1.0,1.0,4.0,4.0,28.0,35.0,1.0,5.0,,4.0,3.0,6.0,,,,,,,,,90.0,58.0,7.6,13.0,0.198281,"{'original': 7.6, 'alternative': 7.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,,4.0,1.0,,1.0,1.0,2.0,,0.2189,8.0,,,2.0,2.0,1.0,0.1857,,,,,,,
Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3693,M,901892,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,940550400,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",72.0,69.0,6.0,5.0,34.0,34.0,35.0,38.0,1.0,3.0,,1.0,1.0,9.0,,,,,,,,,90.0,90.0,8.5,4.0,0.29713,"{'original': 8.5, 'alternative': 8.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,1.0,,2.0,1.0,1.0,,2.0,,0.0199,,4.0,,,,,,1.0,,,,,,
Ross Barkley,ross-barkley,R. Barkley,M,6,188,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",71.0,62.0,7.0,5.0,23.0,26.0,40.0,46.0,2.0,11.0,1.0,6.0,5.0,11.0,,2.0,,,,,,,90.0,88.0,8.2,10.0,0.194636,"{'original': 8.2, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,1.0,1.0,,4.0,,2.0,,2.0,,0.0909,1.0,,,1.0,,,,,1.0,,,,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,183,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",46.0,34.0,5.0,1.0,15.0,19.0,23.0,43.0,5.0,2.0,3.0,1.0,,3.0,,1.0,,,,,,,82.0,79.0,6.7,27.0,0.276631,"{'original': 6.7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,,1.0,3.0,,1.0,1.0,1.0,1.0,0.1747,16.0,,,4.0,,1.0,,,,,,,,
Carlton Morris,carlton-morris,C. Morris,F,9,185,1084,M,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",28.0,18.0,1.0,1.0,3.0,6.0,15.0,23.0,3.0,11.0,,3.0,2.0,2.0,,1.0,1.0,,,,,,90.0,51.0,8.2,16.0,0.0282972,"{'original': 8.2, 'alternative': 8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,2.0,2.0,2.0,,2.0,2.0,,3.0,,6.0,,0.7151,1.0,,,,1.0,,0.6181,,,1.0,,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185,1675,M,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",36.0,27.0,2.0,,2.0,5.0,25.0,33.0,5.0,4.0,2.0,3.0,2.0,2.0,,,,,,,,,68.0,49.0,6.6,15.0,0.237403,"{'original': 6.6, 'alternative': 6.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,,,,,2.0,,3.0,1.0,,0.1241,2.0,,,,,1.0,,,,,,,,
