minute,value
1.0,-3
2.0,-6
3.0,25
4.0,9
5.0,3
6.0,-5
7.0,33
8.0,27
9.0,-31
10.0,-15
11.0,-32
12.0,-22
13.0,-3
14.0,-40
15.0,-48
16.0,-60
17.0,-42
18.0,-82
19.0,-46
20.0,-28
21.0,-16
22.0,21
23.0,31
24.0,14
25.0,5
26.0,-66
27.0,-43
28.0,-31
29.0,-35
30.0,-21
31.0,-13
32.0,-1
33.0,-24
34.0,-14
35.0,-10
36.0,-12
37.0,-3
38.0,-3
39.0,21
40.0,4
41.0,6
42.0,5
43.0,19
44.0,13
45.0,49
45.5,-19
46.0,-3
47.0,-3
48.0,-14
49.0,-10
50.0,-24
51.0,-16
52.0,-12
53.0,52
54.0,28
55.0,-19
56.0,-28
57.0,-16
58.0,-30
59.0,-18
60.0,-8
61.0,-11
62.0,-19
63.0,-16
64.0,-4
65.0,-9
66.0,7
67.0,50
68.0,40
69.0,28
70.0,23
71.0,13
72.0,-6
73.0,-3
74.0,26
75.0,26
76.0,35
77.0,21
78.0,26
79.0,13
80.0,33
81.0,60
82.0,55
83.0,43
84.0,17
85.0,9
86.0,4
87.0,-24
88.0,-5
89.0,5
90.0,6
90.5,147
