name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,expectedGoals,sofascoreId,blockedScoringAttempt,wonTackle,challengeLost,dispossessed,totalContest,lastManTackle,keyPass,bigChanceCreated,onTargetScoringAttempt,expectedGoalsOnTarget,wonContest,outfielderBlock,unsuccessfulTouch,goalAssist,goals,bigChanceMissed,penaltyConceded,penaltyWon,goodHighClaim
Bart Verbruggen,,,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",37.0,31.0,13.0,7.0,28.0,31.0,3.0,6.0,13.0,2.0,1.0,3.0,90.0,47.0,7.2,6.0,0.00039258,"{'original': 7.2, 'alternative': 6.5}",0,-0.2302,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Joël Veltman,,,joel-veltman,J. Veltman,D,34,184,1159,M,219572,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,695433600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",54.0,42.0,9.0,3.0,21.0,26.0,21.0,29.0,4.0,,,,90.0,78.0,7.0,19.0,0.0114995,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,4.0,3.0,5.0,5.0,,5.0,3.0,,2.0,,0.1354,,,,,,1.0,,,,,,,1.0,1.0,,,,,,
Jan Paul van Hecke,,,jan-paul-van-hecke,J. P. van Hecke,D,6,189,2983,M,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",80.0,77.0,7.0,7.0,55.0,57.0,22.0,23.0,3.0,,,,90.0,92.0,7.3,3.0,0.00580263,"{'original': 7.3, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,2.0,2.0,3.0,,6.0,,,1.0,,0.0582,,,,,,,,,,1.0,0.061,,2.0,,,,,,,
Lewis Dunk,,,lewis-dunk,L. Dunk,D,5,190,1872,M,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",99.0,94.0,8.0,7.0,67.0,68.0,27.0,31.0,5.0,,,,73.0,108.0,7.1,5.0,0.399602,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,2.0,,2.0,1.0,1.0,2.0,,,,0.1322,,1.0,,,,,,,,,,,3.0,,,,,,,
Tariq Lamptey,,,lamptey-tariq,T. Lamptey,D,48,165,4099,M,914691,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,970272000,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لامبتي، تاريك', 'hi': 'लैम्पटे, तारिक', 'bn': 'ল্যাম্পটে, তারিক'}, 'shortNameTranslation': {'ar': 'ت. لامبتي', 'hi': 'टी. लैम्पटे', 'bn': 'টি. ল্যাম্পটে'}}",18.0,14.0,,,9.0,10.0,6.0,12.0,,,,,34.0,24.0,6.3,7.0,0.00891378,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,,,2.0,1.0,,,,,1.0,1.0,,TariqLamptey,,,1.0,,,,,,,,,,,,,,,,
Pascal Groß,,,pascal-gross,P. Groß,M,13,181,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",72.0,62.0,8.0,4.0,45.0,50.0,20.0,31.0,5.0,,,,90.0,92.0,8.3,18.0,0.225598,"{'original': 8.3, 'alternative': 8.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,9.0,3.0,2.0,1.0,3.0,4.0,,2.0,,2.0,,,,pascalgross65,,2.0,1.0,,1.0,,5.0,,,,1.0,,2.0,2.0,,,,,
Billy Gilmour,,,gilmour-billy,B. Gilmour,M,6,169,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",58.0,53.0,1.0,,32.0,35.0,21.0,23.0,2.0,,,,77.0,67.0,7.0,7.0,0.0409314,"{'original': 7, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2134,billygilmour,,,,,,,,,1.0,0.3527,,,2.0,,,,,,
Simon Adingra,,,simon-adingra,S. Adingra,M,24,175,45746,M,1110842,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1009843200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",36.0,29.0,3.0,2.0,9.0,11.0,20.0,26.0,9.0,,,,90.0,48.0,6.7,11.0,0.0728512,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,1.0,3.0,4.0,,1.0,1.0,1.0,,1.0,,simon.adingra,,,1.0,1.0,2.0,,1.0,,,,2.0,,2.0,,,,,,
Adam Lallana,,,adam-lallana,A. Lallana,M,10,172,1265,M,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",19.0,17.0,,,8.0,9.0,9.0,10.0,2.0,,,,45.0,22.0,6.4,4.0,0.00738787,"{'original': 6.4, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
Ansu Fati,,,ansu-fati,A. Fati,F,31,178,177605,M,962883,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1036022400,"{'value': 10400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",7.0,7.0,,,3.0,3.0,4.0,4.0,1.0,,,,21.0,10.0,6.6,1.0,0.0111284,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,1.0,,,,0.0353,AnsuFati,1.0,,,,,,1.0,,,,,,1.0,,,,,,
Evan Ferguson,,,evan-ferguson,E. Ferguson,F,11,188,8187,M,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",17.0,12.0,1.0,,6.0,7.0,6.0,10.0,2.0,,,,77.0,25.0,7.5,6.0,0.0486525,"{'original': 7.5, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,1.0,3.0,,1.0,,2.0,1.0,,0.0906,EvanFerguson9,,2.0,,,,,,,1.0,0.4368,,1.0,1.0,,1.0,,,,
João Pedro,,,joao-pedro,J. Pedro,F,20,182,86665,M,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",20.0,14.0,1.0,1.0,6.0,7.0,8.0,14.0,3.0,,,,69.0,52.0,9.0,18.0,0.0317755,"{'original': 9, 'alternative': 8.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,2.0,4.0,7.0,11.0,,4.0,,3.0,3.0,,0.8184,joaopedro,,2.0,,3.0,3.0,,,,2.0,1.2841,1.0,,5.0,,2.0,,,1.0,
Jack Hinshelwood,Jack Hinshelwood,,jack-hinshelwood,J. Hinshelwood,D,13,182,1551,M,1142315,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113177600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هينشلوود', 'hi': 'जैक हिन्शेलवुड', 'bn': 'জ্যাক হিনশেলউড'}, 'shortNameTranslation': {'ar': 'ج. هينشلوود', 'hi': 'जे. हिन्शेलवुड', 'bn': 'জে. হিনশেলউড'}}",17.0,15.0,1.0,1.0,10.0,10.0,5.0,7.0,,,,,56.0,31.0,6.4,3.0,0.0447797,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,1.0,4.0,3.0,,4.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,
Facundo Buonanotte,Facundo Buonanotte,,facundo-buonanotte,F. Buonanotte,M,40,174,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",8.0,7.0,,,3.0,3.0,4.0,5.0,,,,,45.0,16.0,6.5,4.0,0.00895689,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,,5.0,4.0,,,,2.0,2.0,,,facubuonanotte_,,1.0,,2.0,1.0,,,,,,,,,,,,,,
Carlos Baleba,,,baleba-carlos,C. Baleba,M,17,179,22765,M,1199043,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,1073088000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",6.0,4.0,1.0,,2.0,3.0,2.0,3.0,2.0,,,,13.0,12.0,6.6,2.0,0.00031684,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,2.0,1.0,,3.0,,,,1.0,,carlos_baleba,,,1.0,,,,,,,,,,,,,,,,
Jakub Moder,,,jakub-moder,J. Moder,M,7,191,7259,M,886242,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,923443200,"{'value': 10900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مودر', 'hi': 'जकूब मोडेर', 'bn': 'জাকুব মডার'}, 'shortNameTranslation': {'ar': 'ج. مودير', 'hi': 'जे. मोडेर', 'bn': 'জে মডার'}}",3.0,1.0,,,1.0,1.0,,2.0,,,,,13.0,9.0,6.5,3.0,6.97e-06,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,4.0,1.0,,3.0,,1.0,,2.0,,kubamoder,,1.0,,,1.0,,,,,,,,,,,,,,
Jason Steele,,,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Jackson,Ben Jackson,,jackson-ben,B. Jackson,D,5,190,10,M,1142311,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1062547200,"{'value': 185000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكسون، بن', 'hi': 'जैक्सन, बेन', 'bn': 'জ্যাকসন, বেন'}, 'shortNameTranslation': {'ar': 'ب. جاكسون', 'hi': 'बी. जैक्सन', 'bn': 'বি. জ্যাকসন'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benicio Boaitey,,,boaitey-benicio,B. Boaitey,M,26,162,113,M,1142604,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073606400,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوياتي، بينيشيو', 'hi': 'बोआइटे, बेनिसियो', 'bn': 'বোয়াইতে, বেনিসিও'}, 'shortNameTranslation': {'ar': 'ب. بينيشيو', 'hi': 'बी. बोआइटे', 'bn': 'বি. বোয়াইটি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Duffus,Joshua Duffus,,duffus-joshua,J. Duffus,F,17,187,224,M,1142323,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,1117497600,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافوس، جوشوا', 'hi': 'डफस, जोशुआ', 'bn': 'ডাফাস, জোশুয়া'}, 'shortNameTranslation': {'ar': 'ج. دافوس', 'hi': 'जे. डफस', 'bn': 'জে. ডাফাস'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
