name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,expectedGoals,sofascoreId,blockedScoringAttempt,wonTackle,challengeLost,dispossessed,totalContest,lastManTackle,keyPass,bigChanceCreated,onTargetScoringAttempt,expectedGoalsOnTarget,wonContest,outfielderBlock,unsuccessfulTouch,goalAssist,goals,bigChanceMissed,penaltyConceded,penaltyWon,goodHighClaim
Chris Wood,,,chris-wood,C. Wood,F,11,191,7744,M,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",15.0,9.0,,,4.0,5.0,5.0,10.0,1.0,,,,63.0,20.0,6.6,6.0,0.0213394,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,3.0,5.0,3.0,,2.0,,,,2.0,0.1401,wodsy39,,,,,,,1.0,,1.0,0.0489,,1.0,,,,,1.0,,
Callum Hudson-Odoi,,,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9379,M,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",16.0,15.0,3.0,3.0,3.0,3.0,13.0,18.0,,,,,27.0,23.0,7.3,5.0,0.0811866,"{'original': 7.3, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,5.0,1.0,,,,1.0,,,,,1.0,,,Calteck10,,,,,,,1.0,,,,,,,,,,,1.0,
Divock Origi,,,divock-origi,D. Origi,F,27,189,3656,M,190399,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,798163200,"{'value': 525000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفوك أوريجي', 'hi': 'डिवॉक ओरिजी', 'bn': 'ডিভক অরিজি'}, 'shortNameTranslation': {'ar': 'د. أوريجي', 'hi': 'डी. ओरिजी', 'bn': 'ডি. অরিজি'}}",2.0,1.0,,,,,1.0,2.0,,,,,27.0,5.0,6.6,2.0,0.00028922,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,1.0,1.0,,,,,1.0,,,divockorigi,,,,,,,,,,,,,1.0,,,,,,
Ryan Yates,,,ryan-yates,R. Yates,M,22,190,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",6.0,4.0,,,1.0,1.0,3.0,5.0,1.0,,,,21.0,11.0,6.6,2.0,0.00218365,"{'original': 6.6, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,2.0,2.0,,,,1.0,,1.0,0.4087,,2.0,1.0,,,,,,,1.0,0.3482,,,,,,1.0,,,
Neco Williams,,,williams-neco,N. Williams,D,3,183,3163,M,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",13.0,8.0,1.0,,1.0,1.0,9.0,17.0,1.0,,,,11.0,20.0,6.5,10.0,0.397307,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,5.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,
Matt Turner,,,matt-turner,M. Turner,G,30,190,1581,M,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Aurier,,,serge-aurier,S. Aurier,D,93,176,3021,M,105697,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,725155200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرج أورييه', 'hi': 'सर्ज ऑरिएर', 'bn': 'সার্জ অউরিয়ার'}, 'shortNameTranslation': {'ar': 'س. أورييه', 'hi': 'एस. ऑरिएर', 'bn': 'সি. অউরিয়ার'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,Serge_aurier,,,,,,,,,,,,,,,,,,,
Gonzalo Montiel,,,gonzalo-montiel,G. Montiel,D,4,175,9289,M,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,gonzalo_montiel29,,,,,,,,,,,,,,,,,,,
Willy Boly,,,willy-boly,W. Boly,D,30,195,1805,M,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheikhou Kouyaté,,,cheikhou-kouyate,C. Kouyaté,M,8,189,2612,M,45944,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,630201600,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
