name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,expectedGoalsOnTarget,firstName,lastName,aerialLost,bigChanceMissed,shotOffTarget,keyPass,accurateCross,bigChanceCreated,blockedScoringAttempt,goals,totalOffside,goalAssist
Richarlison,richarlison,Richarlison,F,9,184,46727,M,Richarlison,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",18.0,8.0,,,4.0,4.0,4.0,15.0,2.0,,,,,71.0,31.0,6.9,14.0,0.0168835,"{'original': 6.9, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,5.0,2.0,,,,,,2.0,,,,,3.0,,2.0,0.4015,,,,3.0,,2.0,,,,1.0,,1.0,
Rodrigo Bentancur,bentancur-rodrigo,R. Bentancur,M,30,187,8373,M,rodrigo_bentancur,791190,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,867196800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو بينتانكور', 'hi': 'बेनटानकुर, रोड्रिगो', 'bn': 'বেন্টানকুর, রদ্রিগো'}, 'shortNameTranslation': {'ar': 'ر. بينتانكور', 'hi': 'आर. बेनटानकुर', 'bn': 'আর. বেন্টানকুর'}}",20.0,15.0,,,3.0,6.0,12.0,14.0,4.0,,,,,19.0,23.0,6.9,6.0,0.0987969,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,2.0,,,,,,
Timo Werner,timo-werner,T. Werner,F,36,180,20181,M,timowerner,232306,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,826070400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيمو فيرنر', 'hi': 'टीमो वर्नर', 'bn': 'টিমো ওয়ার্নার'}, 'shortNameTranslation': {'ar': 'ت. فيرنر', 'hi': 'टी. वर्नर', 'bn': 'টি. ওয়ার্নার'}}",12.0,10.0,,,,,11.0,15.0,1.0,,,,,19.0,19.0,7.0,4.0,0.0333611,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,,,1.0,,,1.0,1.0,,,,,,,,,,0.1209,,,,,,,,1.0,,2.0,,,
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",11.0,6.0,1.0,,,1.0,6.0,10.0,,,,,,19.0,19.0,6.6,7.0,0.00500282,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,3.0,,,2.0,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,hojbjerg23,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",13.0,13.0,,,1.0,1.0,12.0,13.0,2.0,,,,,11.0,15.0,6.6,2.0,0.0166252,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Giovani Lo Celso,lo-celso-giovani,G. Lo Celso,M,20,177,16348,M,locelso_giovani,798835,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,829008000,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيوفاني لو سيلسو', 'hi': 'लो सेल्सो, जियोवानी', 'bn': 'লো সেলসো, জিওভানি'}, 'shortNameTranslation': {'ar': 'ج. لو سيلسو', 'hi': 'जी. सेल्सो,', 'bn': 'জি. লো সেলসো'}}",6.0,5.0,,,,,6.0,7.0,,,,,,11.0,7.0,6.9,1.0,0.182296,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
Brandon Austin,austin-brandon,B. Austin,G,40,188,1393,M,,859896,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915753600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستن، براندون', 'hi': 'ऑस्टिन, ब्रैंडन', 'bn': 'অস্টিন, ব্র্যান্ডন'}, 'shortNameTranslation': {'ar': 'ب. أوستن', 'hi': 'बी. ऑस्टिन', 'bn': 'বি. অস্টিন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radu Drăguşin,radu-dragusin,R. Drăguşin,D,3,191,13267,M,radudragusin5,997103,"{'alpha2': 'RO', 'alpha3': 'ROU', 'name': 'Romania', 'slug': 'romania'}",EUR,1012694400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رادو دراجوشين', 'hi': 'राडू द्रागुसिन', 'bn': 'রাদু ড্রাগুশিন'}, 'shortNameTranslation': {'ar': 'ر. دراجوشين', 'hi': 'आर. द्रागुसिन', 'bn': 'আর. ড্রাগুসিন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Gil,bryan-gil,B. Gil,M,21,176,3690,M,bryan11gil,910026,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,981849600,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان جيل', 'hi': 'ब्रायन गिल', 'bn': 'ব্রায়ান গিল'}, 'shortNameTranslation': {'ar': 'ب. جيل', 'hi': 'बी. गिल', 'bn': 'বি. গিল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1368,M,,859901,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,969062400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
