name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,aerialLost,duelLost,totalContest,interceptionWon,unsuccessfulTouch,keyPass,duelWon,outfielderBlock,totalTackle,aerialWon,firstName,lastName,accurateCross,challengeLost,wonTackle,dispossessed,wonContest,shotOffTarget,errorLeadToAShot,wasFouled,fouls,expectedGoals,blockedScoringAttempt,bigChanceMissed,onTargetScoringAttempt,goals,penaltyWon,expectedGoalsOnTarget,bigChanceCreated,errorLeadToAGoal,penaltyFaced,penaltyConceded,totalOffside
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",40.0,28.0,15.0,3.0,0.0,28.0,34.0,6.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,90.0,50.0,7.1,12.0,7.697e-05,"{'original': 7.1, 'alternative': 7.4}",0,0.0827,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,malogst,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",72.0,63.0,4.0,2.0,0.0,37.0,44.0,30.0,,3.0,,,,,,88.0,94.0,7.0,16.0,0.0605805,"{'original': 7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,26.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,13565,M,yungchalobah,826134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,931132800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تريفوه تشالوبا', 'hi': 'ट्रेवोह चालोबा', 'bn': 'ত্রেভহ চালোবাহ'}, 'shortNameTranslation': {'ar': 'ت. تشالوبا', 'hi': 'टी. चालोबा', 'bn': 'টি. চালোবাহ'}}",92.0,85.0,6.0,2.0,0.0,75.0,80.0,12.0,9.0,1.0,,,,,,90.0,104.0,7.1,8.0,0.00245272,"{'original': 7.1, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,,3.0,3.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",84.0,79.0,4.0,2.0,0.0,74.0,76.0,8.0,6.0,5.0,,,,,,90.0,93.0,7.2,5.0,0.00246029,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,1.0,1.0,,1.0,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,cucurella3,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",63.0,52.0,6.0,1.0,1.0,38.0,46.0,18.0,,3.0,,,,,,90.0,85.0,7.4,13.0,0.0454492,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,15.0,1.0,,1.0,,,1.0,1.0,7.0,,2.0,5.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",66.0,56.0,4.0,1.0,0.0,37.0,44.0,22.0,,12.0,,,,,,90.0,94.0,7.4,14.0,0.0229947,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,19.0,,1.0,7.0,3.0,4.0,1.0,1.0,11.0,1.0,6.0,,,,,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0302,,,,,,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",74.0,69.0,2.0,1.0,0.0,47.0,51.0,23.0,4.0,10.0,,,,,,90.0,100.0,8.0,7.0,0.0129305,"{'original': 8, 'alternative': 7.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,22.0,,1.0,4.0,4.0,2.0,2.0,2.0,16.0,,1.0,3.0,,,,,,,4.0,,,8.0,3.0,,,,,,,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",20.0,17.0,1.0,1.0,0.0,9.0,9.0,11.0,,2.0,,,,,,72.0,34.0,6.8,6.0,0.313876,"{'original': 6.8, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,,2.0,6.0,4.0,,,,6.0,,,,,,,2.0,,1.0,3.0,,,3.0,,0.0184,1.0,,,,,,,,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",27.0,22.0,3.0,2.0,0.0,6.0,7.0,24.0,,2.0,,,,,,80.0,52.0,10.0,13.0,0.0550548,"{'original': 10, 'alternative': 10}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,17.0,4.0,,3.0,4.0,1.0,3.0,,5.0,,,,,,1.0,1.0,,1.0,3.0,,,2.0,,2.4983,,1.0,5.0,4.0,1.0,3.1127,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",18.0,15.0,1.0,1.0,0.0,5.0,7.0,11.0,,2.0,,,,,,80.0,31.0,7.2,11.0,0.563666,"{'original': 7.2, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,,1.0,6.0,2.0,,6.0,2.0,2.0,,,,,,,2.0,,1.0,1.0,1.0,,1.0,1.0,0.2197,,,1.0,,,0.0775,2.0,,,,
