name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,unsuccessfulTouch,keyPass,sofascoreId,aerialLost,outfielderBlock,interceptionWon,totalTackle,wasFouled,firstName,lastName,dispossessed,onTargetScoringAttempt,wonTackle,expectedGoals,expectedGoalsOnTarget,shotOffTarget,blockedScoringAttempt,fouls,bigChanceCreated,bigChanceMissed,goodHighClaim,errorLeadToAShot,totalOffside,goals
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",39.0,30.0,14.0,5.0,25.0,26.0,5.0,13.0,1.0,6.0,3.0,4.0,1.0,1.0,1.0,90.0,50.0,7.3,10.0,0.0009784,"{'original': 7.3, 'alternative': 7.2}",0,-0.2656,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",45.0,37.0,5.0,1.0,21.0,26.0,17.0,21.0,,4.0,,,,,,90.0,57.0,6.4,10.0,0.115089,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10404,M,352668,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,875059200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توسين أدارابايو', 'hi': 'टोसिन अदाराबियोयो', 'bn': 'তোসিন আদারাবিয়োয়ো'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'hi': 'टी. अदाराबियोयो', 'bn': 'টি. আদারাবিয়োয়ো'}}",61.0,51.0,7.0,3.0,34.0,40.0,17.0,21.0,,4.0,,,,,,90.0,71.0,7.2,10.0,0.016916,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,4.0,4.0,,,,,,tosinadarabioyo,4.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",64.0,60.0,6.0,3.0,40.0,43.0,20.0,22.0,1.0,9.0,,,,,,90.0,73.0,6.7,7.0,0.00537862,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,3.0,2.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",63.0,54.0,7.0,5.0,25.0,27.0,30.0,44.0,2.0,8.0,,,,,,90.0,88.0,7.5,17.0,0.0867626,"{'original': 7.5, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,1.0,,3.0,4.0,2.0,2.0,2.0,,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,0.038,0.1775,,,,,,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",55.0,47.0,8.0,6.0,19.0,21.0,28.0,34.0,1.0,6.0,,,,,,85.0,69.0,7.1,9.0,0.0191266,"{'original': 7.1, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,5.0,8.0,3.0,,,,,Palhinha,,,1.0,6.0,1.0,,,1.0,,1.0,0.1607,,2.0,1.0,1.0,,,,,,
Tom Cairney,tom-cairney,T. Cairney,M,10,185,480,M,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",72.0,67.0,2.0,2.0,21.0,22.0,46.0,51.0,,1.0,,,,,,65.0,78.0,7.6,6.0,0.0646122,"{'original': 7.6, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,,1.0,2.0,4.0,,1.0,1.0,,3.0,,,,,2.0,,,,,,2.0,0.0582,,1.0,,2.0,,,,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",50.0,39.0,6.0,5.0,8.0,14.0,32.0,42.0,,6.0,,,,,,90.0,75.0,7.5,22.0,0.180582,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,1.0,,3.0,8.0,,7.0,6.0,3.0,1.0,alexanderiwobi,,,,2.0,,,,2.0,,1.0,,,,,,,,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",34.0,29.0,2.0,1.0,9.0,9.0,21.0,31.0,,6.0,,,,,,65.0,53.0,7.8,14.0,0.132244,"{'original': 7.8, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,1.0,,2.0,3.0,1.0,1.0,1.0,3.0,2.0,andreaspereira,,,1.0,1.0,1.0,,,1.0,2.0,1.0,0.2904,0.4104,1.0,,1.0,1.0,,,,,
Willian,willian,Willian,F,88,175,9705,M,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",50.0,43.0,2.0,1.0,12.0,13.0,31.0,39.0,,2.0,,,,,,65.0,61.0,7.4,10.0,0.13824,"{'original': 7.4, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,2.0,5.0,,1.0,1.0,,1.0,willianborges88,1.0,,,1.0,3.0,,,1.0,,1.0,0.1875,,1.0,1.0,,,,,,,
Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,184,4513,M,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",16.0,10.0,1.0,1.0,4.0,5.0,6.0,11.0,,1.0,,,,,,85.0,29.0,6.6,12.0,0.0239925,"{'original': 6.6, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,6.0,5.0,,2.0,1.0,4.0,1.0,RodrigoMuniz019,1.0,,,,2.0,,,1.0,1.0,,0.4864,0.4705,1.0,1.0,3.0,,1.0,,,,
Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2089,M,371222,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,839894400,"{'value': 11300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا لوكيتش', 'hi': 'साशा लुकीच', 'bn': 'সাসা লুকিচ'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'hi': 'एस. लुकीच', 'bn': 'এস. লুকিচ'}}",10.0,9.0,1.0,1.0,3.0,3.0,6.0,8.0,,4.0,,,,,,25.0,17.0,6.6,2.0,0.00198115,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,2.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,,
Harry Wilson,harry-wilson,H. Wilson,M,8,173,4052,M,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",11.0,9.0,,,1.0,2.0,10.0,19.0,1.0,1.0,,,,,,25.0,27.0,6.8,11.0,0.300026,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,10.0,2.0,,1.0,3.0,,1.0,,,1.0,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,
