name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,aerialLost,duelLost,challengeLost,dispossessed,blockedScoringAttempt,totalClearance,totalTackle,unsuccessfulTouch,fouls,expectedGoals,outfielderBlock,aerialWon,totalContest,wonContest,interceptionWon,totalOffside,keyPass,accurateCross,onTargetScoringAttempt,wonTackle,expectedGoalsOnTarget,shotOffTarget,firstName,lastName,goodHighClaim,bigChanceCreated,hitWoodwork,goals,bigChanceMissed
José Sá,jose-sa,J. Sá,G,1,192.0,3995,M,252669,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,727228800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيه سا', 'hi': 'जोस सा', 'bn': 'জোসে সা'}, 'shortNameTranslation': {'ar': 'ج. سا', 'hi': 'जे. सा', 'bn': 'জে. সা'}}",43.0,30.0,16.0,4.0,24.0,28.0,6.0,15.0,1.0,7.0,1.0,3.0,5.0,1.0,1.0,90.0,51.0,7.6,13.0,0.00068545,"{'original': 7.6, 'alternative': 7.7}",0,0.6983,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177.0,7468,M,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",52.0,44.0,3.0,,23.0,25.0,21.0,29.0,3.0,5.0,2.0,,,,,90.0,74.0,6.3,13.0,0.0122591,"{'original': 6.3, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,nelsonsemedo50,2.0,2.0,7.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,0.0269,,,,,,,,,,,,,,,,,,,
Santiago Bueno,santiago-bueno,S. Bueno,D,4,189.0,1209,M,846308,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,910569600,"{'value': 9200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سانتياغو بويينو', 'hi': 'सैंटियागो ब्यूनो', 'bn': 'সান্তিয়াগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'س. بويينو', 'hi': 'एस. ब्यूनो', 'bn': 'এস. বুয়েনো'}}",37.0,36.0,3.0,2.0,32.0,32.0,4.0,5.0,,3.0,,,,,,45.0,43.0,6.7,2.0,0.00044144,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,1.0,,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
Max Kilman,max-kilman,M. Kilman,D,3,192.0,1235,M,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",49.0,40.0,7.0,5.0,29.0,34.0,11.0,15.0,8.0,4.0,1.0,,,,,90.0,65.0,7.6,10.0,0.127706,"{'original': 7.6, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,2.0,4.0,,,,6.0,,,1.0,,2.0,5.0,3.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,187.0,1089,M,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",52.0,36.0,3.0,,26.0,34.0,10.0,18.0,10.0,7.0,1.0,,,,,89.0,78.0,7.1,19.0,0.00561347,"{'original': 7.1, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,,1.0,,3.0,2.0,2.0,,,1.0,6.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,184.0,8485,M,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",70.0,62.0,4.0,2.0,41.0,45.0,23.0,27.0,6.0,7.0,1.0,,,,,90.0,86.0,7.4,10.0,0.0920477,"{'original': 7.4, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,1.0,2.0,,1.0,1.0,,3.0,1.0,,0.0594,1.0,2.0,,,,,3.0,2.0,1.0,1.0,0.0368,,,,,,,,
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176.0,2578,M,138573,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,705542400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابلو سارابيا', 'hi': 'पाब्लो साराबिया', 'bn': 'পাবলো সারাবিয়া'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'hi': 'पी. साराबिया', 'bn': 'পি. সারাবিয়া'}}",24.0,20.0,3.0,2.0,9.0,11.0,12.0,19.0,4.0,3.0,2.0,,,,,64.0,45.0,6.5,17.0,0.0222243,"{'original': 6.5, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,3.0,10.0,3.0,3.0,,,2.0,3.0,1.0,0.0627,,,1.0,,,,1.0,1.0,1.0,1.0,0.2346,,,,,,,,
João Gomes,joao-gomes,J. Gomes,M,8,176.0,15514,M,1015267,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,981936000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",34.0,28.0,1.0,1.0,14.0,16.0,14.0,18.0,4.0,1.0,2.0,,,,,64.0,44.0,6.9,8.0,0.0205055,"{'original': 6.9, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,joaogomes.01,,1.0,8.0,4.0,2.0,,2.0,,,1.0,,2.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,
Tommy Doyle,tommy-doyle,T. Doyle,M,7,172.0,809,M,932628,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1003276800,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تومي دويل', 'hi': 'टॉमी डॉयल', 'bn': 'টমি ডয়েল'}, 'shortNameTranslation': {'ar': 'ت. دويل', 'hi': 'टी. डॉयल', 'bn': 'টি. ডয়েল'}}",27.0,25.0,2.0,2.0,11.0,13.0,14.0,14.0,1.0,2.0,,,,,,55.0,34.0,6.4,5.0,0.00947636,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,,3.0,1.0,,1.0,,1.0,0.0246,,,,,,,,,,1.0,,,,,,,,,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179.0,39814,M,931278,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,991785600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",42.0,36.0,4.0,2.0,18.0,20.0,19.0,26.0,10.0,2.0,3.0,,,,,90.0,69.0,7.3,13.0,0.0421676,"{'original': 7.3, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,r_aitnouri,4.0,1.0,4.0,2.0,1.0,,1.0,3.0,2.0,,0.042,,3.0,1.0,1.0,,,2.0,1.0,,3.0,,2.0,,,,,,,
