period,group,statistic,home_value,away_value,home_total,away_total,home_display,away_display,compare_code,key
ALL,Match overview,Ball possession,64.0,36.0,,,64%,36%,1,ballPossession
ALL,Match overview,Expected goals,2.57,1.12,,,2.57,1.12,1,expectedGoals
ALL,Match overview,Big chances,6.0,1.0,,,6,1,1,bigChanceCreated
ALL,Match overview,Total shots,9.0,13.0,,,9,13,2,totalShotsOnGoal
ALL,Match overview,Goalkeeper saves,4.0,1.0,,,4,1,1,goalkeeperSaves
ALL,Match overview,Corner kicks,4.0,3.0,,,4,3,1,cornerKicks
ALL,Match overview,Fouls,13.0,16.0,,,13,16,2,fouls
ALL,Match overview,Passes,644.0,352.0,,,644,352,1,passes
ALL,Match overview,Tackles,21.0,25.0,,,21,25,2,totalTackle
ALL,Match overview,Free kicks,16.0,12.0,,,16,12,1,freeKicks
ALL,Match overview,Yellow cards,3.0,2.0,,,3,2,1,yellowCards
ALL,Shots,Total shots,9.0,13.0,,,9,13,2,totalShotsOnGoal
ALL,Shots,Shots on target,4.0,5.0,,,4,5,2,shotsOnGoal
ALL,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
ALL,Shots,Shots off target,3.0,3.0,,,3,3,3,shotsOffGoal
ALL,Shots,Blocked shots,2.0,5.0,,,2,5,2,blockedScoringAttempt
ALL,Shots,Shots inside box,9.0,9.0,,,9,9,3,totalShotsInsideBox
ALL,Shots,Shots outside box,0.0,4.0,,,0,4,2,totalShotsOutsideBox
ALL,Attack,Big chances scored,2.0,1.0,,,2,1,1,bigChanceScored
ALL,Attack,Big chances missed,4.0,0.0,,,4,0,1,bigChanceMissed
ALL,Attack,Through balls,2.0,1.0,,,2,1,1,accurateThroughBall
ALL,Attack,Fouled in final third,3.0,4.0,,,3,4,2,fouledFinalThird
ALL,Attack,Offsides,3.0,6.0,,,3,6,2,offsides
ALL,Passes,Accurate passes,572.0,287.0,,,572,287,1,accuratePasses
ALL,Passes,Throw-ins,18.0,15.0,,,18,15,1,throwIns
ALL,Passes,Final third entries,53.0,41.0,,,53,41,1,finalThirdEntries
ALL,Passes,Long balls,23.0,23.0,50.0,45.0,23/50 (46%),23/45 (51%),2,accurateLongBalls
ALL,Passes,Crosses,1.0,3.0,8.0,15.0,1/8 (13%),3/15 (20%),2,accurateCross
ALL,Duels,Duels,47.0,53.0,,,47%,53%,2,duelWonPercent
ALL,Duels,Dispossessed,14.0,11.0,,,14,11,1,dispossessed
ALL,Duels,Ground duels,43.0,49.0,92.0,92.0,43/92 (47%),49/92 (53%),2,groundDuelsPercentage
ALL,Duels,Aerial duels,8.0,9.0,17.0,17.0,8/17 (47%),9/17 (53%),2,aerialDuelsPercentage
ALL,Duels,Dribbles,7.0,12.0,18.0,22.0,7/18 (39%),12/22 (55%),2,dribblesPercentage
ALL,Defending,Tackles won,16.0,15.0,21.0,25.0,76%,60%,1,wonTacklePercent
ALL,Defending,Total tackles,21.0,25.0,,,21,25,2,totalTackle
ALL,Defending,Interceptions,6.0,8.0,,,6,8,2,interceptionWon
ALL,Defending,Recoveries,47.0,52.0,,,47,52,2,ballRecovery
ALL,Defending,Clearances,22.0,12.0,,,22,12,1,totalClearance
ALL,Goalkeeping,Total saves,4.0,1.0,,,4,1,1,goalkeeperSaves
ALL,Goalkeeping,Goals prevented,0.3069,-0.1428,,,0.31,-0.14,1,goalsPrevented
ALL,Goalkeeping,Goal kicks,6.0,4.0,,,6,4,1,goalKicks
1ST,Match overview,Ball possession,63.0,37.0,,,63%,37%,1,ballPossession
1ST,Match overview,Expected goals,0.93,0.64,,,0.93,0.64,1,expectedGoals
1ST,Match overview,Big chances,4.0,1.0,,,4,1,1,bigChanceCreated
1ST,Match overview,Total shots,6.0,5.0,,,6,5,1,totalShotsOnGoal
1ST,Match overview,Goalkeeper saves,1.0,1.0,,,1,1,3,goalkeeperSaves
1ST,Match overview,Corner kicks,2.0,0.0,,,2,0,1,cornerKicks
1ST,Match overview,Passes,333.0,186.0,,,333,186,1,passes
1ST,Match overview,Tackles,13.0,11.0,,,13,11,1,totalTackle
1ST,Match overview,Free kicks,7.0,9.0,,,7,9,2,freeKicks
1ST,Match overview,Yellow cards,0.0,0.0,,,0,0,3,yellowCards
1ST,Shots,Total shots,6.0,5.0,,,6,5,1,totalShotsOnGoal
1ST,Shots,Shots on target,3.0,2.0,,,3,2,1,shotsOnGoal
1ST,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
1ST,Shots,Shots off target,1.0,1.0,,,1,1,3,shotsOffGoal
1ST,Shots,Blocked shots,2.0,2.0,,,2,2,3,blockedScoringAttempt
1ST,Shots,Shots inside box,6.0,3.0,,,6,3,1,totalShotsInsideBox
1ST,Shots,Shots outside box,0.0,2.0,,,0,2,2,totalShotsOutsideBox
1ST,Attack,Big chances scored,1.0,1.0,,,1,1,3,bigChanceScored
1ST,Attack,Big chances missed,3.0,0.0,,,3,0,1,bigChanceMissed
1ST,Attack,Through balls,1.0,0.0,,,1,0,1,accurateThroughBall
1ST,Attack,Fouled in final third,2.0,3.0,,,2,3,2,fouledFinalThird
1ST,Attack,Offsides,1.0,5.0,,,1,5,2,offsides
1ST,Passes,Accurate passes,302.0,158.0,,,302,158,1,accuratePasses
1ST,Passes,Throw-ins,10.0,8.0,,,10,8,1,throwIns
1ST,Passes,Final third entries,23.0,18.0,,,23,18,1,finalThirdEntries
1ST,Passes,Long balls,14.0,8.0,25.0,19.0,14/25 (56%),8/19 (42%),1,accurateLongBalls
1ST,Passes,Crosses,1.0,2.0,5.0,9.0,1/5 (20%),2/9 (22%),2,accurateCross
1ST,Duels,Duels,50.0,50.0,,,50%,50%,3,duelWonPercent
1ST,Duels,Dispossessed,6.0,8.0,,,6,8,2,dispossessed
1ST,Duels,Ground duels,24.0,25.0,49.0,49.0,24/49 (49%),25/49 (51%),2,groundDuelsPercentage
1ST,Duels,Aerial duels,4.0,3.0,7.0,7.0,4/7 (57%),3/7 (43%),1,aerialDuelsPercentage
1ST,Duels,Dribbles,4.0,5.0,9.0,10.0,4/9 (44%),5/10 (50%),2,dribblesPercentage
1ST,Defending,Tackles won,9.0,8.0,13.0,11.0,69%,73%,2,wonTacklePercent
1ST,Defending,Total tackles,13.0,11.0,,,13,11,1,totalTackle
1ST,Defending,Interceptions,3.0,4.0,,,3,4,2,interceptionWon
1ST,Defending,Recoveries,26.0,29.0,,,26,29,2,ballRecovery
1ST,Defending,Clearances,10.0,4.0,,,10,4,1,totalClearance
1ST,Goalkeeping,Total saves,1.0,1.0,,,1,1,3,goalkeeperSaves
1ST,Goalkeeping,Goal kicks,1.0,2.0,,,1,2,2,goalKicks
2ND,Match overview,Ball possession,64.0,36.0,,,64%,36%,1,ballPossession
2ND,Match overview,Expected goals,1.64,0.47,,,1.64,0.47,1,expectedGoals
2ND,Match overview,Big chances,2.0,0.0,,,2,0,1,bigChanceCreated
2ND,Match overview,Total shots,3.0,8.0,,,3,8,2,totalShotsOnGoal
2ND,Match overview,Goalkeeper saves,3.0,0.0,,,3,0,1,goalkeeperSaves
2ND,Match overview,Corner kicks,2.0,3.0,,,2,3,2,cornerKicks
2ND,Match overview,Passes,311.0,166.0,,,311,166,1,passes
