name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,duelWon,totalContest,wonContest,ballRecovery,goodHighClaim,saves,minutesPlayed,touches,rating,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,aerialLost,aerialWon,duelLost,dispossessed,totalClearance,outfielderBlock,interceptionWon,errorLeadToAShot,wasFouled,fouls,possessionLostCtrl,keyPass,shotOffTarget,totalTackle,wonTackle,totalOffside,expectedGoals,unsuccessfulTouch,sofascoreId,challengeLost,accurateCross,firstName,lastName,blockedScoringAttempt,goalAssist,bigChanceCreated,onTargetScoringAttempt,goals,expectedGoalsOnTarget,savedShotsFromInsideTheBox,bigChanceMissed
José Sá,jose-sa,J. Sá,G,1,192,3995,M,252669,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,727228800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيه سا', 'hi': 'जोस सा', 'bn': 'জোসে সা'}, 'shortNameTranslation': {'ar': 'ج. سا', 'hi': 'जे. सा', 'bn': 'জে. সা'}}",16.0,16.0,1.0,1.0,16.0,16.0,1.0,1.0,1.0,7.0,1.0,1.0,90.0,27.0,6.9,5.113e-05,"{'original': 6.9, 'alternative': 6.8}",0,-0.6615,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Kilman,max-kilman,M. Kilman,D,3,192,1235,M,894474,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس كيلمان', 'hi': 'मैक्स किलमन', 'bn': 'ম্যাক্স কিলম্যান'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'hi': 'एम. किलमन', 'bn': 'এম. কিলম্যান'}}",111.0,103.0,14.0,9.0,55.0,56.0,3.0,,,7.0,,,90.0,121.0,7.0,0.0319637,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,48.0,56.0,1.0,4.0,2.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,,,,,,,,,,,,,,,,,,,
Craig Dawson,craig-dawson,C. Dawson,D,,188,423,M,50027,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,641952000,"{'value': 980000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريغ داوسون', 'hi': 'क्रेग डावसन', 'bn': 'ক্রেগ ডসন'}, 'shortNameTranslation': {'ar': 'ك. داوسون', 'hi': 'सी. डावसन', 'bn': 'সি. ডসন'}}",82.0,73.0,15.0,10.0,55.0,58.0,3.0,,,6.0,,,90.0,89.0,7.2,0.0347874,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,18.0,24.0,,6.0,2.0,6.0,,4.0,1.0,,,,,9.0,1.0,1.0,1.0,1.0,1.0,0.0838,,,,,,,,,,,,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,187,1089,M,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",103.0,82.0,8.0,2.0,47.0,57.0,3.0,1.0,,3.0,,,90.0,129.0,6.6,0.0123862,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,35.0,49.0,3.0,2.0,2.0,4.0,,3.0,,1.0,,,1.0,27.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7468,M,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",59.0,52.0,4.0,2.0,18.0,21.0,2.0,,,3.0,,,90.0,85.0,6.6,0.0188475,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,34.0,41.0,3.0,4.0,,8.0,2.0,1.0,,1.0,,1.0,1.0,14.0,,1.0,1.0,,,0.0189,1.0,nelsonsemedo50,1.0,,,,,,,,,,,
Mario Lemina,mario-lemina,M. Lemina,M,99,184,8485,M,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",51.0,48.0,3.0,2.0,19.0,20.0,2.0,,,5.0,,,61.0,59.0,6.9,0.0769304,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,29.0,32.0,1.0,,,1.0,1.0,1.0,,1.0,,2.0,,6.0,,,,,,,1.0,,,,,,,,,,,,,
João Gomes,joao-gomes,J. Gomes,M,8,176,15514,M,1015267,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,981936000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",43.0,33.0,6.0,3.0,11.0,14.0,9.0,4.0,3.0,5.0,,,90.0,59.0,7.1,0.0334156,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,24.0,33.0,4.0,,3.0,7.0,1.0,,,1.0,,,3.0,14.0,,,3.0,1.0,,,,joaogomes.01,2.0,2.0,,,,,,,,,,
Hugo Bueno,hugo-bueno,H. Bueno,D,3,180,661,M,1013928,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1032307200,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هوغو بوينو', 'hi': 'ह्यूगो ब्यूनो', 'bn': 'হুগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'ه. بوينو', 'hi': 'एच. ब्यूनो', 'bn': 'এইচ. বুয়েনো'}}",37.0,26.0,2.0,,15.0,22.0,3.0,3.0,1.0,1.0,,,69.0,63.0,6.2,0.0101625,"{'original': 6.2, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,12.0,17.0,2.0,,1.0,5.0,2.0,,,,,1.0,1.0,20.0,,,,,1.0,0.0688,1.0,,,1.0,,,1.0,,,,,,,
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176,2578,M,138573,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,705542400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابلو سارابيا', 'hi': 'पाब्लो साराबिया', 'bn': 'পাবলো সারাবিয়া'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'hi': 'पी. साराबिया', 'bn': 'পি. সারাবিয়া'}}",49.0,37.0,7.0,3.0,14.0,19.0,3.0,,,2.0,,,69.0,63.0,7.6,0.354736,"{'original': 7.6, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,25.0,37.0,7.0,,1.0,1.0,1.0,1.0,,,,1.0,,20.0,4.0,,1.0,,1.0,,1.0,,,2.0,,,,1.0,1.0,,,,,
Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177,6495,M,786186,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,822614400,"{'value': 9200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هي تشان هوانغ', 'hi': 'ही-चान ह्वांग', 'bn': 'হি-চ্যান হোয়াং'}, 'shortNameTranslation': {'ar': 'ه. هوانغ', 'hi': 'एच. ह्वांग', 'bn': 'এইচ. হোয়াং'}}",24.0,22.0,2.0,2.0,7.0,7.0,6.0,5.0,4.0,,,,90.0,44.0,6.8,0.0121316,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,15.0,19.0,2.0,3.0,,8.0,3.0,,,,,1.0,,11.0,,1.0,1.0,,,0.051,3.0,Hwangso,1.0,,,,,,,,,,,
