name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelWon,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,expectedGoals,aerialLost,duelLost,challengeLost,totalContest,onTargetScoringAttempt,goals,fouls,expectedGoalsOnTarget,aerialWon,sofascoreId,goalAssist,accurateCross,dispossessed,wonContest,wasFouled,keyPass,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,totalOffside,errorLeadToAShot
Mark Travers,,,mark-travers,M. Travers,G,12,191,606,M,856720,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,926985600,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك ترافيرس', 'hi': 'मार्क ट्रैवर्स', 'bn': 'মার্ক ট্র্যাভার্স'}, 'shortNameTranslation': {'ar': 'م. ترافيرس', 'hi': 'एम. ट्रैवर्स', 'bn': 'এম. ট্রাভার্স'}}",35.0,21.0,24.0,10.0,11.0,13.0,10.0,22.0,6.0,1.0,1.0,1.0,1.0,90.0,39.0,7.0,14.0,0.0012801,"{'original': 7, 'alternative': 7.2}",0,0.9114,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,,,adam-smith,A. Smith,D,15,180,465,M,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",20.0,13.0,4.0,,11.0,12.0,2.0,9.0,4.0,,,,,90.0,40.0,7.2,12.0,0.0023156,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0362,,,,,,,,,,,,,,,,,,,,,
Marcos Senesi,,,marcos-senesi,M. Senesi,D,5,184,4999,M,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",28.0,24.0,5.0,2.0,19.0,20.0,5.0,9.0,6.0,,,,,89.0,42.0,7.0,8.0,0.0176241,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,4.0,,1.0,,,1.0,0.5796,2.0,8.0,2.0,2.0,1.0,1.0,2.0,0.9431,,,,,,,,,,,,,
Lloyd Kelly,,,lloyd-kelly,L. Kelly,D,6,191,2786,M,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",26.0,23.0,7.0,4.0,18.0,19.0,5.0,7.0,3.0,,,,,90.0,35.0,7.1,4.0,0.00190223,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,6.0,1.0,1.0,,,1.0,,,2.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,
Dango Ouattara,Dango Ouattara,,dango-ouattara,D. Ouattara,F,19,177,32038,M,1106451,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,1013385600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",14.0,11.0,1.0,1.0,4.0,4.0,8.0,12.0,3.0,,,,,90.0,41.0,7.5,11.0,0.105098,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,5.0,,1.0,,5.0,2.0,1.0,2.0,,2.0,8.0,2.0,2.0,,,2.0,,1.0,d.ouattara15,1.0,1.0,1.0,1.0,1.0,2.0,,,,,
Antoine Semenyo,,,antoine-semenyo,A. Semenyo,M,24,185,33799,M,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",19.0,13.0,3.0,2.0,7.0,7.0,7.0,17.0,8.0,,,,,89.0,44.0,7.1,19.0,0.463674,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,12.0,1.0,1.0,1.0,,,,,0.0382,2.0,11.0,,7.0,,,1.0,,8.0,antoinesemenyo42,,1.0,3.0,2.0,2.0,2.0,,,,,
Alex Scott,Alex Scott,,alex-scott,A. Scott,M,8,178,2151,M,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",21.0,17.0,5.0,3.0,8.0,9.0,9.0,12.0,7.0,,,,,77.0,30.0,7.1,5.0,0.0827371,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,,2.0,,,1.0,,,0.0958,1.0,6.0,,1.0,,,4.0,,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,
Lewis Cook,,,lewis-cook,L. Cook,M,4,175,837,M,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",28.0,20.0,3.0,1.0,12.0,14.0,9.0,21.0,7.0,,,,,90.0,49.0,7.3,16.0,0.233618,"{'original': 7.3, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,4.0,,3.0,1.0,4.0,4.0,2.0,1.0,,,3.0,1.0,1.0,,,1.0,,,,,1.0,,,,2.0,,,,,
Justin Kluivert,,,justin-kluivert,J. Kluivert,M,19,171,7016,M,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",21.0,13.0,3.0,2.0,5.0,9.0,8.0,14.0,5.0,,,,,89.0,36.0,7.0,14.0,0.0173711,"{'original': 7, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,3.0,1.0,1.0,,,,,,0.3974,,7.0,1.0,5.0,2.0,1.0,2.0,0.2278,1.0,justinkluivert,,,,1.0,1.0,,,,1.0,,
Enes Ünal,,,enes-unal,E. Ünal,F,26,185,3670,M,336655,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,863222400,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إينيس أونال', 'hi': 'एनेस उनाल', 'bn': 'এনেস উনাল'}, 'shortNameTranslation': {'ar': 'إ. أونال', 'hi': 'ई. उनाल', 'bn': 'ই. উনাল'}}",8.0,7.0,,,1.0,1.0,6.0,9.0,1.0,,,,,67.0,26.0,7.6,9.0,0.00372918,"{'original': 7.6, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,3.0,1.0,2.0,,,1.0,,2.0,0.6203,,6.0,1.0,4.0,2.0,1.0,1.0,0.1367,1.0,EnesUnal16,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,
Dominic Solanke,,,dominic-solanke,D. Solanke,F,19,186,10997,M,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",10.0,7.0,,,3.0,3.0,4.0,7.0,6.0,,,,,90.0,33.0,7.5,9.0,0.0989065,"{'original': 7.5, 'alternative': 7.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,,,1.0,1.0,,,4.0,0.3392,3.0,5.0,,4.0,1.0,,,0.0331,1.0,Dom_Solanke,,,,2.0,3.0,1.0,1.0,3.0,,,
Ryan Christie,,,ryan-christie,R. Christie,M,10,178,1202,M,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",10.0,8.0,1.0,1.0,1.0,1.0,7.0,9.0,2.0,,,,,23.0,13.0,7.1,3.0,0.0145417,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,2.0,,,,,
Max Aarons,,,max-aarons,M. Aarons,D,3,178,1292,M,943645,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,946944000,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس آرونز', 'hi': 'मैक्स आरोन्स', 'bn': 'ম্যাক্স অ্যারোনস'}, 'shortNameTranslation': {'ar': 'م. آرونز', 'hi': 'एम. आरोन्स', 'bn': 'এম. অ্যারোনস'}}",9.0,8.0,,,4.0,4.0,4.0,6.0,,,,,,13.0,12.0,6.3,3.0,0.00365606,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,
James Hill,,,james-hill,J. Hill,D,23,184,378,M,1156586,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1010620800,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس هيل', 'hi': 'जेम्स हिल', 'bn': 'জেমস হিল'}, 'shortNameTranslation': {'ar': 'ج. هيل', 'hi': 'जे. हिल', 'bn': 'জে. হিল'}}",,,,,,,,,,,,,,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Sadi,Dominic Sadi,,sadi-dominic,D. Sadi,F,10,174,158,M,1398550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1062460800,"{'value': 135000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سادي، دومينيك', 'hi': 'सादी, डोमिनिक', 'bn': 'সাদি, ডমিনিক'}, 'shortNameTranslation': {'ar': 'د. سادي', 'hi': 'डी. डोमिनिक', 'bn': 'ডি. সাদি'}}",1.0,,,,,,,1.0,,,,,,1.0,2.0,,1.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Neto,,,neto,Neto,G,22,190,5304,M,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,Neto_Murara,,,,,,,,,,,
Callan McKenna,Callan McKenna,,callan-mckenna,C. McKenna,G,46,192,89,M,1214988,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1136073600,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالان مكينا'}, 'shortNameTranslation': {'ar': 'ك. مكينا'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxwell Kinsey-Wellings,,,maxwell-kinsey-wellings,M. Kinsey-Wellings,D,21,185,82,M,1902493,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1107302400,"{'value': 135000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسويل كينسي-ويلينغز'}, 'shortNameTranslation': {'ar': 'م. ويلينغز'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Dacosta Gonzalez,Michael Dacosta Gonzalez,,michael-dacosta-gonzalez,M. D. Gonzalez,F,24,186,135,M,1463438,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1109980800,,"{'nameTranslation': {'ar': 'مايكل داكوستا غونزاليس', 'hi': 'माइकल डैकोस्टा गोंजालेज', 'bn': 'মাইকেল ডাকোস্টা গঞ্জালেজ'}, 'shortNameTranslation': {'ar': 'م. د. غونزاليس', 'hi': 'एम.डी. गोंजालेज', 'bn': 'এম. ডি. গঞ্জালেজ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
