minute,value
1.0,-4
2.0,-29
3.0,-22
4.0,-18
5.0,-24
6.0,-31
7.0,-9
8.0,-2
9.0,44
10.0,20
11.0,7
12.0,-7
13.0,-10
14.0,-2
15.0,2
16.0,-3
17.0,1
18.0,1
19.0,1
20.0,-4
21.0,-10
22.0,-32
23.0,-24
24.0,-62
25.0,-49
26.0,-4
27.0,-6
28.0,9
29.0,19
30.0,12
31.0,38
32.0,31
33.0,21
34.0,42
35.0,31
36.0,22
37.0,46
38.0,23
39.0,10
40.0,-31
41.0,-13
42.0,-14
43.0,27
44.0,-14
45.0,-4
45.5,-29
46.0,-1
47.0,-4
48.0,-3
49.0,-2
50.0,-7
51.0,-11
52.0,-12
53.0,-5
54.0,-1
55.0,-20
56.0,-5
57.0,29
58.0,18
59.0,35
60.0,24
61.0,8
62.0,-3
63.0,-5
64.0,-8
65.0,-13
66.0,-9
67.0,-31
68.0,30
69.0,5
70.0,-37
71.0,-26
72.0,45
73.0,14
74.0,6
75.0,-22
76.0,-7
77.0,-10
78.0,-25
79.0,-6
80.0,-5
81.0,-6
82.0,-5
83.0,-79
84.0,-14
85.0,-12
86.0,-19
87.0,-76
88.0,-44
89.0,-51
90.0,-66
90.5,-64
