minute,value
1.0,-7
2.0,-10
3.0,-13
4.0,26
5.0,22
6.0,55
7.0,37
8.0,27
9.0,39
10.0,32
11.0,25
12.0,22
13.0,19
14.0,23
15.0,23
16.0,58
17.0,43
18.0,42
19.0,15
20.0,14
21.0,12
22.0,13
23.0,25
24.0,28
25.0,18
26.0,13
27.0,10
28.0,7
29.0,10
30.0,28
31.0,19
32.0,61
33.0,38
34.0,40
35.0,20
36.0,15
37.0,1
38.0,4
39.0,4
40.0,-12
41.0,-65
42.0,-29
43.0,-14
44.0,-7
45.0,-2
45.5,-6
46.0,11
47.0,4
48.0,1
49.0,-2
50.0,10
51.0,12
52.0,45
53.0,42
54.0,61
55.0,38
56.0,28
57.0,20
58.0,16
59.0,13
60.0,58
61.0,59
62.0,37
63.0,75
64.0,47
65.0,40
66.0,9
67.0,23
68.0,11
69.0,-9
70.0,-3
71.0,-11
72.0,-11
73.0,-55
74.0,-55
75.0,-37
76.0,-6
77.0,-62
78.0,-52
79.0,-34
80.0,-17
81.0,-17
82.0,-27
83.0,-29
84.0,-68
85.0,-41
86.0,-30
87.0,-17
88.0,-6
89.0,8
90.0,-20
90.5,20
