name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,firstName,lastName,sofascoreId
Jayden Bogle,bogle-jayden,J. Bogle,D,2,740,M,929132,"{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",False,save,assisted,right-foot,90,5347,2647,,21.1,58.4,0,49.2,4.4,,,
Luke Thomas,luke-thomas,L. Thomas,D,33,494,M,991584,"{'nameTranslation': {'ar': 'لوك توماس', 'hi': 'ल्यूक थॉमस', 'bn': 'লুক থমাস'}, 'shortNameTranslation': {'ar': 'ل. توماس', 'hi': 'एल. थॉमस', 'bn': 'এল. থমাস'}}",False,miss,assisted,left-foot,84,4991,2291,,25.8,36.7,0,50.8,61.1,,,
Oliver Norwood,oliver-norwood,O. Norwood,M,26,225,M,100637,"{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",False,block,assisted,right-foot,81,4835,2135,,24.4,64.0,0,50.1,19.0,,,
Jayden Bogle,bogle-jayden,J. Bogle,D,2,740,M,929132,"{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",False,miss,assisted,right-foot,77,4605,1905,,12.8,57.9,0,58.3,5.6,,,
Adam Webster,adam-webster,A. Webster,D,4,506,M,216308,"{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",False,goal,regular,left-foot,74,4385,1685,own,2.9,48.1,0,53.9,17.1,,,
Jayden Bogle,bogle-jayden,J. Bogle,D,2,740,M,929132,"{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",False,miss,assisted,right-foot,74,4384,1684,,5.4,68.2,0,65.9,5.6,,,
Mahmoud Dahoud,mahmoud-dahoud,M. Dahoud,M,18,1888,M,341589,"{'nameTranslation': {'ar': 'محمود داوود', 'hi': 'महमूद दाउद', 'bn': 'মাহমুদ দাহৌদ'}, 'shortNameTranslation': {'ar': 'م. داوود', 'hi': 'एम. दाउद', 'bn': 'এম. দাহৌদ'}}",True,save,corner,right-foot,62,3674,974,,26.1,47.2,0,51.8,14.6,,,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,21430,M,936849,"{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",True,block,corner,right-foot,62,3671,971,,25.8,33.0,0,48.4,19.0,,,KaoruM
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,21430,M,936849,"{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",True,save,assisted,left-foot,61,3624,924,,4.3,34.9,0,53.2,1.3,,,KaoruM
Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,2983,M,962012,"{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",True,miss,corner,head,59,3489,789,,2.8,59.3,0,48.6,62.5,,,
