name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAGoal,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,totalContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,challengeLost,dispossessed,shotOffTarget,blockedScoringAttempt,totalClearance,outfielderBlock,fouls,expectedGoals,onTargetScoringAttempt,goals,wasFouled,penaltyWon,expectedGoalsOnTarget,aerialLost,wonContest,bigChanceCreated,keyPass,goalAssist,accurateCross,totalOffside,bigChanceMissed,goodHighClaim,penaltyFaced,lastManTackle,penaltyConceded
André Onana,,,andre-onana,A. Onana,G,24,190.0,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",25.0,19.0,6.0,2.0,18.0,20.0,1.0,5.0,6.0,1.0,2.0,2.0,1.0,1.0,90.0,31.0,6.1,6.0,0.00767882,"{'original': 6.1, 'alternative': 5.7}",0,0.2252,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183.0,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",77.0,70.0,2.0,,32.0,35.0,38.0,43.0,2.0,,,,,,90.0,99.0,6.8,10.0,0.026095,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,1.0,6.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Casemiro,,,casemiro,Casemiro,M,18,185.0,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",125.0,109.0,21.0,13.0,71.0,76.0,38.0,51.0,5.0,,,,,,90.0,141.0,7.4,21.0,0.019427,"{'original': 7.4, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,5.0,3.0,8.0,,2.0,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.347,,,,,,,,,,,,,,,,,
Harry Maguire,,,harry-maguire,H. Maguire,D,5,194.0,27440,M,harrymaguire93,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",100.0,91.0,7.0,3.0,49.0,51.0,42.0,49.0,4.0,,,,,,90.0,110.0,8.3,10.0,0.0161431,"{'original': 8.3, 'alternative': 8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,5.0,,,1.0,1.0,1.0,,,,,1.0,2.0,,0.0866,1.0,1.0,1.0,1.0,0.5499,,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184.0,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",73.0,67.0,1.0,,17.0,19.0,50.0,56.0,5.0,,,,,,90.0,93.0,7.8,12.0,0.1123,"{'original': 7.8, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,2.0,6.0,1.0,,3.0,1.0,3.0,,1.0,,1.0,,,,0.0889,1.0,,,,0.3349,1.0,1.0,1.0,3.0,,,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180.0,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",44.0,40.0,,,18.0,19.0,22.0,25.0,6.0,,,,,,89.0,60.0,7.3,9.0,0.278838,"{'original': 7.3, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,6.0,3.0,,1.0,1.0,4.0,1.0,1.0,,1.0,,,,0.0588,,,2.0,,,2.0,3.0,,1.0,1.0,,,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182.0,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",60.0,56.0,4.0,2.0,25.0,26.0,31.0,35.0,4.0,,,,,,64.0,66.0,6.9,6.0,0.162383,"{'original': 6.9, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,2.0,1.0,,,1.0,,,1.0,1.0,2.0,,,,,0.0766,,,,,,,,,1.0,,,,,,,,
Antony,,,antony,Antony,M,7,172.0,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",41.0,34.0,,,8.0,8.0,26.0,33.0,3.0,,,,,,55.0,54.0,6.8,13.0,0.0578129,"{'original': 6.8, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,3.0,4.0,,,,2.0,2.0,1.0,1.0,1.0,,,1.0,0.0957,,,1.0,,,2.0,2.0,1.0,2.0,,,,,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179.0,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",76.0,66.0,12.0,8.0,20.0,20.0,51.0,72.0,2.0,,,,,,90.0,110.0,10.0,28.0,1.06258,"{'original': 10, 'alternative': 9.8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,16.0,,8.0,3.0,,,2.0,,3.0,2.0,4.0,1.0,1.0,1.0,,,0.8814,3.0,2.0,1.0,,1.235,2.0,,2.0,9.0,1.0,5.0,2.0,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180.0,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",53.0,48.0,,,5.0,6.0,44.0,48.0,2.0,,,,,,90.0,73.0,7.2,10.0,0.137018,"{'original': 7.2, 'alternative': 6.6}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,6.0,4.0,4.0,,,,,,2.0,,1.0,,,,0.6248,5.0,,3.0,,0.9314,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,
