name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialLost,aerialWon,dispossessed,shotOffTarget,hitWoodwork,expectedGoals,onTargetScoringAttempt,goals,outfielderBlock,wonTackle,expectedGoalsOnTarget,sofascoreId,goalAssist,bigChanceCreated,unsuccessfulTouch,blockedScoringAttempt,bigChanceMissed,totalOffside,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,errorLeadToAGoal
Harvey Barnes,,,harvey-barnes,H. Barnes,F,11,181,5075,M,855647,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,881625600,"{'value': 35000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي بارنز', 'hi': 'हार्वे बार्न्स', 'bn': 'হার্ভে বার্নস'}, 'shortNameTranslation': {'ar': 'ه. بارنز', 'hi': 'एच. बार्न्स', 'bn': 'এইচ. বার্নস'}}",16.0,9.0,1.0,,2.0,4.0,8.0,13.0,,2.0,,88.0,24.0,7.3,9.0,0.191175,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,4.0,,1.0,,,,3.0,,3.0,1.0,1.0,1.0,1.0,,0.1426,,,,,,,,2.0,,1.0,,,,,,,
Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4844,M,980634,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1037059200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",3.0,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,,12.0,5.0,6.5,1.0,0.00464778,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179,4014,M,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",1.0,1.0,,,1.0,1.0,,,,2.0,,8.0,2.0,6.4,1.0,1.6e-07,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,lewishall_10,,,,,,,,,,,
Matt Ritchie,,,matt-ritchie,M. Ritchie,M,30,173,305,M,42699,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,621388800,"{'value': 145000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات ريتشي', 'hi': 'मैट रिची', 'bn': 'ম্যাট রিচি'}, 'shortNameTranslation': {'ar': 'م. ريتشي', 'hi': 'एम. रिची', 'bn': 'এম. রিচি'}}",2.0,1.0,,,1.0,2.0,,,,,,1.0,3.0,,1.0,2.181e-05,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Dummett,,,paul-dummett,P. Dummett,D,,183,150,M,185995,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,685843200,,"{'nameTranslation': {'ar': 'بول دومت', 'hi': 'पॉल डमेट', 'bn': 'পল ডুমেট'}, 'shortNameTranslation': {'ar': 'ب. دومت', 'hi': 'पी. डमेट', 'bn': 'পি. ডামেট'}}",1.0,,,,,,,1.0,1.0,,,1.0,2.0,,1.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe White,,,joe-white,J. White,M,30,186,183,M,994550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1033430400,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وايت', 'hi': 'जो व्हाइट', 'bn': 'জো হোয়াইট'}, 'shortNameTranslation': {'ar': 'ج. وايت', 'hi': 'जे. व्हाइट', 'bn': 'জে. হোয়াইট'}}",,,,,,,,,,,,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Gillespie,,,mark-gillespie,M. Gillespie,G,29,190,383,M,108508,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,701654400,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك جيليسبي', 'hi': 'मार्क गिलेस्पी', 'bn': 'মার্ক গিলেস্পি'}, 'shortNameTranslation': {'ar': 'م. جيليسبي', 'hi': 'एम. गिलेस्पी', 'bn': 'এম. গিলেস্পি'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loris Karius,,,loris-karius,L. Karius,G,1,190,1695,M,174135,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,740707200,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوريس كاريوس', 'hi': 'लोरिस केरियस', 'bn': 'লরিস ক্যারিয়াস'}, 'shortNameTranslation': {'ar': 'ل. كاريوس', 'hi': 'एल. केरियस', 'bn': 'এল. কারিয়াস'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Murphy,,,alex-murphy,A. Murphy,D,37,188,673,M,1125214,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1088121600,"{'value': 315000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اليكس ميرفي', 'hi': 'एलेक्स मर्फी', 'bn': 'অ্যালেক্স মারফি'}, 'shortNameTranslation': {'ar': 'ا. ميرفي', 'hi': 'ए. मर्फी', 'bn': 'এ. মারফি'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Parkinson,Ben Parkinson,,parkinson-ben,B. Parkinson,F,40,183,117,M,1409087,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1110412800,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باركنسون، بن', 'hi': 'पार्किंसन, बेन', 'bn': 'পারকিনসন, বেন'}, 'shortNameTranslation': {'ar': 'ب. باركنسون', 'hi': 'बी. पार्किंसन', 'bn': 'বি. পার্কিনসন'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
