event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
256014243,Limerick 31st Mar,To Be Placed,31-03-2026 16:40,6116386,Beauvallon,1,1.29000000,1.3371,1.5264,1.00,1001.00,1.00,1001.00,4.86,2533.87,367.60
256014248,Limerick 31st Mar,To Be Placed,31-03-2026 17:10,73105871,Koeur A Prendre,0,6.60000000,6.2991,8.3999,5.40,5.40,1.00,1001.00,2.00,341.13,20.37
256014243,Limerick 31st Mar,To Be Placed,31-03-2026 16:40,10081005,Crooked Path,1,1.56000000,1.5976,1.8050,1.55,1.55,1.00,1001.00,12.38,5744.98,488.43
256014263,Limerick 31st Mar,To Be Placed,31-03-2026 18:42,50639254,Quest With Speed,0,3.10000000,3.4677,3.7616,1.00,1001.00,1.00,1001.00,7.78,627.04,201.47
256014258,Limerick 31st Mar,To Be Placed,31-03-2026 18:12,51992164,Shanroe Act,1,7.07436456,6.6648,3.8066,1.00,1001.00,1.00,1001.00,6.00,947.68,198.22
256014248,Limerick 31st Mar,To Be Placed,31-03-2026 17:10,91935952,Endless Talking,0,1.72824720,1.6458,1.5899,1.00,1001.00,1.00,1001.00,2.00,1661.12,604.09
256014243,Limerick 31st Mar,To Be Placed,31-03-2026 16:40,96467371,Pilgrims Walk,0,620.03565512,91.6561,1.0000,110.00,110.00,1.00,1001.00,0.00,19.32,1.58
256014248,Limerick 31st Mar,To Be Placed,31-03-2026 17:10,82354312,Blazing Duke,1,3.20000000,3.2300,1.7399,1.00,1001.00,1.00,1001.00,2.00,599.25,146.39
256014238,Limerick 31st Mar,To Be Placed,31-03-2026 16:10,93104119,Shirzan,1,1.44000000,1.4718,2.1799,1.00,1001.00,1.01,1.01,2.00,2765.30,723.01
256014253,Limerick 31st Mar,To Be Placed,31-03-2026 17:42,56616294,Peppers Corner,0,9.06195612,8.8250,6.2299,12.00,12.00,1.00,1001.00,2.00,559.66,21.94
256014243,Limerick 31st Mar,To Be Placed,31-03-2026 16:40,74355727,Folk Warrior,0,200.00000000,114.9782,1.0000,130.00,110.00,1.00,1001.00,0.00,23.94,0.29
256014263,Limerick 31st Mar,To Be Placed,31-03-2026 18:42,61940267,Come On The Lads,1,2.94000000,2.6332,2.7384,2.58,2.58,1.00,1001.00,8.76,1895.71,219.00
256014268,Limerick 31st Mar,To Be Placed,31-03-2026 19:12,96891228,Lady Du Plessis,0,12.84250692,14.1279,13.2198,1.00,1001.00,1.00,1001.00,2.00,264.68,57.85
256014268,Limerick 31st Mar,To Be Placed,31-03-2026 19:12,96891226,Even Tho,1,1.17000000,1.1451,1.0862,1.15,1.15,1.00,1001.00,7.38,5580.48,1144.83
256014263,Limerick 31st Mar,To Be Placed,31-03-2026 18:42,54678832,Mount Frisco,0,2.08836857,2.1074,2.1799,1.00,1001.00,1.00,1001.00,2.00,879.87,250.97
256014248,Limerick 31st Mar,To Be Placed,31-03-2026 17:10,90335489,Listentomewillya,0,15.74885431,16.5602,9.1999,1.00,1001.00,1.00,1001.00,2.00,93.60,55.37
256014268,Limerick 31st Mar,To Be Placed,31-03-2026 19:12,95931390,Ronnie Returns,0,391.03209016,79.4437,1.0000,100.00,100.00,1.00,1001.00,0.00,32.00,1.35
256014248,Limerick 31st Mar,To Be Placed,31-03-2026 17:10,93002277,Brackens Jet,0,3.35000000,3.4371,7.2932,1.00,1001.00,1.00,1001.00,6.52,591.90,16.58
256014253,Limerick 31st Mar,To Be Placed,31-03-2026 17:42,49818955,Elsannah,0,10.50000000,8.3668,5.0544,1.00,1001.00,1.00,1001.00,4.86,512.42,56.36
256014258,Limerick 31st Mar,To Be Placed,31-03-2026 18:12,27139960,Midnight Moonshine,0,3.36495528,2.8142,3.0399,1.00,1001.00,1.00,1001.00,2.00,1831.99,73.26
256014268,Limerick 31st Mar,To Be Placed,31-03-2026 19:12,92514780,Ash Hobbs,0,2.29932660,2.4798,2.4173,2.32,2.30,1.00,1001.00,12.30,4142.36,134.46
256014253,Limerick 31st Mar,To Be Placed,31-03-2026 17:42,70217863,Westernersunrise,0,1.88360429,1.9771,2.3917,1.00,1001.00,1.00,1001.00,7.92,1867.13,93.41
256014253,Limerick 31st Mar,To Be Placed,31-03-2026 17:42,47800408,Chemdawg,1,4.80000000,4.7427,4.9799,1.00,1001.00,1.00,1001.00,4.00,1047.31,114.17
256014258,Limerick 31st Mar,To Be Placed,31-03-2026 18:12,38662757,Duffys Hodey,1,2.87403397,2.9582,3.0582,1.00,1001.00,1.00,1001.00,34.94,937.87,234.47
256014268,Limerick 31st Mar,To Be Placed,31-03-2026 19:12,96891223,Sapphire Jewel,1,7.60000000,7.6655,6.1398,7.80,7.80,1.00,1001.00,2.00,1490.73,39.50
256014238,Limerick 31st Mar,To Be Placed,31-03-2026 16:10,15762200,Eitilt,0,500.00000000,210.8182,16.9999,500.00,500.00,1.00,1001.00,2.00,11.67,0.35
256014248,Limerick 31st Mar,To Be Placed,31-03-2026 17:10,62186806,El Phenomeno,0,20.87417345,21.3163,22.9998,1.00,1001.00,1.00,1001.00,2.00,87.42,29.09
256014253,Limerick 31st Mar,To Be Placed,31-03-2026 17:42,76887738,Millie B,1,4.50000000,4.8650,6.5199,1.00,1001.00,1.00,1001.00,2.00,699.44,69.42
256014258,Limerick 31st Mar,To Be Placed,31-03-2026 18:12,42190619,Another Ocana,0,3.48860779,3.0988,4.8199,1.00,1001.00,1.00,1001.00,2.00,752.73,135.53
256014243,Limerick 31st Mar,To Be Placed,31-03-2026 16:40,82155815,Manoir De Mirande,1,1.48638112,1.4960,1.4699,1.00,1001.00,1.00,1001.00,2.00,6671.36,974.09
256014248,Limerick 31st Mar,To Be Placed,31-03-2026 17:10,93332462,Jetstream Jeff,0,682.60183080,103.2182,64.9998,1.00,1001.00,1.00,1001.00,2.00,15.38,0.27
256014258,Limerick 31st Mar,To Be Placed,31-03-2026 18:12,71273546,Way Down South,0,2.25935477,2.2679,2.0749,1.00,1001.00,1.00,1001.00,8.00,921.55,287.57
256014253,Limerick 31st Mar,To Be Placed,31-03-2026 17:42,58609146,Dolly Watkins,1,2.18000000,2.2602,2.1582,1.00,1001.00,1.00,1001.00,12.00,2274.05,284.74
256014253,Limerick 31st Mar,To Be Placed,31-03-2026 17:42,81788410,Nashville Notions,0,12.45246000,12.8946,6.3699,1.00,1001.00,1.00,1001.00,2.00,260.93,33.42
256014243,Limerick 31st Mar,To Be Placed,31-03-2026 16:40,93104120,Try Them,0,3.60000000,3.3845,2.7822,1.00,1001.00,1.00,1001.00,4.00,305.14,33.39
256014268,Limerick 31st Mar,To Be Placed,31-03-2026 19:12,96891225,Dream Frequency,0,26.01391125,25.3285,1.0000,1.00,1001.00,1.00,1001.00,0.00,154.26,15.02
256014258,Limerick 31st Mar,To Be Placed,31-03-2026 18:12,55467923,Syracus Du Houx,0,7.18055488,7.0131,5.5099,1.00,1001.00,1.00,1001.00,2.00,1023.19,73.65
