name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,duelLost,challengeLost,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,wasFouled,outfielderBlock,aerialLost,totalContest,wonContest,shotOffTarget,unsuccessfulTouch,fouls,expectedGoals,onTargetScoringAttempt,goals,expectedGoalsOnTarget,keyPass,goalAssist,totalCross,accurateCross,bigChanceCreated,blockedScoringAttempt,totalOffside,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed
Ederson,ederson,Ederson,G,31,188,51284,M,Ederson93,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",34.0,32.0,4.0,3.0,30.0,31.0,2.0,3.0,1.0,1.0,7.0,1.0,2.0,90.0,43.0,6.9,2.0,0.00300242,"{'original': 6.9, 'alternative': 6.6}",0,0.0693,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Lewis,rico-lewis,R. Lewis,D,82,170,17414,M,Rico_Lewis,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",72.0,63.0,4.0,2.0,44.0,48.0,19.0,24.0,,4.0,3.0,,,90.0,89.0,6.8,10.0,0.0177286,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Rico Lewis,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
John Stones,john-stones,J. Stones,D,5,188,22451,M,johnstones5,152077,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,770083200,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ستونز', 'hi': 'जॉन स्टोन्स', 'bn': 'জন স্টোনস'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'hi': 'जे. स्टोन्स', 'bn': 'জে. স্টোনস'}}",106.0,97.0,5.0,4.0,67.0,70.0,30.0,36.0,3.0,4.0,5.0,,,90.0,113.0,7.1,9.0,0.0140275,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,nathanake,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",110.0,104.0,4.0,1.0,82.0,85.0,22.0,25.0,1.0,4.0,6.0,,,90.0,115.0,6.7,6.0,0.00799154,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,,1.0,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,JGvardiol,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",104.0,100.0,1.0,1.0,52.0,53.0,48.0,51.0,2.0,6.0,4.0,,,90.0,120.0,7.5,8.0,0.22959,"{'original': 7.5, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,1.0,1.0,,2.0,1.0,,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,0.1395,,,,,,,,,,,,,,
Rodri,rodri,Rodri,M,16,191,93944,M,Rodri,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",113.0,98.0,11.0,6.0,55.0,60.0,43.0,53.0,5.0,9.0,3.0,,,87.0,123.0,7.9,16.0,0.0357567,"{'original': 7.9, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,,2.0,,1.0,1.0,2.0,,,2.0,1.0,,,,0.1105,1.0,1.0,0.3225,1.0,,,,,,,,,,
Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,18816,M,matheusnunes,945122,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,904176000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس نونيز', 'hi': 'मैथियस नून्स', 'bn': 'ম্যাথিউস নুনেস'}, 'shortNameTranslation': {'ar': 'م. نونيز', 'hi': 'एम. नून्स', 'bn': 'এম. নুনেস'}}",60.0,53.0,2.0,,26.0,28.0,28.0,34.0,3.0,9.0,1.0,,,90.0,82.0,7.6,16.0,0.822044,"{'original': 7.6, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,1.0,3.0,1.0,,1.0,1.0,3.0,,1.0,3.0,2.0,,1.0,1.0,0.1276,1.0,,0.028,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,
Phil Foden,phil-foden,P. Foden,M,47,171,188988,M,Foden,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",51.0,43.0,2.0,2.0,15.0,20.0,28.0,32.0,,,4.0,,,76.0,56.0,7.1,11.0,0.0874636,"{'original': 7.1, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,2.0,,,,,,,,,,,,,0.1204,,,,1.0,1.0,1.0,,,2.0,,,,,
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,335100,M,KDB,70996,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,678067200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفن دي بروين', 'hi': 'केविन डी ब्रूने', 'bn': 'কেভিন ডি ব্রুইন'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'hi': 'के. डी ब्रूने', 'bn': 'কে. ডি ব্রুইন'}}",57.0,50.0,5.0,5.0,17.0,20.0,33.0,38.0,1.0,5.0,5.0,,,71.0,73.0,8.0,13.0,0.204514,"{'original': 8, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,4.0,,1.0,,,2.0,2.0,1.0,,1.0,3.0,1.0,1.0,,,0.0939,,,,1.0,1.0,1.0,,1.0,2.0,,,,,
Jérémy Doku,jeremy-doku,J. Doku,M,11,173,68596,M,Dokss,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",44.0,38.0,,,11.0,11.0,27.0,36.0,,10.0,3.0,,,90.0,73.0,7.6,18.0,0.113511,"{'original': 7.6, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,,3.0,,2.0,2.0,1.0,2.0,,,9.0,6.0,,1.0,1.0,,,,,4.0,,3.0,,,,1.0,,,,
