match_id,home_team,away_team,stage,rating,votes,total_goals,goal_difference,lead_changes,comeback_win_draw,late_goals,time_of_last_goal,extra_time,penalty_shootout,total_shots,total_shots_on_target,total_xg,xg_difference,big_chances_total,big_chances_missed,possession_imbalance,fouls_total,corner_kicks,red_cards,yellow_cards,penalties_awarded,stage_stakes,predicted_rating,error
10230635,Argentina,France,Final,9.7,100,6,0,0,1,4,118,1,1,30.0,15.0,5.5,0.96,8.0,3.0,4.0,45.0,11.0,0,8,3,5.0,9.563770953824633,0.1362290461753659
10230639,Netherlands,Argentina,Quarterfinals,8.9,100,4,0,0,1,2,90,1,1,20.0,7.0,2.47,1.37,2.0,0.0,2.0,48.0,10.0,1,16,1,3.0,9.04314794330502,-0.1431479433050189
10230541,Qatar,Ecuador,Group stage,5.8,128,2,2,0,0,0,31,0,0,11.0,3.0,1.5,0.8599999999999999,2.0,1.0,3.0,30.0,4.0,0,6,1,1.0,6.196767656531971,-0.39676765653197155
10230543,England,Iran,Group stage,7.2,109,8,4,0,0,2,90,0,0,21.0,10.0,3.86,0.3599999999999999,5.0,1.0,28.0,23.0,8.0,0,2,1,1.0,7.40834399762437,-0.20834399762436995
10230533,Senegal,Netherlands,Group stage,6.6,109,2,2,0,0,2,90,0,0,25.0,7.0,1.56,0.2199999999999999,2.0,0.0,3.0,26.0,13.0,0,3,0,1.0,5.877580719831962,0.7224192801680376
10230548,USA,Wales,Group stage,6.3,103,2,0,0,1,1,82,0,0,13.0,4.0,2.34,0.76,5.0,3.0,9.0,25.0,8.0,0,6,1,1.0,6.816016409760236,-0.516016409760236
10230528,Argentina,Saudi Arabia,Group stage,8.7,479,3,1,1,1,0,53,0,0,18.0,8.0,2.41,2.11,2.0,1.0,19.0,28.0,11.0,0,6,1,1.0,7.744198044653692,0.9558019553463071
10230576,Denmark,Tunisia,Group stage,5.2,83,0,0,0,0,0,0,0,0,24.0,6.0,2.52,0.68,2.0,2.0,11.0,19.0,20.0,0,3,0,1.0,5.538144481618067,-0.338144481618067
10230565,Mexico,Poland,Group stage,5.2,99,0,0,0,0,0,0,0,0,17.0,6.0,1.66,0.2199999999999999,2.0,2.0,11.0,29.0,11.0,0,3,1,1.0,5.9470793934331745,-0.7470793934331743
10230563,France,Australia,Group stage,6.9,121,5,3,1,1,0,71,0,0,27.0,8.0,4.73,3.69,9.0,4.0,12.0,16.0,9.0,0,3,0,1.0,7.090782371083016,-0.19078237108301543
10230570,Morocco,Croatia,Group stage,6.4,99,0,0,0,0,0,0,0,0,13.0,4.0,0.89,0.15,1.0,1.0,15.0,27.0,5.0,0,1,0,1.0,6.088784429721473,0.3112155702785273
10230562,Germany,Japan,Group stage,7.8,131,3,1,1,1,1,83,0,0,38.0,13.0,4.55,1.63,8.0,5.0,24.0,20.0,12.0,0,0,1,1.0,7.287039408816112,0.5129605911838881
10230571,Spain,Costa Rica,Group stage,7.4,92,7,7,0,0,2,90,0,0,17.0,8.0,3.53,3.53,5.0,1.0,32.0,20.0,5.0,0,2,1,1.0,6.986563909270122,0.41343609072987864
10230559,Belgium,Canada,Group stage,6.4,83,1,1,0,0,0,44,0,0,31.0,6.0,3.4,1.86,4.0,3.0,4.0,25.0,8.0,0,5,1,1.0,6.0809551537459425,0.3190448462540578
10230569,Switzerland,Cameroon,Group stage,5.3,69,1,1,0,0,0,48,0,0,15.0,8.0,2.18,0.7,4.0,3.0,1.0,22.0,16.0,0,3,0,1.0,6.162850157245435,-0.8628501572454352
10230530,Uruguay,South Korea,Group stage,5.3,79,0,0,0,0,0,0,0,0,17.0,1.0,1.23,0.05,2.0,2.0,6.0,17.0,7.0,0,3,0,1.0,5.451779297049485,-0.1517792970494849
10230534,Portugal,Ghana,Group stage,7.1,96,5,1,0,0,2,89,0,0,20.0,8.0,2.93,1.0699999999999998,7.0,2.0,12.0,33.0,6.0,0,6,1,1.0,7.154034782134596,-0.05403478213459678
10230567,Brazil,Serbia,Group stage,7.3,100,2,2,0,0,0,73,0,0,28.0,9.0,2.6100000000000003,2.25,2.0,1.0,9.0,19.0,10.0,0,3,0,1.0,6.705456760506602,0.5945432394933974
10230556,Wales,Iran,Group stage,7.0,77,2,2,0,0,2,90,0,0,31.0,9.0,2.36,0.58,3.0,2.0,12.0,19.0,9.0,1,3,0,1.0,7.063273969428691,-0.06327396942869079
10230537,Qatar,Senegal,Group stage,6.0,73,4,2,0,0,1,84,0,0,23.0,8.0,1.71,0.2099999999999999,3.0,1.0,5.0,19.0,12.0,0,6,0,1.0,6.07179314474135,-0.07179314474135001
10230529,Netherlands,Ecuador,Group stage,6.8,90,2,0,0,1,0,49,0,0,17.0,5.0,1.78,1.5799999999999998,1.0,0.0,4.0,27.0,7.0,0,1,0,1.0,6.624438447186361,0.1755615528136385
10230557,England,USA,Group stage,5.4,102,0,0,0,0,0,0,0,0,18.0,4.0,1.4,0.14,2.0,2.0,6.0,24.0,10.0,0,0,0,1.0,5.527038759204659,-0.1270387592046589
10230574,Tunisia,Australia,Group stage,4.5,71,1,1,0,0,0,23,0,0,23.0,6.0,1.5499999999999998,0.3299999999999999,2.0,2.0,8.0,31.0,7.0,0,3,0,1.0,5.31583061692201,-0.8158306169220104
10230542,Poland,Saudi Arabia,Group stage,5.7,78,2,2,0,0,1,82,0,0,25.0,8.0,3.29,0.1699999999999999,8.0,6.0,14.0,33.0,9.0,0,5,1,1.0,5.762791863510218,-0.06279186351021782
10230577,France,Denmark,Group stage,6.7,111,3,1,0,0,1,86,0,0,31.0,9.0,3.06,1.7799999999999998,5.0,3.0,1.0,13.0,10.0,0,3,0,1.0,6.430452773615809,0.2695472263841916
10230540,Argentina,Mexico,Group stage,6.8,176,2,2,0,0,1,87,0,0,9.0,3.0,0.5900000000000001,0.0499999999999999,0.0,0.0,9.0,34.0,6.0,0,5,0,1.0,6.67184557592089,0.12815442407910993
10230564,Japan,Costa Rica,Group stage,6.3,75,1,1,0,0,1,81,0,0,17.0,4.0,0.99,0.77,0.0,0.0,7.0,31.0,5.0,0,6,0,1.0,6.63517039782383,-0.3351703978238305
10230545,Belgium,Morocco,Group stage,7.6,95,2,2,0,0,1,90,0,0,20.0,7.0,2.44,0.52,3.0,2.0,17.0,24.0,10.0,0,2,0,1.0,6.861799618348276,0.7382003816517235
10230550,Croatia,Canada,Group stage,6.3,70,5,3,1,1,1,90,0,0,21.0,12.0,3.0700000000000003,2.17,7.0,4.0,2.0,18.0,7.0,0,4,0,1.0,6.633596222604643,-0.33359622260464317
10230575,Spain,Germany,Group stage,6.9,93,2,0,0,1,1,83,0,0,18.0,7.0,1.79,0.65,3.0,1.0,14.0,24.0,11.0,0,4,0,1.0,6.674568407159915,0.22543159284008496
10230568,Cameroon,Serbia,Group stage,8.3,88,6,0,1,1,0,66,0,0,28.0,13.0,4.17,0.4100000000000001,7.0,2.0,9.0,21.0,7.0,0,4,0,1.0,7.84240486461796,0.4575951353820411
10230552,South Korea,Ghana,Group stage,7.8,76,5,1,0,0,0,68,0,0,29.0,10.0,3.48,0.1200000000000001,5.0,1.0,13.0,22.0,17.0,1,4,0,1.0,8.010652245727155,-0.21065224572715469
10230561,Brazil,Switzerland,Group stage,6.8,83,1,1,0,0,1,83,0,0,19.0,5.0,1.32,0.72,2.0,2.0,4.0,27.0,11.0,0,2,0,1.0,6.29727887208886,0.5027211279111397
10230539,Portugal,Uruguay,Group stage,6.3,81,2,2,0,0,1,90,0,0,26.0,6.0,2.6,0.06,3.0,2.0,10.0,26.0,8.0,0,5,1,1.0,6.49423375767715,-0.19423375767715
10230532,Wales,England,Group stage,5.8,69,3,3,0,0,0,68,0,0,25.0,8.0,2.81,2.11,4.0,3.0,15.0,25.0,7.0,0,2,0,1.0,6.205430517234575,-0.4054305172345751
10230536,Iran,USA,Group stage,6.6,74,1,1,0,0,0,38,0,0,16.0,6.0,1.6,0.76,3.0,2.0,1.0,24.0,6.0,0,4,0,1.0,6.006542664190125,0.5934573358098749
10230551,Ecuador,Senegal,Group stage,7.6,91,3,1,0,0,0,70,0,0,23.0,7.0,3.0700000000000003,1.21,4.0,1.0,11.0,34.0,9.0,0,1,1,1.0,7.535258544423372,0.0647414555766277
10230538,Netherlands,Qatar,Group stage,5.5,59,2,2,0,0,0,49,0,0,18.0,7.0,1.75,1.4700000000000002,2.0,1.0,13.0,28.0,6.0,0,1,0,1.0,6.524338020833863,-1.0243380208338628
