name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,totalContest,blockedScoringAttempt,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,expectedGoals,keyPass,challengeLost,shotOffTarget,clearanceOffLine,lastManTackle,wonTackle,fouls,aerialLost,wonContest,onTargetScoringAttempt,unsuccessfulTouch,expectedGoalsOnTarget,goals,dispossessed,bigChanceCreated,bigChanceMissed,totalOffside,punches,totalKeeperSweeper,accurateKeeperSweeper,hitWoodwork
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",41.0,25.0,27.0,11.0,0.0,15.0,18.0,10.0,23.0,1.0,1.0,11.0,3.0,4.0,5.0,90.0,54.0,7.4,16.0,0.00210253,"{'original': 7.4, 'alternative': 6.9}",0,-0.6881,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",23.0,20.0,,,0.0,9.0,9.0,12.0,15.0,1.0,4.0,3.0,,,,90.0,46.0,7.2,5.0,0.159313,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.04,2.0,,,,,,,,,,,,,,,,,,,,
Casemiro,,,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",31.0,22.0,5.0,3.0,0.0,15.0,15.0,7.0,16.0,1.0,5.0,3.0,,,,90.0,47.0,7.5,9.0,0.0307522,"{'original': 7.5, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,,,5.0,2.0,1.0,3.0,1.0,0.2132,,3.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
Jonny Evans,,,jonny-evans,J. Evans,D,,188,4632,M,6jevans,30144,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,568166400,,"{'nameTranslation': {'ar': 'جوني إيفانز', 'hi': 'जॉनी इवांस', 'bn': 'জনি ইভান্স'}, 'shortNameTranslation': {'ar': 'ج. إيفانز', 'hi': 'जे. इवांस', 'bn': 'জে. ইভান্স'}}",25.0,24.0,1.0,,0.0,18.0,18.0,6.0,7.0,1.0,1.0,2.0,,,,90.0,34.0,6.6,1.0,0.00244937,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",34.0,28.0,4.0,2.0,0.0,12.0,13.0,16.0,21.0,,2.0,2.0,,,,90.0,54.0,6.7,10.0,0.00813276,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,1.0,,5.0,,1.0,1.0,,0.0167,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,0.0333,,,,,,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",43.0,40.0,3.0,2.0,0.0,20.0,22.0,20.0,21.0,1.0,2.0,5.0,,,,90.0,52.0,6.5,5.0,0.0706017,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,,,3.0,1.0,,1.0,,,1.0,1.0,,,,,5.0,2.0,,,2.0,,,,,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",27.0,21.0,,,0.0,4.0,6.0,17.0,21.0,1.0,4.0,6.0,,,,83.0,39.0,7.9,8.0,0.0429002,"{'original': 7.9, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,2.0,,1.0,1.0,3.0,2.0,,0.4692,,1.0,,,,2.0,1.0,3.0,1.0,1.0,1.0,0.57,1.0,,,,,,,,
Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,85678,M,AmadDiallo19,971037,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1026345600,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أماد', 'hi': 'डायलो, अमाद', 'bn': 'ডায়ালো, আমাদ'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'hi': 'ए. अमाद', 'bn': 'এ. ডায়ালো'}}",30.0,24.0,,,1.0,6.0,6.0,18.0,24.0,1.0,5.0,1.0,,,,82.0,47.0,8.6,10.0,0.0646679,"{'original': 8.6, 'alternative': 8.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2037,2.0,3.0,1.0,,,,2.0,,2.0,2.0,1.0,0.0786,1.0,1.0,1.0,,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",18.0,13.0,,,0.0,2.0,7.0,11.0,12.0,,1.0,2.0,,,,83.0,26.0,6.6,8.0,0.0316279,"{'original': 6.6, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,1.0,,,,,,,0.1903,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,0.6089,,1.0,,1.0,1.0,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",26.0,18.0,1.0,1.0,0.0,5.0,6.0,13.0,20.0,6.0,12.0,6.0,,,,90.0,48.0,7.0,13.0,0.00901564,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,9.0,2.0,1.0,4.0,,1.0,4.0,2.0,0.1588,,,,,,2.0,1.0,4.0,,1.0,,0.0246,,2.0,,,,,,,
