name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,totalContest,wonContest,outfielderBlock,keyPass,duelLost,totalClearance,totalTackle,wonTackle,fouls,goalAssist,aerialLost,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,interceptionWon,expectedGoals,expectedGoalsOnTarget,blockedScoringAttempt,unsuccessfulTouch,totalOffside,challengeLost,dispossessed,goals,lastManTackle,hitWoodwork,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal
Jean-Philippe Mateta,,,jean-philippe-mateta,J. Mateta,F,14,192,9259,M,Matetajphilippe,848276,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,867456000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",13.0,9.0,,,2.0,2.0,7.0,12.0,1.0,3.0,4.0,1.0,,,68.0,29.0,7.0,14.0,0.0102125,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,1.0,,,6.0,,,,,,1.0,,,1.0,,0.1361,0.3555,,4.0,,,2.0,1.0,,,,,,
Jaïro Riedewald,,,jairo-riedewald,J. Riedewald,M,44,186,1300,M,,285989,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,842227200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",16.0,16.0,1.0,1.0,7.0,7.0,9.0,9.0,,2.0,3.0,1.0,,,22.0,22.0,6.8,2.0,0.0332792,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
Odsonne Édouard,,,odsonne-edouard,O. Édouard,F,19,187,5777,M,,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",9.0,7.0,1.0,1.0,1.0,2.0,6.0,7.0,,3.0,,,,,22.0,16.0,7.0,4.0,0.0144524,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,3.0,2.0,,1.0,5.0,,1.0,1.0,2.0,,1.0,,1.0,,,0.041,,,1.0,,1.0,,,,1.0,,,,
Marc Guéhi,,,marc-guehi,M. Guéhi,D,6,182,7807,M,MarcGuehi13,877994,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,963446400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",18.0,18.0,,,8.0,8.0,10.0,10.0,,1.0,2.0,1.0,,,12.0,20.0,6.8,,0.00317922,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Schlupp,,,jeffrey-schlupp,J. Schlupp,D,27,178,762,M,,148710,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,725068800,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",2.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,11.0,7.0,6.5,3.0,0.00019588,"{'original': 6.5, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,
Jordan Ayew,,,jordan-ayew,J. Ayew,F,9,182,14311,M,jordanayew9,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",3.0,3.0,,,2.0,2.0,2.0,3.0,,,,,,,11.0,7.0,6.7,2.0,0.0216644,"{'original': 6.7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,0.0468,0.1178,,,,,,,,,,,,
Remi Matthews,,,remi-matthews,R. Matthews,G,31,184,187,M,,581610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,760838400,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمي ماثيوز', 'hi': 'रेमी मैथ्यूज़', 'bn': 'রেমি ম্যাথিউস'}, 'shortNameTranslation': {'ar': 'ر. ماثيوز', 'hi': 'आर. मैथ्यूज़', 'bn': 'আর. ম্যাথিউস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,,,joel-ward,J. Ward,D,,188,256,M,,39183,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,625622400,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naouirou Ahamada,,,naouirou-ahamada,N. Ahamada,M,28,183,422,M,,997104,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1017360000,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesurun Rak-Sakyi,,,jesurun-rak-sakyi,J. Rak-Sakyi,M,19,178,1031,M,,1101362,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1033776000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيسورون راك-ساكيي', 'hi': 'जेसुरुन राक-साकी', 'bn': 'জেসুরুন রাক-সাকি'}, 'shortNameTranslation': {'ar': 'ج. راك-ساكيي', 'hi': 'जे. राक-साकी', 'bn': 'জে. রাক-সাকাই'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
