name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,totalContest,wonContest,outfielderBlock,keyPass,duelLost,totalClearance,totalTackle,wonTackle,fouls,goalAssist,aerialLost,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,interceptionWon,expectedGoals,expectedGoalsOnTarget,blockedScoringAttempt,unsuccessfulTouch,totalOffside,challengeLost,dispossessed,goals,lastManTackle,hitWoodwork,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAGoal
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",41.0,32.0,10.0,1.0,32.0,35.0,,6.0,,1.0,10.0,,4.0,6.0,90.0,55.0,7.1,9.0,5.926e-05,"{'original': 7.1, 'alternative': 6.9}",0,-2.2886,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",60.0,54.0,3.0,2.0,39.0,41.0,15.0,21.0,,,4.0,,,,90.0,76.0,6.1,11.0,0.032751,"{'original': 6.1, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,,,,2.0,4.0,4.0,,,2.0,,,,,,,,,,2.0,,2.0,,,,,,,,
Casemiro,,,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",110.0,95.0,14.0,5.0,75.0,79.0,20.0,31.0,1.0,8.0,6.0,,,,90.0,127.0,6.0,17.0,0.0205556,"{'original': 6, 'alternative': 5.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,,,9.0,3.0,7.0,6.0,1.0,,,,1.0,1.0,1.0,0.0741,0.0562,,1.0,1.0,7.0,1.0,,,,,,,1.0
Jonny Evans,,,jonny-evans,J. Evans,D,,188,4632,M,6jevans,30144,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,568166400,,"{'nameTranslation': {'ar': 'جوني إيفانز', 'hi': 'जॉनी इवांस', 'bn': 'জনি ইভান্স'}, 'shortNameTranslation': {'ar': 'ج. إيفانز', 'hi': 'जे. इवांस', 'bn': 'জে. ইভান্স'}}",91.0,86.0,3.0,1.0,70.0,71.0,16.0,20.0,3.0,11.0,3.0,,,,90.0,108.0,6.8,6.0,0.00619271,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,1.0,,4.0,2.0,8.0,6.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",57.0,40.0,5.0,,18.0,26.0,23.0,34.0,2.0,4.0,5.0,1.0,,,90.0,81.0,6.4,22.0,0.0496968,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,4.0,,,,1.0,,,1.0,,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",68.0,64.0,2.0,2.0,36.0,39.0,28.0,30.0,,8.0,9.0,2.0,,,90.0,86.0,7.0,7.0,0.310612,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,1.0,,,4.0,,5.0,2.0,,,1.0,,,,,,,,1.0,,2.0,,,,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",56.0,46.0,7.0,3.0,25.0,25.0,24.0,34.0,,,6.0,,,,90.0,70.0,6.5,15.0,0.143966,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,3.0,2.0,,1.0,2.0,3.0,,,,,,,,,,,0.1011,,1.0,1.0,,,1.0,,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",20.0,14.0,1.0,1.0,7.0,8.0,7.0,12.0,,3.0,4.0,3.0,,,60.0,30.0,6.5,8.0,0.00666868,"{'original': 6.5, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,,,4.0,1.0,,,,,1.0,,,1.0,,0.0188,0.3187,,,,1.0,,,,,,,,
Mason Mount,,,mason-mount,M. Mount,M,7,181,42056,M,MMount,836694,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915926400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسون ماونت', 'hi': 'मेसन माउंट', 'bn': 'মেসন মাউন্ট'}, 'shortNameTranslation': {'ar': 'م. مونت', 'hi': 'एम. माउंट', 'bn': 'এম. মাউন্ট'}}",27.0,21.0,,,9.0,11.0,13.0,17.0,1.0,4.0,6.0,1.0,,,80.0,36.0,6.5,8.0,0.0393864,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,1.0,,,,2.0,1.0,2.0,2.0,1.0,,,,,,,0.0752,,1.0,1.0,,,,,,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",34.0,26.0,1.0,,12.0,15.0,14.0,19.0,,4.0,3.0,2.0,,,90.0,51.0,6.3,16.0,0.0301163,"{'original': 6.3, 'alternative': 5.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,1.0,,,8.0,,1.0,1.0,,,1.0,,,,1.0,0.0258,,1.0,2.0,,1.0,4.0,,,,,,,
Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191,71511,M,RHøjlund,1086417,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1044316800,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",16.0,11.0,,,5.0,7.0,6.0,9.0,1.0,2.0,,1.0,,,80.0,27.0,6.5,8.0,0.00764719,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,,4.0,1.0,,,1.0,,2.0,,1.0,,,0.0589,,,1.0,,,1.0,,,,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",26.0,23.0,,,14.0,16.0,9.0,10.0,,3.0,2.0,2.0,,,30.0,36.0,6.9,3.0,0.00253054,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,1.0,2.0,,2.0,2.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,85678,M,AmadDiallo19,971037,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1026345600,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أماد', 'hi': 'डायलो, अमाद', 'bn': 'ডায়ালো, আমাদ'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'hi': 'ए. अमाद', 'bn': 'এ. ডায়ালো'}}",4.0,4.0,,,3.0,3.0,1.0,1.0,,,3.0,,,,10.0,5.0,6.6,,0.00012605,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Ethan Wheatley,,,wheatley-ethan,E. Wheatley,F,19,187,4462,M,,1426625,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1137715200,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويتلي، إيثان', 'hi': 'व्हीटली, एथन', 'bn': 'হুইটলি, ইথান'}, 'shortNameTranslation': {'ar': 'إ. ويتلي', 'hi': 'ई. व्हीटली', 'bn': 'ই. হুইটলি'}}",,,,,,,,,,1.0,1.0,,,,10.0,5.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,3.0,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,2.0,,,,,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Heaton,,,tom-heaton,T. Heaton,G,22,188,5775,M,tomheatongk,18122,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,513907200,"{'value': 140000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم هيتون', 'hi': 'टॉम हेटन', 'bn': 'টম হিটন'}, 'shortNameTranslation': {'ar': 'ت. هيتون', 'hi': 'टी. हेटन', 'bn': 'টি. হিটন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habeeb Ogunneye,Habeeb Ogunneye,,ogunneye-habeeb,H. Ogunneye,D,22,180,882,M,,1150926,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1131753600,"{'value': 77000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغوناي، حبيب'}, 'shortNameTranslation': {'ar': 'ح. أوغوناي'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Jackson,,,jackson-louis,L. Jackson,D,14,191,387,M,,1167382,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1127001600,,"{'nameTranslation': {'ar': 'لويس جاكسون'}, 'shortNameTranslation': {'ar': 'ل. جاكسون'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Amass,Harry Amass,,amass-harry,H. Amass,D,12,181,6272,M,,1461595,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1174003200,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أماس، هاري', 'hi': 'अमास, हैरी', 'bn': 'অ্যামাস, হ্যারি'}, 'shortNameTranslation': {'ar': 'ه. أماس', 'hi': 'एच. अमास', 'bn': 'এইচ. আমাস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toby Collyer,Toby Collyer,,toby-collyer,T. Collyer,M,13,180,7416,M,tobycollyer,1084356,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073088000,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توبي كوليير', 'hi': 'टोबी कोलियर', 'bn': 'টবি কলিয়ার'}, 'shortNameTranslation': {'ar': 'ت. كوليير', 'hi': 'टी. कोलियर', 'bn': 'টি. কলিয়ার'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
