name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,challengeLost,dispossessed,totalContest,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,interceptionWon,aerialLost,firstName,lastName,accurateCross,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,keyPass,goalAssist,wonContest,bigChanceCreated,errorLeadToAGoal,shotOffTarget,blockedScoringAttempt,goals,hitWoodwork,bigChanceMissed,totalOffside
Neto,neto,Neto,G,22,190,5304,M,Neto_Murara,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",28.0,16.0,16.0,6.0,13.0,18.0,3.0,10.0,1.0,1.0,1.0,12.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,90.0,42.0,7.4,12.0,0.00087631,"{'original': 7.4, 'alternative': 7}",0,-0.6822,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Aarons,max-aarons,M. Aarons,D,3,178,1292,M,,943645,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,946944000,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس آرونز', 'hi': 'मैक्स आरोन्स', 'bn': 'ম্যাক্স অ্যারোনস'}, 'shortNameTranslation': {'ar': 'م. آرونز', 'hi': 'एम. आरोन्स', 'bn': 'এম. অ্যারোনস'}}",25.0,18.0,4.0,,8.0,12.0,10.0,14.0,,3.0,,6.0,,,,,,,,90.0,47.0,6.2,14.0,0.00945871,"{'original': 6.2, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,IlliaZabarnyi,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",36.0,29.0,9.0,3.0,23.0,23.0,6.0,13.0,1.0,1.0,3.0,4.0,,,,,,,,90.0,43.0,6.5,7.0,0.00200473,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191,2786,M,,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",41.0,32.0,7.0,1.0,22.0,27.0,10.0,16.0,1.0,2.0,4.0,7.0,,,,,,,,90.0,56.0,6.4,15.0,0.00533124,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,6.0,1.0,,,1.0,1.0,,1.0,,1.0,,4.0,,,,,,,,,,,,,,,,,
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,24997,M,miloskerkez,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",22.0,16.0,4.0,1.0,6.0,11.0,11.0,14.0,,4.0,1.0,8.0,,,,,,,,85.0,45.0,6.6,17.0,0.0791005,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,5.0,,,1.0,,2.0,,3.0,2.0,1.0,,3.0,Milos,Kerkez,1.0,,,,,,,,,,,,,,
Alex Scott,alex-scott,A. Scott,M,8,178,2151,M,,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",18.0,12.0,,,5.0,6.0,7.0,12.0,1.0,3.0,,,,,,,,,,57.0,23.0,6.5,7.0,0.00677068,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,1.0,,1.0,,1.0,1.0,,1.0,2.0,,,Alex Scott,,,,,,,,,,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",25.0,20.0,1.0,,12.0,15.0,8.0,11.0,1.0,3.0,,4.0,,,,,,,,54.0,33.0,5.9,7.0,0.00299996,"{'original': 5.9, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,2.0,1.0,,,2.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,
David Brooks,david-brooks,D. Brooks,M,7,173,1194,M,,855731,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,868320000,"{'value': 11000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافيد بروكس', 'hi': 'डेविड ब्रूक्स', 'bn': 'ডেভিড ব্রুকস'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'hi': 'डी. ब्रूक्स', 'bn': 'ডি. ব্রুকস'}}",20.0,15.0,1.0,,2.0,2.0,13.0,18.0,,2.0,,3.0,,,,,,,,57.0,29.0,6.9,7.0,0.111305,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,,,1.0,,2.0,2.0,1.0,,1.0,1.0,,,,,1.0,0.0319,0.051,1.0,,,,,,,,,,
Philip Billing,philip-billing,P. Billing,M,8,193,1832,M,,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",25.0,21.0,2.0,2.0,6.0,6.0,15.0,19.0,1.0,5.0,4.0,7.0,,,,,,,,90.0,51.0,7.2,10.0,0.558989,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,8.0,,2.0,2.0,1.0,3.0,2.0,3.0,,2.0,3.0,3.0,,,,1.0,0.0173,0.3121,2.0,1.0,1.0,1.0,1.0,,,,,,
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1676,M,,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",16.0,14.0,,,1.0,3.0,13.0,15.0,1.0,7.0,1.0,,,,,,,,,75.0,33.0,6.7,10.0,0.0362693,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,10.0,2.0,2.0,4.0,,3.0,2.0,2.0,1.0,2.0,,2.0,,,,,,,1.0,,2.0,,,,,,,,
