Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,player_id
2023-08-11,Fri,Premier League,Matchweek 1,Home,L 0–3,Burnley,Manchester City,Y,GK,90,8,3,5,62.5,0,2.7,0,0,0,0,5,16,31.3,47,8,27.7,26.8,5,60.0,40.4,14,0,0.0,4,22.3,Match Report,259fea27
2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–3,Burnley,Aston Villa,Y,GK,90,6,3,3,50.0,0,3.8,0,0,0,0,2,4,50.0,23,7,17.4,24.4,4,0.0,12.3,9,0,0.0,4,35.8,Match Report,259fea27
2023-08-30,Wed,EFL Cup,Second round,Away,W 1–0,Burnley,Nott'ham Forest,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,259fea27
2023-09-02,Sat,Premier League,Matchweek 4,Home,L 2–5,Burnley,Tottenham,Y,GK,90,11,5,6,54.5,0,4.5,0,0,0,0,8,24,33.3,59,12,33.9,30.7,7,57.1,44.0,6,0,0.0,3,19.8,Match Report,259fea27
2023-09-18,Mon,Premier League,Matchweek 5,Away,D 1–1,Burnley,Nott'ham Forest,Y,GK,90,4,1,3,75.0,0,1.0,0,0,0,0,2,8,25.0,47,2,10.6,20.0,6,50.0,40.3,15,1,6.7,2,16.0,Match Report,259fea27
2023-09-23,Sat,Premier League,Matchweek 6,Home,L 0–1,Burnley,Manchester Utd,Y,GK,90,4,1,3,75.0,0,0.8,0,0,0,0,2,7,28.6,78,6,9.0,19.1,3,0.0,21.7,9,1,11.1,0,7.0,Match Report,259fea27
2023-09-26,Tue,EFL Cup,Third round,Away,W 4–0,Burnley,Salford City,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report,259fea27
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 0–2,Burnley,Newcastle Utd,Y,GK,90,7,2,5,85.7,0,2.1,1,1,0,0,5,27,18.5,57,9,36.8,30.1,9,66.7,44.3,17,1,5.9,0,7.0,Match Report,259fea27
2023-10-03,Tue,Premier League,Matchweek 2,Away,W 2–1,Burnley,Luton Town,Y,GK,90,2,1,1,50.0,0,0.3,0,0,0,0,8,31,25.8,35,4,54.3,43.4,12,100.0,70.3,25,1,4.0,2,15.7,Match Report,259fea27
2023-10-07,Sat,Premier League,Matchweek 8,Home,L 1–4,Burnley,Chelsea,Y,GK,90,5,4,2,40.0,0,2.8,1,1,0,0,9,18,50.0,63,9,22.2,24.7,5,80.0,58.2,10,2,20.0,0,5.0,Match Report,259fea27
2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–3,Burnley,Brentford,Y,GK,90,9,3,6,66.7,0,3.0,0,0,0,0,6,24,25.0,59,17,32.2,33.6,9,55.6,45.1,15,1,6.7,2,14.7,Match Report,259fea27
2023-10-28,Sat,Premier League,Matchweek 10,Away,L 1–2,Burnley,Bournemouth,Y,GK,90,6,2,4,66.7,0,1.4,0,0,0,0,5,23,21.7,49,13,28.6,29.2,11,81.8,52.3,19,1,5.3,2,12.8,Match Report,259fea27
2023-11-04,Sat,Premier League,Matchweek 11,Home,L 0–2,Burnley,Crystal Palace,Y,GK,90,3,2,1,33.3,0,1.8,0,0,0,0,1,4,25.0,35,2,11.4,19.7,0,,,2,0,0.0,2,26.5,Match Report,259fea27
2023-11-11,Sat,Premier League,Matchweek 12,Away,L 1–3,Burnley,Arsenal,Y,GK,90,6,3,3,50.0,0,2.9,0,0,0,0,6,21,28.6,44,3,34.1,32.5,7,85.7,53.9,23,1,4.3,0,6.7,Match Report,259fea27
2023-11-25,Sat,Premier League,Matchweek 13,Home,L 1–2,Burnley,West Ham,Y,GK,90,3,2,2,33.3,0,0.6,0,0,0,0,3,16,18.8,45,4,24.4,27.3,6,83.3,52.7,16,0,0.0,0,6.3,Match Report,259fea27
2023-12-02,Sat,Premier League,Matchweek 14,Home,W 5–0,Burnley,Sheffield Utd,Y,GK,90,3,0,3,100.0,1,0.6,0,0,0,0,2,9,22.2,49,5,12.2,24.5,4,75.0,51.3,4,0,0.0,0,11.0,Match Report,259fea27
2023-12-05,Tue,Premier League,Matchweek 15,Away,L 0–1,Burnley,Wolves,Y,GK,90,4,1,3,75.0,0,0.9,0,0,0,0,3,16,18.8,42,2,28.6,33.1,4,100.0,60.8,9,1,11.1,2,23.3,Match Report,259fea27
2023-12-09,Sat,Premier League,Matchweek 16,Away,D 1–1,Burnley,Brighton,Y,GK,90,11,1,10,90.9,0,4.0,0,0,0,0,3,30,10.0,39,4,48.7,41.5,13,84.6,64.5,26,3,11.5,0,4.8,Match Report,259fea27
2023-12-16,Sat,Premier League,Matchweek 17,Home,L 0–2,Burnley,Everton,Y,GK,90,6,2,4,66.7,0,1.8,0,0,0,0,4,12,33.3,53,7,20.8,24.0,4,25.0,32.8,14,3,21.4,4,14.6,Match Report,259fea27
2023-12-23,Sat,Premier League,Matchweek 18,Away,W 2–0,Burnley,Fulham,Y,GK,90,5,0,5,100.0,1,0.5,0,0,0,0,7,23,30.4,36,4,44.4,35.7,10,70.0,48.9,21,1,4.8,1,10.8,Match Report,259fea27
