name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,challengeLost,totalContest,interceptionWon,wasFouled,fouls,totalOffside,totalCross,accurateCross,dispossessed,outfielderBlock,totalTackle,aerialLost,wonContest,wonTackle,unsuccessfulTouch,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,expectedGoals,expectedGoalsOnTarget,sofascoreId,bigChanceMissed,shotOffTarget,hitWoodwork,goals
Guglielmo Vicario,,,guglielmo-vicario,G. Vicario,G,1,194,7041,M,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",43.0,41.0,4.0,2.0,0.0,41.0,43.0,,,,9.0,,,1.0,,,90.0,52.0,7.0,2.0,0.00015733,,"{'original': 7, 'alternative': 7.2}",0,0.3007,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,guglielmovicario,,,,
Pedro Porro,,,pedro-porro,P. Porro,D,23,173,11089,M,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",56.0,48.0,10.0,9.0,0.0,23.0,27.0,25.0,30.0,2.0,6.0,,,,,,76.0,80.0,8.1,11.0,0.0991022,1.0,"{'original': 8.1, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,1.0,2.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,2.0,,0.2004,0.4653,pedroporro29,,,,1.0
Cristian Romero,,,cristian-romero,C. Romero,D,17,185,37279,M,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",104.0,95.0,6.0,5.0,0.0,73.0,76.0,22.0,28.0,3.0,6.0,,,,,,90.0,116.0,7.6,9.0,0.0115476,1.0,"{'original': 7.6, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,3.0,6.0,,,2.0,,3.0,,,,,,2.0,,,1.0,,,1.0,,0.4341,0.0509,cutiromero2,1.0,1.0,,
Radu Drăguşin,,,radu-dragusin,R. Drăguşin,D,3,191,13267,M,997103,"{'alpha2': 'RO', 'alpha3': 'ROU', 'name': 'Romania', 'slug': 'romania'}",EUR,1012694400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رادو دراجوشين', 'hi': 'राडू द्रागुसिन', 'bn': 'রাদু ড্রাগুশিন'}, 'shortNameTranslation': {'ar': 'ر. دراجوشين', 'hi': 'आर. द्रागुसिन', 'bn': 'আর. ড্রাগুসিন'}}",98.0,89.0,2.0,1.0,0.0,74.0,80.0,15.0,18.0,5.0,2.0,,,,,,90.0,105.0,7.0,9.0,0.00295434,,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,radudragusin5,,,,
Micky van de Ven,,,micky-van-de-ven,M. van de Ven,D,37,193,11821,M,998247,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,987638400,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميكي فان دي فين', 'hi': 'मिकी वैन डे वेन', 'bn': 'মিকি ভ্যান ডি ভেন'}, 'shortNameTranslation': {'ar': 'م. فان دي فين', 'hi': 'एम. वैन डे वेन', 'bn': 'এম. ভ্যান ডি ভেন'}}",70.0,64.0,3.0,1.0,0.0,26.0,27.0,38.0,45.0,,3.0,,,,,,90.0,86.0,7.3,12.0,0.0324753,,"{'original': 7.3, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,4.0,,1.0,,2.0,1.0,,2.0,,,,1.0,1.0,,1.0,1.0,,,,,,mickyvdven,,,,
Pape Matar Sarr,,,pape-matar-sarr,P. M. Sarr,M,29,185,33248,M,1002711,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,1031961600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابي مطر سار', 'hi': 'पापे मटर सर्र', 'bn': 'পোপ মাতার সরর'}, 'shortNameTranslation': {'ar': 'ب. م. سار', 'hi': 'पीएम मटर', 'bn': 'পি. এম. সর'}}",42.0,37.0,2.0,1.0,0.0,13.0,15.0,24.0,27.0,1.0,1.0,,,,,,66.0,45.0,6.8,5.0,0.0182874,,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,pape,,,,
Rodrigo Bentancur,,,bentancur-rodrigo,R. Bentancur,M,30,187,8373,M,791190,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,867196800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو بينتانكور', 'hi': 'बेनटानकुर, रोड्रिगो', 'bn': 'বেন্টানকুর, রদ্রিগো'}, 'shortNameTranslation': {'ar': 'ر. بينتانكور', 'hi': 'आर. बेनटानकुर', 'bn': 'আর. বেন্টানকুর'}}",58.0,54.0,2.0,1.0,0.0,26.0,27.0,28.0,31.0,1.0,3.0,,,,,,76.0,69.0,7.4,4.0,0.0206872,,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,6.0,,,3.0,2.0,,,,,,,2.0,,,1.0,,,,,0.0568,,rodrigo_bentancur,,1.0,1.0,
Brennan Johnson,,,brennan-johnson,B. Johnson,F,22,186,9634,M,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",21.0,14.0,1.0,,1.0,2.0,4.0,13.0,20.0,,,,,,,,90.0,34.0,6.8,12.0,0.347594,3.0,"{'original': 6.8, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,5.0,2.0,,,,1.0,1.0,,3.0,1.0,2.0,,,2.0,,,1.0,,,1.0,0.843,,brenjohnson_,1.0,1.0,,
James Maddison,,,james-maddison,J. Maddison,M,10,175,16399,M,356398,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848707200,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ماديسون', 'hi': 'जेम्स मैडिसन', 'bn': 'জেমস ম্যাডিসন'}, 'shortNameTranslation': {'ar': 'ج. ماديسون', 'hi': 'जे. मैडिसन', 'bn': 'জে. ম্যাডিসন'}}",71.0,68.0,1.0,1.0,1.0,21.0,21.0,48.0,56.0,,4.0,,,,,,88.0,86.0,7.7,12.0,0.356033,5.0,"{'original': 7.7, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,1.0,,,,1.0,,,6.0,1.0,2.0,,,,,,2.0,,1.0,1.0,0.8619,0.6493,Madders,1.0,,,
Heung-min Son,,,heung-min-son,H. M. Son,F,7,184,126618,M,111505,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,710553600,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيونغ مين سون', 'hi': 'ह्युंग-मिन सोन', 'bn': 'হেউং-মিন সন'}, 'shortNameTranslation': {'ar': 'ه. م. سون', 'hi': 'एच.एम. सोन', 'bn': 'এইচ. এম. সন'}}",42.0,40.0,1.0,1.0,1.0,7.0,7.0,33.0,37.0,,3.0,,,,,,88.0,57.0,8.9,7.0,0.465806,5.0,"{'original': 8.9, 'alternative': 8.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,2.0,5.0,,2.0,,2.0,,,2.0,,1.0,,2.0,,1.0,1.0,1.0,2.0,2.0,,0.0923,0.3007,HMSon,,,,
Dejan Kulusevski,,,dejan-kulusevski,D. Kulusevski,M,21,186,12068,M,928124,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,956620800,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديان كولوسيفسكي', 'hi': 'देजान कुलुसेवस्की', 'bn': 'দেজান কুলুসেভস্কি'}, 'shortNameTranslation': {'ar': 'د. كولوسيفسكي', 'hi': 'डी. कुलुसेवस्की', 'bn': 'ডি. কুলুসেভস্কি'}}",27.0,23.0,,,0.0,6.0,6.0,17.0,22.0,,3.0,,,,,,90.0,51.0,8.6,12.0,0.0223057,2.0,"{'original': 8.6, 'alternative': 8.4}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,6.0,3.0,,4.0,1.0,,1.0,,1.0,,2.0,,1.0,,1.0,1.0,2.0,,3.0,2.0,0.5544,0.9018,dejan_k10,,,,2.0
Pierre-Emile Højbjerg,,,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",31.0,28.0,2.0,2.0,0.0,20.0,22.0,8.0,9.0,,,,,,,,24.0,34.0,6.7,3.0,0.00701456,,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,0.038,,hojbjerg23,,,,
Emerson Royal,,,emerson-royal,E. Royal,D,22,183,9716,M,856123,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,916272000,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",18.0,18.0,,,0.0,12.0,12.0,6.0,6.0,,,,,,,,14.0,23.0,6.9,1.0,0.00777518,,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,,1.0,,2.0,,,,,,,,,1.0,,1.0,,,,,,emerson_royal,,,,
Oliver Skipp,,,skipp-oliver,O. Skipp,M,22,175,1368,M,859901,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,969062400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",12.0,10.0,,,0.0,4.0,5.0,6.0,7.0,,,,,,,,14.0,15.0,6.7,2.0,0.00331861,,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,0.0767,,,,,,
Dane Scarlett,,,scarlett-dane,D. Scarlett,F,44,180,2195,M,998772,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1080086400,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكارليت، دين', 'hi': 'स्कारलेट, डेन', 'bn': 'স্কারলেট, ডেন'}, 'shortNameTranslation': {'ar': 'د. سكارليت', 'hi': 'डी. स्कारलेट', 'bn': 'ডি. স্কারলেট'}}",,,,,0.0,,,,,,,,,,,,11.0,3.0,6.6,2.0,,,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,
Mikey Moore,,,mikey-moore,M. Moore,F,47,180,3938,M,1403192,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1186790400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكي مور', 'hi': 'मिकी मूर', 'bn': 'মাইকি মুর'}, 'shortNameTranslation': {'ar': 'م. مور', 'hi': 'एम. मूर', 'bn': 'এম. মুর'}}",4.0,3.0,,,0.0,,,3.0,4.0,,,,,,,,11.0,6.0,6.3,3.0,0.00112409,,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
Alfie Whiteman,,,alfie-whiteman,A. Whiteman,G,,189,644,M,822504,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907286400,,"{'nameTranslation': {'ar': 'ألفي وايتمن', 'hi': 'अल्फी व्हाइटमैन', 'bn': 'আলফি হোয়াইটম্যান'}, 'shortNameTranslation': {'ar': 'أ. وايتمن', 'hi': 'ए. व्हाइटमैन', 'bn': 'এ. হোয়াইটম্যান'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Austin,,,austin-brandon,B. Austin,G,40,188,1393,M,859896,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915753600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستن، براندون', 'hi': 'ऑस्टिन, ब्रैंडन', 'bn': 'অস্টিন, ব্র্যান্ডন'}, 'shortNameTranslation': {'ar': 'ب. أوستن', 'hi': 'बी. ऑस्टिन', 'bn': 'বি. অস্টিন'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Gil,,,bryan-gil,B. Gil,M,21,176,3690,M,910026,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,981849600,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان جيل', 'hi': 'ब्रायन गिल', 'bn': 'ব্রায়ান গিল'}, 'shortNameTranslation': {'ar': 'ب. جيل', 'hi': 'बी. गिल', 'bn': 'বি. গিল'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,bryan11gil,,,,
Jamie Donley,Jamie Donley,,jamie-donley,J. Donley,M,14,183,1466,M,1150934,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1104710400,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي دونلي', 'hi': 'जेमी डोनली', 'bn': 'জেমি ডনলি'}, 'shortNameTranslation': {'ar': 'ج. دونلي', 'hi': 'जे. डोनली', 'bn': 'জে. ডনলি'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
