name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,firstName,lastName,sofascoreId
Andros Townsend,andros-townsend,A. Townsend,F,30,609,M,47992,"{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",True,block,set-piece,right-foot,90,5849,449,,16.4,62.4,0,52.4,19.0,,,
Luke Berry,luke-berry,L. Berry,M,8,67,M,97465,"{'nameTranslation': {'ar': 'لوك بيري', 'hi': 'ल्यूक बेरी', 'bn': 'লুক বেরি'}, 'shortNameTranslation': {'ar': 'ل. بيري', 'hi': 'एल. बेरी', 'bn': 'এল. বেরি'}}",True,block,corner,right-foot,90,5771,371,,3.6,40.3,0,51.8,19.0,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,793,M,979233,"{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",True,miss,corner,head,90,5770,370,,8.9,46.6,0,60.2,25.0,,,
Luke Berry,luke-berry,L. Berry,M,8,67,M,97465,"{'nameTranslation': {'ar': 'لوك بيري', 'hi': 'ल्यूक बेरी', 'bn': 'লুক বেরি'}, 'shortNameTranslation': {'ar': 'ل. بيري', 'hi': 'एल. बेरी', 'bn': 'এল. বেরি'}}",True,save,assisted,head,90,5728,328,,13.6,43.7,0,45.8,3.8,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,793,M,979233,"{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",True,save,regular,right-foot,90,5653,253,,29.8,37.3,0,46.8,1.3,,,
Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,116,M,140487,"{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",True,block,assisted,right-foot,90,5449,49,,18.1,27.6,0,49.5,19.0,,,
Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,116,M,140487,"{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",True,miss,assisted,right-foot,85,5085,2385,,33.6,40.1,0,50.8,69.4,,,
Ross Barkley,ross-barkley,R. Barkley,M,6,2380,M,98435,"{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",True,save,regular,right-foot,83,4938,2238,,29.2,50.7,0,51.5,22.2,,,
Jack Harrison,jack-harrison,J. Harrison,M,20,1080,M,829570,"{'nameTranslation': {'ar': 'جاك هاريسون', 'hi': 'जैक हैरिसन', 'bn': 'জ্যাক হ্যারিসন'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'hi': 'जे. हैरिसन', 'bn': 'জে. হ্যারিসন'}}",False,block,corner,left-foot,78,4638,1938,,19.2,61.9,0,51.3,19.0,,,
Dominic Calvert-Lewin,dominic-calvert-lewin,D. Calvert-Lewin,F,9,4980,M,372344,"{'nameTranslation': {'ar': 'دومينيك كالفيرت-لوين', 'hi': 'डोमिनिक कैल्वर्ट-लेविन', 'bn': 'ডমিনিক কালভার্ট-লেউইন'}, 'shortNameTranslation': {'ar': 'د. كالفيرت-لوين', 'hi': 'डी. कैल्वर्ट-लेविन', 'bn': 'ডি. কালভার্ট-লেউইন'}}",False,save,assisted,head,77,4600,1900,,5.1,49.5,0,50.2,28.5,,,CalvertLewin14
