name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalContest,wonContest,ballRecovery,wasFouled,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,bigChanceMissed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,penaltyConceded,fouls,challengeLost,unsuccessfulTouch,dispossessed,totalCross,accurateCross,keyPass,onTargetScoringAttempt,totalOffside,sofascoreId,goals,bigChanceCreated,punches,blockedScoringAttempt,clearanceOffLine,goalAssist,hitWoodwork,penaltyMiss
Ederson,,,ederson,Ederson,G,31,188,51284,M,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",30.0,24.0,9.0,3.0,24.0,25.0,,5.0,1.0,1.0,,,4.0,,,,,90.0,34.0,6.3,6.0,0.0,0.0,9.828e-05,"{'original': 6.3, 'alternative': 6.4}",0,-0.6398,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,,,,,,,,,,,,,,,Ederson93,,,1.0,,,,,
Kyle Walker,,,kyle-walker,K. Walker,D,2,183,28997,M,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",75.0,68.0,5.0,3.0,26.0,29.0,44.0,54.0,,3.0,3.0,2.0,4.0,,,,,90.0,96.0,7.6,16.0,0.0357,0.0,0.440851,"{'original': 7.6, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,,8.0,2.0,3.0,,,KyleWalker2,,,,1.0,,,,
Rúben Dias,,,ruben-dias,R. Dias,D,3,188,40658,M,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",111.0,108.0,3.0,3.0,55.0,57.0,54.0,58.0,1.0,3.0,,,6.0,,,,,90.0,124.0,7.7,7.0,0.0415,0.0,0.0991476,"{'original': 7.7, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,3.0,,,,1.0,,2.0,1.0,,1.0,,1.0,,4.0,1.0,,,,RúbenD,,,,1.0,1.0,,,
Nathan Aké,,,nathan-ake,N. Aké,D,6,180,21377,M,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",81.0,79.0,1.0,,50.0,52.0,29.0,29.0,2.0,4.0,,,5.0,1.0,,,,90.0,91.0,7.0,2.0,0.0589,0.0,0.0126724,"{'original': 7, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,1.0,3.0,,2.0,1.0,,,,1.0,,,,,,,,nathanake,,,,,,,,
Joško Gvardiol,,,josko-gvardiol,J. Gvardiol,D,24,186,50283,M,964994,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'hi': 'जोस्को ग्वार्डिओल', 'bn': 'জোসকো গোওয়ারদিওল'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'hi': 'जे. ग्वार्डिओल', 'bn': 'জে. গোওয়ারদিওল'}}",98.0,90.0,5.0,2.0,32.0,33.0,58.0,66.0,2.0,4.0,1.0,,7.0,1.0,,,,90.0,110.0,6.9,11.0,0.0,0.0,0.0384892,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,,,,,,1.0,,,,,,1.0,1.0,,2.0,,,JGvardiol,,,,,,,,
Rodri,,,rodri,Rodri,M,16,191,93944,M,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",116.0,114.0,6.0,6.0,38.0,40.0,76.0,79.0,2.0,7.0,3.0,2.0,12.0,,,,,90.0,136.0,8.8,8.0,0.3105,0.4412,0.0906701,"{'original': 8.8, 'alternative': 8.3}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,,3.0,1.0,,1.0,3.0,3.0,,1.0,2.0,1.0,1.0,3.0,,1.0,2.0,1.0,Rodri,1.0,,,,,,,
Mateo Kovačić,,,mateo-kovacic,M. Kovačić,M,8,178,34246,M,136710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,768182400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاسيتش', 'hi': 'माटेओ कोवासिक', 'bn': 'মাতেও কোভাসিক'}, 'shortNameTranslation': {'ar': 'م. كوفاسيتش', 'hi': 'एम. कोवासिक', 'bn': 'এম. কোভাসিচ'}}",75.0,67.0,3.0,2.0,14.0,15.0,53.0,60.0,,3.0,2.0,1.0,7.0,1.0,,,,86.0,86.0,7.7,10.0,0.0661,0.0437,0.383659,"{'original': 7.7, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,2.0,1.0,,Kova8,,1.0,,1.0,,,,
Bernardo Silva,,,bernardo-silva,B. Silva,M,20,173,65986,M,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",49.0,43.0,2.0,2.0,10.0,10.0,36.0,43.0,,4.0,2.0,1.0,1.0,2.0,,,,90.0,66.0,7.5,13.0,0.0,0.0,0.75842,"{'original': 7.5, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,,,,,,1.0,1.0,,,,1.0,2.0,4.0,3.0,4.0,,,BSilva,,1.0,,,,,,
Julián Alvarez,,,julian-alvarez,J. Álvarez,F,19,170,228751,M,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",39.0,32.0,2.0,2.0,9.0,10.0,25.0,41.0,,,,,2.0,,,,,90.0,70.0,7.5,21.0,0.7103,1.1439,0.181048,"{'original': 7.5, 'alternative': 7.2}",8,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,1.0,4.0,,,1.0,,,,,2.0,2.0,1.0,12.0,2.0,4.0,3.0,,LaAraña,,,,1.0,,,,
Jack Grealish,,,jack-grealish,J. Grealish,M,18,180,61911,M,189061,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,810691200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك غريليش', 'hi': 'जैक ग्रेलिश', 'bn': 'জ্যাক গ্রেলিশ'}, 'shortNameTranslation': {'ar': 'ج. غريليش', 'hi': 'जे. ग्रेलिश', 'bn': 'জে গ্রেলিশ'}}",48.0,45.0,1.0,1.0,7.0,7.0,39.0,44.0,1.0,7.0,1.0,1.0,6.0,4.0,,,,90.0,66.0,8.4,9.0,0.2874,0.0,0.469467,"{'original': 8.4, 'alternative': 7.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,1.0,,,,,4.0,,3.0,1.0,6.0,,,JGrealish,,1.0,,2.0,,1.0,,
Erling Haaland,,,erling-haaland,E. Haaland,F,9,194,807088,M,839956,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,964137600,"{'value': 218000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيرلينغ هالاند', 'hi': 'एर्लिंग हालैंड', 'bn': 'এরলিং হালান্ড'}, 'shortNameTranslation': {'ar': 'إ. هالاند', 'hi': 'ई. हालैंड', 'bn': 'ই. হালান্ড'}}",11.0,6.0,,,2.0,2.0,4.0,9.0,3.0,4.0,1.0,1.0,1.0,,,,,90.0,24.0,7.1,8.0,2.0662,0.8391,0.0142061,"{'original': 7.1, 'alternative': 6.9}",8,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,4.0,,,,,,,,,3.0,,,,1.0,3.0,1.0,EHaaland,1.0,,,1.0,,,1.0,1.0
Phil Foden,,,phil-foden,P. Foden,M,47,171,188988,M,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",9.0,9.0,1.0,1.0,,,9.0,9.0,,2.0,2.0,1.0,1.0,,,,,12.0,14.0,7.2,1.0,0.02,0.0,0.175167,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,,,,1.0,1.0,,,,,,,,2.0,,,Foden,,,,1.0,,1.0,,
Stefan Ortega,,,stefan-ortega,S. Ortega,G,18,186,10750,M,125274,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,721008000,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفان أورتيغا', 'hi': 'स्टीफन ऑर्टेगा', 'bn': 'স্টেফান ওর্তেগা'}, 'shortNameTranslation': {'ar': 'س. أورتيغا', 'hi': 'एस. ऑर्टेगा', 'bn': 'এস. ওর্তেগা'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,stefan.ortega1,,,,,,,,
Rico Lewis,Rico Lewis,,rico-lewis,R. Lewis,D,82,170,17414,M,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,Rico_Lewis,,,,,,,,
Oscar Bobb,Oscar Bobb,,oscar-bobb,O. Bobb,M,52,174,17188,M,1065216,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,1057968000,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسكار بوب', 'hi': 'ऑस्कर बॉब', 'bn': 'অস্কার বব'}, 'shortNameTranslation': {'ar': 'أ. بوب', 'hi': 'ओ. बॉब', 'bn': 'ও. বব'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,oscarbobb,,,,,,,,
Kalvin Phillips,,,kalvin-phillips,K. Phillips,M,44,177,7665,M,786028,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,817862400,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين فيليبس', 'hi': 'केल्विन फिलिप्स', 'bn': 'ক্যালভিন ফিলিপস'}, 'shortNameTranslation': {'ar': 'ك. فيليبس', 'hi': 'के. फिलिप्स', 'bn': 'কে. ফিলিপস'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,kalvinphillips,,,,,,,,
Cole Palmer,,,cole-palmer,C. Palmer,M,10,185,368423,M,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,ColdPalmer,,,,,,,,
Jérémy Doku,,,jeremy-doku,J. Doku,M,11,173,68596,M,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,Dokss,,,,,,,,
James McAtee,,,james-mcatee,J. McAtee,M,24,180,10990,M,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,jamesmcatee_,,,,,,,,
Sergio Gómez,,,sergio-gomez,S. Gómez,M,17,171,4599,M,855835,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,968025600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو غوميز', 'hi': 'सर्जियो गोमेज़', 'bn': 'সার্জিও গোমেজ'}, 'shortNameTranslation': {'ar': 'س. غوميز', 'hi': 'एस. गोमेज़', 'bn': 'এস. গোমেজ'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,sergiogm_10,,,,,,,,
