name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,challengeLost,totalContest,wonContest,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,expectedGoals,aerialLost,bigChanceMissed,onTargetScoringAttempt,outfielderBlock,ownGoals,wasFouled,fouls,expectedGoalsOnTarget,keyPass,dispossessed,interceptionWon,accurateCross,bigChanceCreated,penaltyWon,goals,totalOffside,sofascoreId,goodHighClaim,penaltyFaced,errorLeadToAShot,blockedScoringAttempt,goalAssist,penaltyConceded
James Trafford,,,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",47.0,34.0,16.0,3.0,33.0,34.0,1.0,13.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,90.0,56.0,6.5,13.0,0.00024039,"{'original': 6.5, 'alternative': 6.5}",0,-1.4303,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitinho,,,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",39.0,27.0,5.0,,15.0,23.0,12.0,18.0,1.0,3.0,,7.0,,,,90.0,51.0,6.3,16.0,0.0682959,"{'original': 6.3, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0293,,,,,,,,,,,,,,,,,,,,,,,
Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",70.0,58.0,15.0,9.0,43.0,47.0,15.0,23.0,7.0,9.0,6.0,9.0,,,,90.0,86.0,6.9,13.0,0.00926148,"{'original': 6.9, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,1.0,,,1.0,1.0,1.0,1.0,0.0838,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1901,1.0,,,,,,,,,,,,,,
Jordan Beyer,,,jordan-beyer,J. Beyer,D,5,187,316,M,927175,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,958694400,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان باير', 'hi': 'जॉर्डन बेयर', 'bn': 'জর্ডান বেয়ার'}, 'shortNameTranslation': {'ar': 'ج. باير', 'hi': 'जे. बेयर', 'bn': 'জে. বেয়ার'}}",77.0,75.0,11.0,9.0,62.0,63.0,13.0,14.0,1.0,3.0,5.0,3.0,,,,90.0,88.0,6.6,3.0,0.00407699,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,5.0,1.0,1.0,1.0,1.0,1.0,,,0.0522,2.0,,,,,,2.0,,,,,,,,,,,,,,,,
Charlie Taylor,,,charlie-taylor,C. Taylor,D,29,183,281,M,166381,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748224000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي تايلور', 'hi': 'चार्ली टेलर', 'bn': 'চার্লি টেলর'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'hi': 'सी. टेलर', 'bn': 'সি. টেলর'}}",39.0,30.0,4.0,3.0,16.0,18.0,14.0,22.0,,5.0,5.0,2.0,,,,90.0,66.0,6.8,17.0,0.00490207,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,6.0,1.0,1.0,,,4.0,4.0,1.0,,2.0,,,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,
Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",36.0,26.0,7.0,4.0,14.0,14.0,15.0,27.0,3.0,5.0,1.0,4.0,,,,85.0,53.0,7.8,15.0,0.147004,"{'original': 7.8, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,2.0,,,,,1.0,,1.0,0.0216,,,1.0,,,1.0,,0.0195,4.0,2.0,2.0,3.0,1.0,,,,,,,,,,
Sander Berge,,,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",58.0,53.0,4.0,2.0,29.0,29.0,25.0,30.0,1.0,3.0,4.0,15.0,,,,90.0,76.0,6.9,9.0,0.0966461,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,,2.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,
Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",44.0,36.0,4.0,1.0,24.0,29.0,12.0,17.0,1.0,3.0,1.0,5.0,,,,90.0,61.0,6.6,13.0,0.0135278,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,5.0,2.0,,,1.0,2.0,1.0,1.0,0.0558,1.0,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,
Luca Koleosho,Luca Koleosho,,luca-koleosho,L. Koleosho,M,16,175,1493,M,1216282,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1095206400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكا كوليوشو', 'hi': 'लुका कोलेओशो', 'bn': 'লুকা কোলিওশো'}, 'shortNameTranslation': {'ar': 'ل. كوليوشو', 'hi': 'एल. कोलेओशो', 'bn': 'এল. কোলিওশো'}}",13.0,12.0,1.0,,3.0,3.0,9.0,11.0,,4.0,,1.0,,,,81.0,28.0,6.8,8.0,0.0080912,"{'original': 6.8, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,9.0,1.0,4.0,1.0,,,,,0.0963,1.0,,1.0,,,3.0,3.0,0.1687,,1.0,,,,1.0,,,,,,,,,
Jay Rodriguez,,,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",22.0,18.0,2.0,,9.0,11.0,9.0,11.0,3.0,8.0,,3.0,,,,90.0,39.0,7.2,11.0,0.00660607,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,10.0,2.0,1.0,1.0,,4.0,2.0,6.0,0.7884,6.0,,1.0,,,,1.0,0.8471,1.0,1.0,,,,,1.0,1.0,,,,,,,
