name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,challengeLost,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,sofascoreId,outfielderBlock,goalAssist,accurateCross,totalContest,wonContest,interceptionWon,keyPass,shotOffTarget,expectedGoals,clearanceOffLine,onTargetScoringAttempt,expectedGoalsOnTarget,dispossessed,blockedScoringAttempt,goals,totalOffside,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,bigChanceMissed
Mark Travers,,,mark-travers,M. Travers,G,12,191,606,M,856720,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,926985600,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك ترافيرس', 'hi': 'मार्क ट्रैवर्स', 'bn': 'মার্ক ট্র্যাভার্স'}, 'shortNameTranslation': {'ar': 'م. ترافيرس', 'hi': 'एम. ट्रैवर्स', 'bn': 'এম. ট্রাভার্স'}}",20.0,7.0,20.0,7.0,1.0,2.0,6.0,18.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,90.0,26.0,6.8,13.0,0.00095411,"{'original': 6.8, 'alternative': 6.4}",0,-0.3656,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,,,adam-smith,A. Smith,D,15,180,465,M,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",21.0,19.0,2.0,,9.0,9.0,10.0,13.0,,3.0,3.0,6.0,,,,,81.0,38.0,6.7,6.0,0.00921609,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,,,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",42.0,32.0,8.0,3.0,12.0,17.0,20.0,25.0,,2.0,1.0,4.0,,,,,90.0,52.0,6.6,11.0,0.0137131,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,,1.0,,1.0,1.0,,IlliaZabarnyi,1.0,,,,,,,,,,,,,,,,,,,
Marcos Senesi,,,marcos-senesi,M. Senesi,D,5,184,4999,M,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",47.0,37.0,14.0,6.0,12.0,13.0,27.0,36.0,1.0,3.0,5.0,7.0,,,,,90.0,63.0,7.4,11.0,0.213989,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,
Lloyd Kelly,,,lloyd-kelly,L. Kelly,D,6,191,2786,M,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",27.0,21.0,5.0,1.0,7.0,10.0,14.0,18.0,1.0,1.0,1.0,7.0,,,,,90.0,49.0,6.8,14.0,0.00850738,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,1.0,,,1.0,,1.0,,2.0,,,,,3.0,,1.0,0.0416,,,,,,,,,,,
Ryan Christie,,,ryan-christie,R. Christie,M,10,178,1202,M,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",37.0,30.0,4.0,1.0,8.0,13.0,22.0,25.0,,5.0,3.0,9.0,,,,,80.0,53.0,7.7,10.0,0.102233,"{'original': 7.7, 'alternative': 7.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,5.0,2.0,4.0,3.0,1.0,1.0,,,2.0,,,1.0,,,2.0,,,1.0,,,,,,,,,,
Lewis Cook,,,lewis-cook,L. Cook,M,4,175,837,M,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",54.0,42.0,5.0,,15.0,18.0,28.0,39.0,4.0,10.0,1.0,9.0,,,,,90.0,68.0,7.2,14.0,0.122122,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,6.0,1.0,3.0,2.0,,2.0,4.0,,,,1.0,1.0,1.0,,3.0,,0.0112,,1.0,0.0433,,,,,,,,
Antoine Semenyo,,,antoine-semenyo,A. Semenyo,M,24,185,33799,M,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",33.0,22.0,,,4.0,7.0,18.0,27.0,4.0,6.0,,5.0,,,,,90.0,58.0,6.5,24.0,0.0546759,"{'original': 6.5, 'alternative': 6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,14.0,,,,2.0,,2.0,antoinesemenyo42,,,,4.0,2.0,,1.0,2.0,0.1241,,1.0,0.0923,7.0,,,,,,,
Justin Kluivert,,,justin-kluivert,J. Kluivert,M,19,171,7016,M,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",17.0,14.0,,,3.0,3.0,11.0,15.0,,1.0,,2.0,,,,,67.0,25.0,6.7,6.0,0.153427,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,,,,1.0,1.0,2.0,justinkluivert,,,,,,1.0,1.0,,,,,,1.0,,,,,,,
Dango Ouattara,Dango Ouattara,,dango-ouattara,D. Ouattara,F,19,177,32038,M,1106451,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,1013385600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",19.0,9.0,3.0,,1.0,3.0,8.0,16.0,2.0,5.0,,3.0,,,,,67.0,35.0,6.6,15.0,0.0523111,"{'original': 6.6, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,5.0,1.0,2.0,1.0,3.0,,1.0,d.ouattara15,,,,3.0,1.0,,,1.0,0.1203,,1.0,0.0183,,1.0,,,,,,
