name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,errorLeadToAGoal,wasFouled,expectedGoals,aerialLost,outfielderBlock,wonTackle,fouls,bigChanceMissed,shotOffTarget,firstName,lastName,totalCross,keyPass,sofascoreId,accurateCross,onTargetScoringAttempt,unsuccessfulTouch,totalOffside,expectedGoalsOnTarget,goals,bigChanceCreated,hitWoodwork,goalAssist
Diogo Jota,diogo-jota,D. Jota,F,,178,33671,M,606164,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,849657600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو جوتا', 'hi': 'डियोगो जोटा', 'bn': 'ডিওগো জোটা'}, 'shortNameTranslation': {'ar': 'د. جوتا', 'hi': 'डी. जोटा', 'bn': 'ডি. জোটা'}}",17.0,11.0,,,,2.0,11.0,15.0,2.0,,,,,,44.0,28.0,6.9,10.0,0.0080102,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,1.0,,1.0,1.0,,,,,1.0,,,0.3282,1.0,,1.0,1.0,1.0,,,,,1.0,DiogoJ18,,2.0,2.0,,0.3859,,1.0,,1.0
Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,74506,M,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",15.0,9.0,3.0,1.0,2.0,2.0,7.0,13.0,2.0,,,,,,45.0,18.0,7.1,7.0,0.01105,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,,1.0,,1.0,,,,,,,,0.6097,5.0,,,,,,,,,,Darwin,,1.0,,,0.3438,1.0,,,
Luis Díaz,luis-diaz,L. Díaz,F,14,178,140854,M,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",49.0,46.0,1.0,1.0,7.0,7.0,39.0,44.0,6.0,,,,,,90.0,71.0,7.7,14.0,0.222118,"{'original': 7.7, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,11.0,5.0,1.0,4.0,5.0,4.0,1.0,1.0,,,,1.0,0.1268,1.0,,,4.0,,1.0,,,2.0,3.0,LuisDíaz,,,4.0,1.0,,,1.0,,1.0
Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,30819,M,904897,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1021507200,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",38.0,31.0,1.0,,9.0,11.0,22.0,27.0,3.0,,,,,,56.0,48.0,7.0,9.0,0.0914652,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,3.0,6.0,1.0,,3.0,2.0,,3.0,,3.0,,,,,,2.0,1.0,,,,,,,ryanjiro,,,1.0,,,,,,
Mohamed Salah,mohamed-salah,M. Salah,M,11,175,561305,M,159665,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,708566400,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",22.0,20.0,,,2.0,3.0,18.0,19.0,3.0,,,,,,46.0,35.0,8.1,8.0,0.200478,"{'original': 8.1, 'alternative': 7.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,2.0,,2.0,2.0,2.0,,,,,,,0.4783,,,,,1.0,1.0,,,,2.0,MoSalah,,1.0,4.0,,0.7848,1.0,1.0,,1.0
Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,53434,M,862967,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,926035200,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",16.0,12.0,,,4.0,6.0,8.0,10.0,1.0,,,,,,45.0,24.0,8.1,6.0,0.0131797,"{'original': 8.1, 'alternative': 8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,4.0,2.0,,1.0,,,1.0,,,1.0,,,0.5534,1.0,1.0,1.0,2.0,,,,,,1.0,CodyGakpo,,1.0,1.0,1.0,0.4547,1.0,1.0,,1.0
Joe Gomez,joe-gomez,J. Gomez,D,2,188,14017,M,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",7.0,7.0,1.0,1.0,4.0,4.0,3.0,3.0,,,,,,,15.0,11.0,6.7,,0.00181712,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,joegomez5,,,,,,,,,
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170,21929,M,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",7.0,6.0,,,,1.0,6.0,6.0,1.0,,,,,,15.0,9.0,6.9,1.0,0.0125442,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,1.0,1.0,,,,,,,0.1014,,,,,,,,,,,harvelliott,,1.0,,,0.3836,,,,
Adrián,adrian,Adrián,G,13,190,2132,M,50539,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,536630400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أدريان', 'hi': 'एड्रियन', 'bn': 'অ্যাড্রিয়ান'}, 'shortNameTranslation': {'ar': 'أدريان', 'hi': 'एड्रियन', 'bn': 'অ্যাড্রিয়ান'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16780,M,786259,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,831859200,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس تسيميكاس', 'hi': 'कोंस्टांटिनोस सिमिक्स', 'bn': 'কনস্টান্টিনোস সিমিকাস'}, 'shortNameTranslation': {'ar': 'ك. تسيميكاس', 'hi': 'के. सिमिक्स', 'bn': 'কে. সিমিকাস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,TK21,,,,,,,,,
Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10706,M,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,jarellquansah,,,,,,,,,
James McConnell,mcconnell-james,J. McConnell,M,16,180,2880,M,1138428,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095033600,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكونيل، جيمس', 'hi': 'मैककोनेल, जेम्स', 'bn': 'ম্যাককনেল, জেমস'}, 'shortNameTranslation': {'ar': 'ج. ماكونيل', 'hi': 'जे. मैककोनेल', 'bn': 'জে. ম্যাককনেল'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,James McConnell,,,,,,,,,,,,,
