name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,challengeLost,dispossessed,outfielderBlock,interceptionWon,wasFouled,totalContest,keyPass,shotOffTarget,totalCross,accurateCross,wonContest,blockedScoringAttempt,onTargetScoringAttempt,sofascoreId,goodHighClaim,goalAssist,bigChanceCreated,goals,lastManTackle,errorLeadToAShot,totalOffside,bigChanceMissed
Zeki Amdouni,,,zeki-amdouni,Z. Amdouni,F,7,183,2862,M,990550,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,975888000,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",11.0,10.0,,,3.0,3.0,7.0,8.0,1.0,4.0,,,,,61.0,25.0,6.9,7.0,0.0318,0.0198,0.00499923,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,6.0,1.0,1.0,3.0,,2.0,,1.0,,,2.0,4.0,,,,,2.0,,1.0,,,,,,,,,
Jacob Bruun Larsen,,,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",5.0,3.0,,,,,3.0,5.0,1.0,,,,,,29.0,9.0,6.7,3.0,0.0241,0.0,0.0138621,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,2.0,2.0,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,
Anass Zaroury,,,anass-zaroury,A. Zaroury,F,9,176,4183,M,877036,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,973555200,"{'value': 8300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنس زروري', 'hi': 'अनस ज़रौरी', 'bn': 'আনাস জারৌরি'}, 'shortNameTranslation': {'ar': 'أ. زروري', 'hi': 'ए. ज़रौरी', 'bn': 'এ. জারৌরি'}}",8.0,8.0,1.0,1.0,4.0,4.0,6.0,8.0,,1.0,,,,,33.0,14.0,6.5,2.0,0.0447,0.0,0.0589821,"{'original': 6.5, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,1.0,,,,1.0,,,,,,1.0,,1.0,,4.0,2.0,,1.0,,zaroury,,,,,,,,
Manuel Benson,,,manuel-benson,M. Benson,M,21,166,2981,M,552632,"{'alpha2': 'AO', 'alpha3': 'AGO', 'name': 'Angola', 'slug': 'angola'}",EUR,859507200,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل بنسون', 'hi': 'मैनुअल बेन्सन', 'bn': 'ম্যানুয়েল বেনসন'}, 'shortNameTranslation': {'ar': 'م. بنسون', 'hi': 'एम. बेन्सन', 'bn': 'এম. বেনসন'}}",4.0,4.0,,,1.0,1.0,3.0,4.0,,,,,,,16.0,9.0,5.9,5.0,0.0,0.0,0.00123024,"{'original': 5.9, 'alternative': 5.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,6.0,,,,,,2.0,,,,,,4.0,,,1.0,,,,,,,,,,,,,
Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",2.0,2.0,,,2.0,2.0,,,,,,,,,8.0,2.0,6.5,,0.0,0.0,5.9e-07,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Redmond,,,nathan-redmond,N. Redmond,M,15,173,423,M,115346,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762912000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان ريدموند', 'hi': 'नाथन रेडमंड', 'bn': 'নাথান রেডমন্ড'}, 'shortNameTranslation': {'ar': 'ن. ريدموند', 'hi': 'एन. रेडमंड', 'bn': 'এন. রেডমন্ড'}}",2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,8.0,2.0,6.5,1.0,0.0,0.0,1.8e-06,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arijanet Murić,,,arijanet-muric,A. Murić,G,49,198,1759,M,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hjalmar Ekdal,,,hjalmar-ekdal,H. Ekdal,D,18,187,575,M,875360,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,908928000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هالمار إيكدال', 'hi': 'हजलमर एकदल', 'bn': 'হজলমার একদল'}, 'shortNameTranslation': {'ar': 'ه. إيكدال', 'hi': 'एच. एकदल', 'bn': 'এইচ. একডাল'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Cork,,,jack-cork,J. Cork,M,,185,86,M,20993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,614736000,"{'value': 745000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك كورك', 'hi': 'जैक कॉर्क', 'bn': 'জ্যাক কর্ক'}, 'shortNameTranslation': {'ar': 'ج. كورك', 'hi': 'जे. कॉर्क', 'bn': 'জে. কর্ক'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson,,,ederson,Ederson,G,31,188,51284,M,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",70.0,57.0,28.0,16.0,46.0,50.0,11.0,20.0,,9.0,1.0,1.0,1.0,1.0,90.0,78.0,7.4,13.0,0.0,0.0,0.0145515,"{'original': 7.4, 'alternative': 7.3}",0,0.0198,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,,,,,,,,1.0,,,,,,,,,Ederson93,1.0,,,,,,,
Kyle Walker,,,kyle-walker,K. Walker,D,2,183,28997,M,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",64.0,59.0,5.0,2.0,38.0,41.0,21.0,23.0,1.0,9.0,,,,,89.0,81.0,6.9,8.0,0.0,0.0,0.0434716,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,3.0,,,1.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,KyleWalker2,,,,,,,,
Manuel Akanji,,,manuel-akanji,M. Akanji,D,25,187,23614,M,383560,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,806112000,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل أكانجي', 'hi': 'मैनुअल अकांजी', 'bn': 'ম্যানুয়েল আকানজি'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'hi': 'एम. अकांजी', 'bn': 'এম. আকানজি'}}",101.0,89.0,6.0,2.0,69.0,75.0,20.0,27.0,2.0,2.0,,,,,90.0,109.0,7.1,13.0,0.0,0.0,0.0092708,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,3.0,7.0,3.0,1.0,,,1.0,2.0,,1.0,,,,,,1.0,,,,,manuel_akanji,,,,,,,,
Nathan Aké,,,nathan-ake,N. Aké,D,6,180,21377,M,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",68.0,64.0,2.0,1.0,47.0,49.0,17.0,19.0,1.0,5.0,,,,,79.0,80.0,7.4,4.0,0.3107,0.0,0.00782667,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,7.0,3.0,3.0,,,1.0,,,,2.0,1.0,,,,,,,1.0,,nathanake,,,,,,,,
Rico Lewis,Rico Lewis,,rico-lewis,R. Lewis,D,82,170,17414,M,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",39.0,33.0,4.0,1.0,17.0,22.0,16.0,17.0,,9.0,,,,,79.0,48.0,6.6,8.0,0.0,0.0,0.013439,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,2.0,,,,,2.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,,Rico_Lewis,,,,,,,,
Kevin De Bruyne,,,kevin-de-bruyne,K. De Bruyne,M,11,181,335100,M,70996,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,678067200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفن دي بروين', 'hi': 'केविन डी ब्रूने', 'bn': 'কেভিন ডি ব্রুইন'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'hi': 'के. डी ब्रूने', 'bn': 'কে. ডি ব্রুইন'}}",6.0,4.0,,,1.0,2.0,5.0,7.0,,2.0,,,,,23.0,12.0,6.8,4.0,0.0215,0.0,0.157048,"{'original': 6.8, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,1.0,,,,,1.0,,,,,,,,1.0,1.0,3.0,2.0,,,,KDB,,,,,,,,
Rodri,,,rodri,Rodri,M,16,191,93944,M,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",110.0,107.0,6.0,5.0,59.0,61.0,48.0,49.0,,8.0,,,,,90.0,125.0,9.2,5.0,0.4995,1.2368,0.168345,"{'original': 9.2, 'alternative': 9.1}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,6.0,5.0,3.0,1.0,2.0,,,1.0,,,,,1.0,,,,,1.0,3.0,Rodri,,1.0,1.0,1.0,1.0,1.0,1.0,
Bernardo Silva,,,bernardo-silva,B. Silva,M,20,173,65986,M,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",67.0,61.0,3.0,3.0,34.0,34.0,27.0,36.0,,4.0,,,,,90.0,75.0,6.7,10.0,0.0,0.0,0.0301747,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,1.0,1.0,,,,1.0,,,,,,1.0,,,3.0,,,,,BSilva,,,,,,1.0,,
Julián Alvarez,,,julian-alvarez,J. Álvarez,F,19,170,228751,M,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",38.0,33.0,1.0,1.0,13.0,15.0,22.0,28.0,,2.0,,,,,90.0,55.0,8.1,11.0,0.3462,0.0204,0.374125,"{'original': 8.1, 'alternative': 7.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,6.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,,1.0,,6.0,1.0,5.0,2.0,,1.0,1.0,LaAraña,,1.0,,,,,,
Phil Foden,,,phil-foden,P. Foden,M,47,171,188988,M,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",45.0,37.0,3.0,,8.0,9.0,29.0,39.0,,2.0,,,,,90.0,64.0,6.9,17.0,0.2934,0.3296,0.147886,"{'original': 6.9, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,6.0,2.0,,,2.0,,2.0,,3.0,,1.0,1.0,2.0,2.0,1.0,3.0,,1.0,1.0,1.0,Foden,,,,,,,,1.0
