player_id,player_name,match_id,date,round,is_home,position,opponent_team_id,team_id,last_total_points,last_minutes,avg_total_points_last_3,avg_total_points_last_5,avg_total_points_last_38,ema_points_span_3,ema_points_span_5,starts_last_5,xFP_weighted,avg_minutes_last_3,avg_goals_last_5,avg_assists_last_5,avg_rating_last_5,form_vs_season,opp_pos_avg_points_allowed,total_points
103335,Bernd Leno,12436870,2024-08-16 21:00:00,1,0,G,35,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.518181818181818,7.0
859999,Lisandro Martínez,12436870,2024-08-16 21:00:00,1,1,D,43,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0
82566,Tom Cairney,12436870,2024-08-16 21:00:00,1,0,M,35,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2857142857142856,1.0
861972,Calvin Bassey,12436870,2024-08-16 21:00:00,1,0,D,35,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0
904897,Ryan Gravenberch,12436871,2024-08-17 13:30:00,1,0,M,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.675600343053173,4.0
151545,Virgil van Dijk,12436871,2024-08-17 13:30:00,1,0,D,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.020850708924104,10.0
883537,Luis Díaz,12436871,2024-08-17 13:30:00,1,0,M,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
817979,Axel Tuanzebe,12436871,2024-08-17 13:30:00,1,1,D,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.020850708924104,6.0
869856,Dominik Szoboszlai,12436871,2024-08-17 13:30:00,1,0,M,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.0
893478,Luke Woolfenden,12436871,2024-08-17 13:30:00,1,1,D,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0
895324,Alexis Mac Allister,12436871,2024-08-17 13:30:00,1,0,M,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0
262911,Andrew Robertson,12436871,2024-08-17 13:30:00,1,0,D,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0
108515,Sam Morsy,12436871,2024-08-17 13:30:00,1,1,M,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.675600343053173,3.0
963493,Leif Davis,12436871,2024-08-17 13:30:00,1,1,D,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0
198038,Christian Walton,12436871,2024-08-17 13:30:00,1,1,G,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.518181818181818,8.0
159665,Mohamed Salah,12436871,2024-08-17 13:30:00,1,0,M,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,14.0
243609,Alisson,12436871,2024-08-17 13:30:00,1,0,G,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.518181818181818,7.0
862967,Cody Gakpo,12436871,2024-08-17 13:30:00,1,0,F,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5879337539432177,1.0
914412,Ben Johnson,12436871,2024-08-17 13:30:00,1,1,D,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,1.0
204300,Massimo Luongo,12436871,2024-08-17 13:30:00,1,1,M,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
856669,Jack Taylor,12436871,2024-08-17 13:30:00,1,1,M,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
826215,Ibrahima Konaté,12436871,2024-08-17 13:30:00,1,0,D,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0
784625,Conor Chaplin,12436871,2024-08-17 13:30:00,1,1,M,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,2.0
1010010,Ali Al-Hamadi,12436871,2024-08-17 13:30:00,1,1,F,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5879337539432177,2.0
786259,Konstantinos Tsimikas,12436871,2024-08-17 13:30:00,1,0,D,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,1.0
1008402,Conor Bradley,12436871,2024-08-17 13:30:00,1,0,D,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
305302,Wes Burns,12436871,2024-08-17 13:30:00,1,1,M,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0
997087,Liam Delap,12436871,2024-08-17 13:30:00,1,1,F,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
368146,Marcus Harness,12436871,2024-08-17 13:30:00,1,1,M,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0
795064,Trent Alexander-Arnold,12436871,2024-08-17 13:30:00,1,0,D,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,9.0
354782,Sammie Szmodics,12436871,2024-08-17 13:30:00,1,1,F,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
1003339,Jarell Quansah,12436871,2024-08-17 13:30:00,1,0,D,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.166666666666667,3.0
606164,Diogo Jota,12436871,2024-08-17 13:30:00,1,0,F,32,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
990821,Jacob Greaves,12436871,2024-08-17 13:30:00,1,1,D,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0
1090963,Omari Hutchinson,12436871,2024-08-17 13:30:00,1,1,M,44,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0
922573,Gabriel Martinelli,12436872,2024-08-17 16:00:00,1,1,F,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5879337539432177,6.0
84844,Neto,12436875,2024-08-17 16:00:00,1,0,G,14,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.518181818181818,12.0
138573,Pablo Sarabia,12436872,2024-08-17 16:00:00,1,0,M,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.675600343053173,2.0
1015267,João Gomes,12436872,2024-08-17 16:00:00,1,0,M,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
1104986,Alex Scott,12436875,2024-08-17 16:00:00,1,0,M,14,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.675600343053173,7.0
1015826,Chiquinho,12436872,2024-08-17 16:00:00,1,0,F,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5879337539432177,1.0
1136730,Lewis Hall,12436874,2024-08-17 16:00:00,1,1,D,45,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.020850708924104,9.0
1017392,Carlos Alcaraz,12436874,2024-08-17 16:00:00,1,0,M,39,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.675600343053173,1.0
1023567,Ilya Zabarnyi,12436875,2024-08-17 16:00:00,1,0,D,14,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.020850708924104,8.0
1036269,Yasin Ayari,12436873,2024-08-17 16:00:00,1,0,M,48,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.675600343053173,0.0
50027,Craig Dawson,12436872,2024-08-17 16:00:00,1,0,D,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.020850708924104,1.0
879810,Flynn Downes,12436874,2024-08-17 16:00:00,1,0,M,39,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
1096136,Daniel Jebbison,12436875,2024-08-17 16:00:00,1,0,F,14,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5879337539432177,1.0
1085950,Tim Iroegbunam,12436873,2024-08-17 16:00:00,1,1,M,30,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.675600343053173,5.0
914309,Iliman Ndiaye,12436873,2024-08-17 16:00:00,1,1,F,30,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5879337539432177,2.0
139310,Willy Boly,12436875,2024-08-17 16:00:00,1,1,D,60,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.020850708924104,9.0
907668,Billy Gilmour,12436873,2024-08-17 16:00:00,1,0,M,48,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143047,Matt Doherty,12436872,2024-08-17 16:00:00,1,0,D,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
138530,Jordan Pickford,12436873,2024-08-17 16:00:00,1,1,G,30,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.518181818181818,10.0
905347,Yukinari Sugawara,12436874,2024-08-17 16:00:00,1,0,M,39,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
1064039,Danilo,12436875,2024-08-17 16:00:00,1,1,M,60,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.675600343053173,0.0
895576,Marcus Tavernier,12436875,2024-08-17 16:00:00,1,0,M,14,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0
150396,Emil Krafth,12436874,2024-08-17 16:00:00,1,1,D,45,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0
145188,James Tarkowski,12436873,2024-08-17 16:00:00,1,1,D,30,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.020850708924104,7.0
1065214,Samuel Edozie,12436874,2024-08-17 16:00:00,1,0,M,39,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
886363,Matheus Cunha,12436872,2024-08-17 16:00:00,1,0,F,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
