id,name,team,price,slug
829932,Cristian Romero,Tottenham Hotspur,6.9,cristian-romero
1397168,Patrick Dorgu,Manchester United,6.5,dorgu-patrick
288205,Bruno Fernandes,Manchester United,10.6,bruno-fernandes
151545,Virgil van Dijk,Liverpool,8.6,virgil-van-dijk
1142562,Mateus Fernandes,West Ham United,6.3,mateus-fernandes
927356,Neco Williams,Nottingham Forest,6.7,williams-neco
145188,James Tarkowski,Everton,8.2,james-tarkowski
917005,Crysencio Summerville,West Ham United,5.6,crysencio-summerville
827679,Ezri Konsa,Aston Villa,6.8,ezri-konsa
958916,Nathan Collins,Brentford,7.9,nathan-collins
865912,Morgan Gibbs-White,Nottingham Forest,7.6,morgan-gibbs-white
793167,Sander Berge,Fulham,6.2,sander-berge
910048,Brian Brobbey,Sunderland,5.7,brobbey-brian
355528,Harry Wilson,Fulham,7,harry-wilson
162653,Nick Pope,Newcastle United,5.9,nick-pope
998253,Jake O'Brien,Everton,5.2,jake-obrien
869856,Dominik Szoboszlai,Liverpool,7.9,dominik-szoboszlai
869792,Gabriel Magalhães,Arsenal,9.5,gabriel-magalhaes
866469,Bruno Guimarães,Newcastle United,9.6,bruno-guimaraes
833956,Matty Cash,Aston Villa,6.5,matty-cash
836168,Nikola Milenković,Nottingham Forest,7.3,nikola-milenkovic
42209,Martin Dúbravka,Burnley,4.8,martin-dubravka
78152,Matz Sels,Nottingham Forest,6.1,matz-sels
941168,William Saliba,Arsenal,8.2,william-saliba
1199282,Murillo,Nottingham Forest,7.5,murillo
138530,Jordan Pickford,Everton,7.3,jordan-pickford
910046,Sven Botman,Newcastle United,6,sven-botman
847097,Ethan Ampadu,Leeds United,5.8,ethan-ampadu
362682,Joachim Andersen,Fulham,6.3,joachim-andersen
974505,Enzo Fernández,Chelsea,8.5,enzo-fernandez
1194333,Abdukodir Khusanov,Manchester City,5.5,abdukodir-khusanov
934354,Antoine Semenyo,Manchester City,9,antoine-semenyo
158263,Emiliano Martínez,Aston Villa,5.8,emiliano-martinez
