minute,value
1.0,7
2.0,6
3.0,13
4.0,34
5.0,28
6.0,21
7.0,12
8.0,16
9.0,17
10.0,39
11.0,30
12.0,23
13.0,43
14.0,30
15.0,18
16.0,23
17.0,28
18.0,59
19.0,40
20.0,24
21.0,17
22.0,15
23.0,65
24.0,40
25.0,33
26.0,28
27.0,22
28.0,18
29.0,3
30.0,49
31.0,25
32.0,18
33.0,18
34.0,28
35.0,51
36.0,33
37.0,28
38.0,19
39.0,28
40.0,22
41.0,27
42.0,24
43.0,23
44.0,44
45.0,28
45.5,0
46.0,11
47.0,14
48.0,32
49.0,65
50.0,45
51.0,35
52.0,12
53.0,15
54.0,16
55.0,37
56.0,27
57.0,54
58.0,37
59.0,26
60.0,49
61.0,34
62.0,49
63.0,19
64.0,16
65.0,12
66.0,3
67.0,-1
68.0,29
69.0,19
70.0,20
71.0,17
72.0,47
73.0,31
74.0,23
75.0,34
76.0,25
77.0,51
78.0,-31
79.0,5
80.0,24
81.0,53
82.0,33
83.0,-51
84.0,-45
85.0,-43
86.0,-23
87.0,-9
88.0,-2
89.0,60
90.0,43
90.5,51
