name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,keyPass,firstName,lastName,bigChanceMissed,shotOffTarget,interceptionWon,dispossessed,goalAssist,onTargetScoringAttempt,expectedGoalsOnTarget,goals,errorLeadToAGoal,crossNotClaimed,savedShotsFromInsideTheBox,punches,totalKeeperSweeper,accurateKeeperSweeper,totalOffside,lastManTackle
Wesley Foderingham,wesley-foderingham,W. Foderingham,G,25,185,337,M,,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",28.0,11.0,26.0,3.0,4.0,11.0,3.0,90.0,36.0,6.4,18.0,0.00154362,"{'original': 6.4, 'alternative': 6.3}",0,-0.2693,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,9.0,8.0,24.0,,,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,,
George Baldock,george-baldock,G. Baldock,D,,175,377,M,,112928,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,731635200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورج بالدوك', 'hi': 'जॉर्ज बाल्डॉक', 'bn': 'জর্জ বলডক'}, 'shortNameTranslation': {'ar': 'ج. بالدوك', 'hi': 'जी. बाल्डॉक', 'bn': 'জি. বালডক'}}",14.0,9.0,6.0,4.0,6.0,1.0,,90.0,24.0,6.6,7.0,0.00397279,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,5.0,8.0,,,1.0,2.0,3.0,3.0,,,,,,4.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
Jack Robinson,jack-robinson,J. Robinson,D,6,180,180,M,,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",13.0,8.0,3.0,7.0,10.0,6.0,,90.0,29.0,6.9,7.0,0.0004524,"{'original': 6.9, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,1.0,3.0,,,,4.0,,8.0,,,,,,7.0,,3.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,
Auston Trusty,auston-trusty,A. Trusty,D,6,188,820,M,,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",7.0,2.0,1.0,1.0,2.0,2.0,,90.0,21.0,6.7,6.0,8.983e-05,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,5.0,,,3.0,2.0,4.0,3.0,,,,,,8.0,,1.0,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,
Jayden Bogle,bogle-jayden,J. Bogle,D,2,178,740,M,,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",13.0,10.0,,4.0,4.0,2.0,,90.0,36.0,6.9,9.0,0.00480608,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,6.0,9.0,,,,3.0,2.0,7.0,,2.0,1.0,,,5.0,,2.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0
Vinícius Souza,vinicius-souza,Vinicius,M,5,187,1676,M,,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",21.0,14.0,1.0,7.0,10.0,4.0,,90.0,38.0,7.1,8.0,0.00310686,"{'original': 7.1, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,11.0,,,2.0,3.0,6.0,10.0,1.0,,,,,3.0,,7.0,4.0,1.0,,3.0,0.0138,,,,,1.0,2.0,,,,,,,,,,,,,
Oliver Norwood,oliver-norwood,O. Norwood,M,26,180,225,M,,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",35.0,20.0,11.0,10.0,12.0,5.0,,90.0,50.0,7.1,17.0,0.023727,"{'original': 7.1, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,11.0,25.0,2.0,1.0,1.0,1.0,2.0,4.0,,,,,,3.0,1.0,1.0,,,2.0,1.0,0.0538,2.0,,,,1.0,2.0,,,1.0,0.0427,,,,,,,,,
Yasser Larouci,larouci-yasser,Y. Larouci,D,76,175,3783,M,larouci.yasseroff,927360,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,978307200,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لعروسي، ياسر', 'hi': 'लारौसी, यासर', 'bn': 'লারুচি, ইয়াসির'}, 'shortNameTranslation': {'ar': 'ي. لعروسي', 'hi': 'वाई. लारौसी', 'bn': 'ওয়াই. লারুচি'}}",7.0,4.0,1.0,4.0,5.0,4.0,,58.0,24.0,7.2,3.0,0.00017083,"{'original': 7.2, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,,,,,3.0,9.0,2.0,1.0,1.0,,,2.0,,7.0,4.0,,1.0,1.0,,,Yasser,Larouci,,,1.0,,,,,,,,,,,,,
Anis Ben Slimane,anis-ben-slimane,A. B. Slimane,M,20,188,2213,M,,1006147,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,984700800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",9.0,7.0,,2.0,4.0,,,76.0,26.0,6.5,8.0,0.00185686,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,5.0,,,6.0,2.0,11.0,5.0,,2.0,,,,4.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,2.0,
Andre Brooks,andre-brooks,A. Brooks,M,11,180,187,M,,1396445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061337600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه بروكس', 'hi': 'आंद्रे ब्रुक्स', 'bn': 'আন্দ্রে ব্রুকস'}, 'shortNameTranslation': {'ar': 'أ. بروكس', 'hi': 'ए. ब्रुक्स', 'bn': 'এ. ব্রুকস'}}",7.0,4.0,2.0,1.0,3.0,4.0,,58.0,21.0,7.0,4.0,0.00046058,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,4.0,,,2.0,,4.0,6.0,1.0,1.0,1.0,,,2.0,,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Cameron Archer,cameron-archer,C. Archer,F,19,181,1000,M,,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",10.0,7.0,,5.0,5.0,1.0,,89.0,22.0,7.1,9.0,0.00092838,"{'original': 7.1, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,5.0,,,3.0,1.0,7.0,2.0,,1.0,1.0,,1.0,1.0,,,,5.0,,3.0,0.5083,,,,,,,1.0,,1.0,0.8859,1.0,,,,,,,1.0,
Max Lowe,max-lowe,M. Lowe,D,3,175,114,M,,355154,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,863308800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس لوي', 'hi': 'मैक्स लोवे', 'bn': 'ম্যাক্স লোয়ে'}, 'shortNameTranslation': {'ar': 'م. لوي', 'hi': 'एम. लोवे', 'bn': 'এম. লোয়ে'}}",6.0,5.0,,1.0,1.0,1.0,,32.0,13.0,6.6,3.0,0.0100806,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,5.0,7.0,2.0,1.0,,2.0,,3.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Hamer,gustavo-hamer,G. Hamer,M,8,169,1022,M,,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",10.0,9.0,1.0,5.0,6.0,6.0,,32.0,19.0,7.3,3.0,0.177064,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,4.0,4.0,,,,,,3.0,,2.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,
James McAtee,james-mcatee,J. McAtee,M,24,180,10990,M,jamesmcatee_,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",7.0,7.0,,4.0,4.0,2.0,,14.0,20.0,6.7,5.0,0.0330714,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,3.0,,,,,4.0,4.0,,5.0,1.0,,,2.0,,2.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
Oliver McBurnie,oliver-mcburnie,O. McBurnie,F,9,188,920,M,,367228,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,833846400,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر مكبورني', 'hi': 'ओलिवर मैकबर्नी', 'bn': 'অলিভার ম্যাকবার্নি'}, 'shortNameTranslation': {'ar': 'أ. مكبورني', 'hi': 'ओ. मैकबर्नी', 'bn': 'ও. ম্যাকবার্নি'}}",5.0,3.0,,1.0,1.0,2.0,,11.0,11.0,6.3,4.0,0.00117311,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,4.0,,,1.0,,4.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
Adam Davies,adam-davies,A. Davies,G,17,185,115,M,,288997,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,711331200,"{'value': 290000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ديفيز', 'hi': 'एडम डेविस', 'bn': 'অ্যাডাম ডেভিস'}, 'shortNameTranslation': {'ar': 'آ. ديفيز', 'hi': 'ए. डेविस', 'bn': 'এ. ডেভিস'}}",,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Thomas,luke-thomas,L. Thomas,D,33,178,494,M,,991584,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,992131200,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك توماس', 'hi': 'ल्यूक थॉमस', 'bn': 'লুক থমাস'}, 'shortNameTranslation': {'ar': 'ل. توماس', 'hi': 'एल. थॉमस', 'bn': 'এল. থমাস'}}",,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bénie Traoré,benie-traore,B. Traore,M,11,172,1364,M,,1099792,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1038614400,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيني تراوري', 'hi': 'बेनी ट्राओरे', 'bn': 'বেনি ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्राओरे', 'bn': 'বি. ট্রাওরে'}}",,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,Benie Traore,,,,,,,,,,,,,,,,,
Ben Osborn,ben-osborn,B. Osborn,M,23,176,76,M,,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,Ben,Osborn,,,,,,,,,,,,,,,,
John Fleck,john-fleck,J. Fleck,M,13,170,104,M,,27999,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,682992000,"{'value': 71000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون فليك', 'hi': 'जॉन फ्लेक', 'bn': 'জন ফ্লেক'}, 'shortNameTranslation': {'ar': 'ج. فليك', 'hi': 'जे.फ्लेक फ्लेक', 'bn': 'জে. ফ্লেক'}}",,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
