name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,totalKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,goalAssist,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,goals,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,aerialWon,totalClearance,blockedScoringAttempt,interceptionWon,challengeLost,totalOffside,penaltyWon,bigChanceMissed,shotOffTarget,hitWoodwork,penaltyMiss,savedShotsFromInsideTheBox,penaltyFaced,punches,outfielderBlock,penaltyConceded,errorLeadToAShot
Luis Díaz,luis-diaz,L. Díaz,F,14,178,140854,M,LuisDíaz,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",38.0,30.0,2.0,2.0,7.0,8.0,23.0,32.0,7.0,,,90.0,56.0,8.9,13.0,0.0501723,"{'original': 8.9, 'alternative': 8.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,,1.0,2.0,4.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,,0.474,0.8511,2.0,,,,,,,,,1.0,,,,,,,,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,208066,M,TrentAA,795064,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907718400,"{'value': 72000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",21.0,20.0,3.0,3.0,7.0,7.0,13.0,14.0,1.0,,,22.0,28.0,6.9,2.0,0.0643841,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,1.0,2.0,,3.0,2.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,
Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,53434,M,CodyGakpo,862967,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,926035200,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",14.0,13.0,,,2.0,3.0,11.0,11.0,1.0,,,22.0,23.0,7.0,3.0,0.0207126,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,2.0,2.0,1.0,,,,1.0,,,,1.0,2.0,1.0,0.0593,0.209,,,,,2.0,,,,,1.0,,,,,,,,
Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,25243,M,andyrobertson94,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",14.0,11.0,1.0,,3.0,4.0,9.0,13.0,3.0,,,21.0,20.0,6.7,6.0,0.170315,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,3.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",18.0,18.0,,,8.0,8.0,10.0,10.0,5.0,,,21.0,21.0,6.9,,0.00478368,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,0.0398,0.0289,1.0,,,,,1.0,,,,,,,,,,,,
Bobby Clark,bobby-clark,B. Clark,M,42,178,1832,M,,1142638,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1107734400,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي كلارك', 'hi': 'बॉबी क्लार्क', 'bn': 'ববি ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ب. كلارك', 'hi': 'बी. क्लार्क', 'bn': 'বি. ক্লার্ক'}}",5.0,2.0,1.0,,,,2.0,5.0,1.0,,,14.0,6.0,6.5,3.0,0.0003033,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
Caoimhin Kelleher,caoimhin-kelleher,C. Kelleher,G,1,188,10299,M,caoimhinkelleher98,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James McConnell,mcconnell-james,J. McConnell,M,16,180,2880,M,,1138428,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095033600,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكونيل، جيمس', 'hi': 'मैककोनेल, जेम्स', 'bn': 'ম্যাককনেল, জেমস'}, 'shortNameTranslation': {'ar': 'ج. ماكونيل', 'hi': 'जे. मैककोनेल', 'bn': 'জে. ম্যাককনেল'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,James McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,30819,M,ryanjiro,904897,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1021507200,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
