name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,aerialWon,bigChanceMissed,shotOffTarget,wonTackle,unsuccessfulTouch,goals,errorLeadToAShot,goalAssist,clearanceOffLine,totalOffside
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",34.0,31.0,2.0,31.0,33.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,90.0,43.0,6.8,3.0,0.0001411,"{'original': 6.8, 'alternative': 6.5}",0,-0.3288,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matty Cash,matty-cash,M. Cash,D,2,185,9152,M,mattycash622,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",69.0,56.0,10.0,29.0,32.0,39.0,3.0,9.0,,,,,90.0,93.0,7.1,17.0,0.221431,"{'original': 7.1, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,29.0,2.0,2.0,2.0,9.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0222,0.2629,2.0,,,,,,,,,,,,
Diego Carlos,diego-carlos,D. Carlos,D,34,185,2789,M,,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",75.0,63.0,8.0,39.0,41.0,34.0,1.0,5.0,,,,,90.0,81.0,6.7,12.0,0.00906632,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,24.0,,,4.0,5.0,1.0,1.0,,,,,,,2.0,3.0,,,,,,,,,1.0,,,,,,,,,
Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,8093,M,clement_lenglet,580550,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,803347200,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كليمو لينغليه', 'hi': 'क्लेमेंट लेंग्लेट', 'bn': 'ক্লেমেন্ট লেংলেট'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'hi': 'सी. लेंग्लेट', 'bn': 'সি. লেংলেট'}}",47.0,41.0,3.0,21.0,23.0,25.0,1.0,1.0,,,,,90.0,54.0,6.6,7.0,0.0269589,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,20.0,1.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,0.3566,0.2928,,,,,1.0,,,,,,,,
Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1209,M,,294593,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,739497600,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس مورينو', 'hi': 'एलेक्स मोरेनो', 'bn': 'অ্যালেক্স মোরেনো'}, 'shortNameTranslation': {'ar': 'أ. مورينو', 'hi': 'ए. मोरेनो', 'bn': 'আ. মোরেনো'}}",30.0,24.0,,8.0,9.0,23.0,3.0,2.0,,,,,87.0,56.0,7.4,12.0,0.0354746,"{'original': 7.4, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,16.0,2.0,,,2.0,5.0,,,4.0,3.0,,,,1.0,2.0,2.0,,1.0,0.0356,,3.0,,,,,1.0,1.0,2.0,,,,,
Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3320,M,,826204,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,943315200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر كامارا', 'hi': 'बौबाकर कामारा', 'bn': 'বউবকার কামারা'}, 'shortNameTranslation': {'ar': 'ب. كامارا', 'hi': 'बी. कामारा', 'bn': 'বি.কামারা'}}",36.0,34.0,1.0,13.0,13.0,23.0,1.0,5.0,,,,,65.0,46.0,7.2,3.0,0.0394587,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,21.0,,,3.0,4.0,4.0,,,3.0,3.0,,,,1.0,2.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",54.0,51.0,3.0,16.0,17.0,43.0,1.0,5.0,,,,,90.0,73.0,7.7,12.0,0.0688853,"{'original': 7.7, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,35.0,6.0,,,6.0,6.0,2.0,2.0,3.0,2.0,,2.0,1.0,,1.0,2.0,,1.0,0.729,1.1407,1.0,,,2.0,,,2.0,,1.0,1.0,,,
Leon Bailey,leon-bailey,L. Bailey,M,31,178,7430,M,leonbailey,808590,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,871084800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",24.0,21.0,1.0,10.0,10.0,17.0,,5.0,,,,,73.0,37.0,7.5,8.0,0.460046,"{'original': 7.5, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,12.0,3.0,1.0,,1.0,5.0,,1.0,3.0,3.0,,,1.0,,,,1.0,,0.0656,,2.0,,,1.0,,1.0,,2.0,,,,,
John McGinn,john-mcginn,J. McGinn,M,7,175,3796,M,,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",26.0,24.0,1.0,3.0,3.0,28.0,,3.0,,,,,87.0,49.0,7.7,15.0,0.230974,"{'original': 7.7, 'alternative': 7.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,21.0,5.0,,1.0,6.0,4.0,,5.0,,,1.0,2.0,1.0,,,2.0,2.0,,0.235,0.3604,3.0,,,,,1.0,2.0,2.0,,,,,
Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,180,3079,M,,975937,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,991008000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب رامزي', 'hi': 'जैकब रैमसे', 'bn': 'জ্যাকব রামসে'}, 'shortNameTranslation': {'ar': 'ج. رامزي', 'hi': 'जे. रैमसे', 'bn': 'জে. রামসে'}}",35.0,30.0,,5.0,5.0,31.0,1.0,3.0,,,,,90.0,51.0,6.9,11.0,0.0598496,"{'original': 6.9, 'alternative': 6.5}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,25.0,1.0,,,4.0,2.0,1.0,3.0,,,,1.0,2.0,,,,1.0,,0.3207,,,,,1.0,,2.0,,2.0,,,,,
