period,group,statistic,home_value,away_value,home_total,away_total,home_display,away_display,compare_code,key
1ST,Defending,Recoveries,25.0,29.0,,,25,29,2,ballRecovery
1ST,Defending,Clearances,10.0,14.0,,,10,14,2,totalClearance
1ST,Goalkeeping,Total saves,0.0,3.0,,,0,3,2,goalkeeperSaves
1ST,Goalkeeping,Goal kicks,2.0,7.0,,,2,7,2,goalKicks
2ND,Match overview,Ball possession,54.0,46.0,,,54%,46%,1,ballPossession
2ND,Match overview,Expected goals,1.61,0.66,,,1.61,0.66,1,expectedGoals
2ND,Match overview,Big chances,3.0,1.0,,,3,1,1,bigChanceCreated
2ND,Match overview,Total shots,13.0,10.0,,,13,10,1,totalShotsOnGoal
2ND,Match overview,Goalkeeper saves,3.0,5.0,,,3,5,2,goalkeeperSaves
2ND,Match overview,Corner kicks,6.0,2.0,,,6,2,1,cornerKicks
2ND,Match overview,Passes,240.0,211.0,,,240,211,1,passes
2ND,Match overview,Tackles,6.0,13.0,,,6,13,2,totalTackle
2ND,Match overview,Free kicks,3.0,5.0,,,3,5,2,freeKicks
2ND,Match overview,Yellow cards,2.0,0.0,,,2,0,1,yellowCards
2ND,Shots,Total shots,13.0,10.0,,,13,10,1,totalShotsOnGoal
2ND,Shots,Shots on target,7.0,4.0,,,7,4,1,shotsOnGoal
2ND,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
2ND,Shots,Shots off target,1.0,2.0,,,1,2,2,shotsOffGoal
2ND,Shots,Blocked shots,5.0,4.0,,,5,4,1,blockedScoringAttempt
2ND,Shots,Shots inside box,11.0,7.0,,,11,7,1,totalShotsInsideBox
2ND,Shots,Shots outside box,2.0,3.0,,,2,3,2,totalShotsOutsideBox
2ND,Attack,Big chances scored,1.0,1.0,,,1,1,3,bigChanceScored
2ND,Attack,Big chances missed,2.0,0.0,,,2,0,1,bigChanceMissed
2ND,Attack,Through balls,1.0,0.0,,,1,0,1,accurateThroughBall
2ND,Attack,Fouled in final third,0.0,1.0,,,0,1,2,fouledFinalThird
2ND,Attack,Offsides,0.0,2.0,,,0,2,2,offsides
2ND,Passes,Accurate passes,211.0,173.0,,,211,173,1,accuratePasses
2ND,Passes,Throw-ins,4.0,6.0,,,4,6,2,throwIns
2ND,Passes,Final third entries,21.0,21.0,,,21,21,3,finalThirdEntries
2ND,Passes,Long balls,5.0,7.0,9.0,25.0,5/9 (56%),7/25 (28%),1,accurateLongBalls
2ND,Passes,Crosses,3.0,3.0,15.0,7.0,3/15 (20%),3/7 (43%),2,accurateCross
2ND,Duels,Duels,37.0,63.0,,,37%,63%,2,duelWonPercent
2ND,Duels,Dispossessed,8.0,4.0,,,8,4,1,dispossessed
2ND,Duels,Ground duels,16.0,23.0,39.0,39.0,16/39 (41%),23/39 (59%),2,groundDuelsPercentage
2ND,Duels,Aerial duels,2.0,8.0,10.0,10.0,2/10 (20%),8/10 (80%),2,aerialDuelsPercentage
2ND,Duels,Dribbles,7.0,5.0,12.0,7.0,7/12 (58%),5/7 (71%),2,dribblesPercentage
2ND,Defending,Tackles won,6.0,8.0,6.0,13.0,100%,62%,1,wonTacklePercent
2ND,Defending,Total tackles,6.0,13.0,,,6,13,2,totalTackle
2ND,Defending,Interceptions,5.0,2.0,,,5,2,1,interceptionWon
2ND,Defending,Recoveries,25.0,28.0,,,25,28,2,ballRecovery
2ND,Defending,Clearances,4.0,14.0,,,4,14,2,totalClearance
2ND,Goalkeeping,Total saves,3.0,5.0,,,3,5,2,goalkeeperSaves
2ND,Goalkeeping,Goal kicks,3.0,3.0,,,3,3,3,goalKicks
