team1,team2,score,event,match_url
JiJieHao,Zero Tenacity,0-2,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386540/jijiehao-vs-zero-tenacity-esl-challenger-league-season-50-europe-cup-3
Aurora,FaZe,1-2,ESL Pro League Season 22,https://www.hltv.org/matches/2385962/aurora-vs-faze-esl-pro-league-season-22
Partizan,Johnny Speeds,0-2,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386543/partizan-vs-johnny-speeds-esl-challenger-league-season-50-europe-cup-3
TPuDCATb TPu,NOVAQ,2-0,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386541/tpudcatb-tpu-vs-novaq-esl-challenger-league-season-50-europe-cup-3
Oramond,1win,2-0,NODWIN Clutch Series 1,https://www.hltv.org/matches/2386720/oramond-vs-1win-nodwin-clutch-series-1
Alliance,SPARTA,2-0,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386544/alliance-vs-sparta-esl-challenger-league-season-50-europe-cup-3
ESC,RUBY,2-0,ESL Challenger League Season 50 Europe Cup 3,https://www.hltv.org/matches/2386542/esc-vs-ruby-esl-challenger-league-season-50-europe-cup-3
Inner Circle,Eternal Fire,2-0,Galaxy Battle 2025 Phase 4,https://www.hltv.org/matches/2386208/inner-circle-vs-eternal-fire-galaxy-battle-2025-phase-4
Superior,WildLotus,0-3,T-Esports Championship Season 4,https://www.hltv.org/matches/2386767/superior-vs-wildlotus-t-esports-championship-season-4
Betera,ECLOT,1-2,Winline Insight Season 8,https://www.hltv.org/matches/2386227/betera-vs-eclot-winline-insight-season-8
Crashers,Procyon,2-0,CCT Season 3 South America Series 5,https://www.hltv.org/matches/2386677/crashers-vs-procyon-cct-season-3-south-america-series-5
SINNERS,Dziuseppe,0-2,CCT Season 3 Europe Series 8,https://www.hltv.org/matches/2386329/sinners-vs-dziuseppe-cct-season-3-europe-series-8
G2,3DMAX,0-2,ESL Pro League Season 22,https://www.hltv.org/matches/2385961/g2-vs-3dmax-esl-pro-league-season-22
