name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialWon,duelWon,totalContest,shotOffTarget,totalTackle,wasFouled,expectedGoals,aerialLost,onTargetScoringAttempt,wonTackle,errorLeadToAGoal,errorLeadToAShot,unsuccessfulTouch,expectedGoalsOnTarget,wonContest,outfielderBlock,fouls,keyPass,dispossessed,interceptionWon,accurateCross,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,totalOffside,punches,goalAssist,goals
Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3815,M,lukasz.fabianski,15479,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,482630400,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس فابيانسكي', 'hi': 'लुकाज़ फ़ेबियान्स्की', 'bn': 'লুকাস ফ্যাবিয়ানস্কি'}, 'shortNameTranslation': {'ar': 'ل. فابيانسكي', 'hi': 'एल. फ़ेबियान्स्की', 'bn': 'এল.ফ্যাবিয়ানস্কি'}}",17.0,14.0,7.0,4.0,12.0,13.0,2.0,4.0,1.0,1.0,2.0,10.0,1.0,5.0,8.0,90.0,38.0,8.4,3.0,0.00054618,"{'original': 8.4, 'alternative': 7.7}",0,1.8788,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1643,M,,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",34.0,30.0,1.0,,17.0,19.0,13.0,20.0,1.0,,1.0,5.0,,,,69.0,53.0,6.7,10.0,0.00801535,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0678,,,,,,,,,,,,,,,,,,,,,
Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2675,M,,829022,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,881798400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس مافروبانوس', 'hi': 'कोंस्टैंटिनोस मावरोपानोस', 'bn': 'কনস্টানটাইনস মাভ্রোপানোস'}, 'shortNameTranslation': {'ar': 'ك. مافروبانوس', 'hi': 'के. मावरोपानोस', 'bn': 'কে. মাভ্রোপানোস'}}",40.0,36.0,6.0,3.0,27.0,27.0,9.0,13.0,3.0,,2.0,2.0,,,,60.0,47.0,6.0,6.0,0.00677751,"{'original': 6, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,2.0,,,1.0,,0.0463,3.0,1.0,1.0,1.0,1.0,2.0,0.0651,,,,,,,,,,,,,,
Nayef Aguerd,nayef-aguerd,N. Aguerd,D,21,188,26523,M,nayefaguard,877102,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,828144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نايف أكرد', 'hi': 'नायेफ़ अगुएर्ड', 'bn': 'নায়েফ আগুয়ের্ড'}, 'shortNameTranslation': {'ar': 'ن. أكرد', 'hi': 'एन. अगुएर्ड', 'bn': 'এন. আগুয়ের্ড'}}",72.0,65.0,6.0,3.0,43.0,49.0,22.0,24.0,6.0,1.0,3.0,3.0,,,,90.0,87.0,7.0,9.0,0.00888543,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,4.0,8.0,1.0,,3.0,,,4.0,,2.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,
Emerson Palmieri,emerson-palmieri,Emerson,D,3,176,2307,M,,155997,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,775872000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون بالميري', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন পালমিরি'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন'}}",79.0,65.0,6.0,1.0,25.0,30.0,40.0,50.0,3.0,,2.0,2.0,,,,90.0,107.0,7.0,19.0,0.040258,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,8.0,2.0,,5.0,1.0,,,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10874,M,EdsonAlvarez19,847151,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,877651200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدسون ألفاريز', 'hi': 'एडसन अल्वारेज़', 'bn': 'এডসন আলভারেজ'}, 'shortNameTranslation': {'ar': 'إ. ألفاريز', 'hi': 'ई. अल्वारेज़', 'bn': 'ই. আলভারেজ'}}",50.0,43.0,3.0,1.0,18.0,18.0,25.0,32.0,10.0,2.0,1.0,7.0,,,,90.0,77.0,6.6,17.0,0.0325562,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,8.0,7.0,,2.0,2.0,,1.0,,,,,3.0,,3.0,1.0,,1.0,3.0,1.0,,,,,,,,
James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,prowsey16,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",43.0,40.0,2.0,2.0,17.0,17.0,26.0,33.0,,,,4.0,,,,69.0,56.0,7.4,8.0,0.203316,"{'original': 7.4, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,1.0,1.0,,1.0,,,0.0765,,1.0,,,,1.0,0.0498,,,,3.0,,1.0,3.0,1.0,1.0,,,,,
Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89694,M,Kudus,905163,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,965174400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد قدوس', 'hi': 'मोहम्मद कुडूस', 'bn': 'মোহাম্মদ কুদুস'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'hi': 'एम. कुडूस', 'bn': 'এম. কুদুস'}}",33.0,28.0,2.0,2.0,11.0,11.0,20.0,29.0,7.0,1.0,,9.0,,,,90.0,65.0,7.4,16.0,0.19839,"{'original': 7.4, 'alternative': 7.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,,10.0,9.0,3.0,2.0,2.0,0.1838,,,,,,2.0,,6.0,,1.0,2.0,2.0,2.0,3.0,,,1.0,1.0,,,
Lucas Paquetá,lucas-paqueta,L. Paquetá,M,10,180,54701,M,Paqueta,839981,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,872640000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس باكيتا', 'hi': 'लुकास पेकटा', 'bn': 'লুকাস পাকেতা'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'hi': 'एल. पेकटा', 'bn': 'এল. পাকেতা'}}",70.0,55.0,4.0,3.0,18.0,20.0,39.0,57.0,7.0,1.0,,5.0,,,,90.0,102.0,7.2,26.0,0.15279,"{'original': 7.2, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,,9.0,6.0,1.0,1.0,4.0,0.1912,2.0,1.0,1.0,,1.0,2.0,0.0626,4.0,,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,,,,
Michail Antonio,michail-antonio,M. Antonio,F,,180,3351,M,MichailAntonio,47772,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,638582400,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أنطونيو', 'hi': 'माइकल एंटोनियो', 'bn': 'মাইকেল আন্তোনিও'}, 'shortNameTranslation': {'ar': 'م. أنطونيو', 'hi': 'एम. एंटोनियो', 'bn': 'এম. আন্তোনিও'}}",25.0,19.0,1.0,1.0,7.0,7.0,12.0,20.0,4.0,,,3.0,,,,82.0,43.0,6.3,15.0,0.00786514,"{'original': 6.3, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,2.0,4.0,2.0,1.0,,1.0,0.215,1.0,,,,,2.0,,1.0,,,,2.0,1.0,,,1.0,,,,,
