name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,wasFouled,fouls,interceptionWon,unsuccessfulTouch,totalContest,outfielderBlock,totalTackle,wonTackle,challengeLost,totalCross,accurateCross,wonContest,sofascoreId,dispossessed,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,keyPass,blockedScoringAttempt,totalOffside,bigChanceCreated,goalAssist,goals,errorLeadToAShot
Luis Díaz,,,luis-diaz,L. Díaz,F,14,178,140854,M,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",16.0,15.0,1.0,1.0,3.0,3.0,13.0,14.0,1.0,1.0,,,,,,67.0,34.0,6.9,8.0,0.108006,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,4.0,4.0,2.0,,,3.0,3.0,,,,,1.0,1.0,2.0,LuisDíaz,2.0,,,,,,1.0,,1.0,,,,
Curtis Jones,,,curtis-jones,C. Jones,M,17,185,17493,M,927353,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,980812800,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",20.0,16.0,2.0,,4.0,6.0,12.0,14.0,1.0,3.0,,,,,,33.0,29.0,6.8,7.0,0.0358422,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,2.0,3.0,3.0,,1.0,,2.0,1.0,,,,,,,1.0,curtisjones,1.0,,1.0,,0.0919,,,,2.0,,,,
Harvey Elliott,,,harvey-elliott,H. Elliott,M,19,170,21929,M,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",12.0,12.0,,,4.0,4.0,9.0,9.0,,,,,,,,23.0,16.0,6.7,1.0,0.199134,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,1.0,2.0,,,,1.0,,,,,1.0,1.0,1.0,,harvelliott,,,,,0.0138,,1.0,1.0,,,,,
Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,188,74506,M,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",4.0,3.0,,,,,3.0,4.0,,2.0,,,,,,23.0,11.0,6.7,4.0,0.0628401,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,,6.0,2.0,,,,,3.0,,1.0,,,,,1.0,Darwin,1.0,1.0,,1.0,0.3316,0.8446,1.0,,1.0,1.0,1.0,,
Ryan Gravenberch,,,ryan-gravenberch,R. Gravenberch,M,38,190,30819,M,904897,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1021507200,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",4.0,2.0,,,,1.0,2.0,3.0,,,,,,,,12.0,4.0,6.5,2.0,0.00067086,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,1.0,,,,,,,,,,,,,,ryanjiro,,,,,,,,,,,,,
Adrián,,,adrian,Adrián,G,13,190,2132,M,50539,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,536630400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أدريان', 'hi': 'एड्रियन', 'bn': 'অ্যাড্রিয়ান'}, 'shortNameTranslation': {'ar': 'أدريان', 'hi': 'एड्रियन', 'bn': 'অ্যাড্রিয়ান'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelo Pitaluga,,,marcelo-pitaluga,M. Pitaluga,G,27,192,1286,M,1093974,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1040342400,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارسيلو بيتالوغا', 'hi': 'मार्सेलो पिटालुगा', 'bn': 'মার্সেলো পিটালুগা'}, 'shortNameTranslation': {'ar': 'م. بيتالوغا', 'hi': 'एम. पिटालुगा', 'bn': 'এম. পিটালুগা'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Bradley,,,bradley-conor,C. Bradley,D,12,181,15669,M,1008402,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1057708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برادلي، كونور', 'hi': 'ब्रैडली, कॉनर', 'bn': 'ব্র্যাডলি, কনর'}, 'shortNameTranslation': {'ar': 'ك. برادلي', 'hi': 'सी. ब्रैडली', 'bn': 'সি. ব্র্যাডলি'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,conorbradley03,,,,,,,,,,,,,
Jarell Quansah,,,jarell-quansah,J. Quansah,D,4,190,10706,M,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,jarellquansah,,,,,,,,,,,,,
Konstantinos Tsimikas,,,konstantinos-tsimikas,K. Tsimikas,D,12,178,16780,M,786259,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,831859200,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس تسيميكاس', 'hi': 'कोंस्टांटिनोस सिमिक्स', 'bn': 'কনস্টান্টিনোস সিমিকাস'}, 'shortNameTranslation': {'ar': 'ك. تسيميكاس', 'hi': 'के. सिमिक्स', 'bn': 'কে. সিমিকাস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,TK21,,,,,,,,,,,,,
