name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,fouls,lastManTackle,wasFouled,firstName,lastName,goalAssist,bigChanceCreated,keyPass,totalCross,onTargetScoringAttempt,goals,unsuccessfulTouch,expectedGoals,expectedGoalsOnTarget,dispossessed,totalContest,shotOffTarget,wonContest,bigChanceMissed,accurateCross,totalOffside,penaltyWon,penaltyFaced,clearanceOffLine,blockedScoringAttempt,errorLeadToAShot,penaltyConceded
Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,17613,M,RS1,920546,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,879811200,"{'value': 19900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبرت سانشيز', 'hi': 'रॉबर्ट सांचेज़', 'bn': 'রবার্ট সানচেজ'}, 'shortNameTranslation': {'ar': 'ر. سانشيز', 'hi': 'आर. सांचेज़', 'bn': 'আর. সানচেজ'}}",36.0,23.0,21.0,8.0,16.0,18.0,7.0,18.0,13.0,3.0,4.0,7.0,90.0,51.0,7.9,13.0,0.00277113,"{'original': 7.9, 'alternative': 7.5}",0,0.7553,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Disasi,axel-disasi,A. Disasi,D,2,190,8850,M,axel_disasi,827243,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,889574400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسيل ديساسي', 'hi': 'एक्सल डिसासी', 'bn': 'অ্যাক্সেল ডিসাসি'}, 'shortNameTranslation': {'ar': 'أ. ديساسي', 'hi': 'ए. डिसासी', 'bn': 'এ. ডিসাসি'}}",33.0,27.0,2.0,1.0,15.0,16.0,12.0,17.0,4.0,,,,90.0,49.0,6.9,9.0,0.00501674,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,4.0,5.0,7.0,1.0,5.0,1.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",33.0,31.0,4.0,3.0,23.0,23.0,8.0,10.0,3.0,,,,90.0,49.0,7.3,2.0,0.0143762,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,6.0,1.0,10.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10333,M,badiashile,904827,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985564800,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بينوا بادياشيل', 'hi': 'बेनोइट बाडियाशिले', 'bn': 'বেনেডিক্ট বাদিয়াশিলে'}, 'shortNameTranslation': {'ar': 'ب. بادياشيل', 'hi': 'बी. बाडियाशिले', 'bn': 'বি.বাদিয়াশিলে'}}",35.0,33.0,3.0,2.0,25.0,26.0,8.0,9.0,3.0,,,,90.0,50.0,7.3,2.0,0.562075,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,3.0,2.0,,8.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
Levi Colwill,levi-colwill,L. Colwill,D,6,187,17567,M,LColwill,996911,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1046217600,"{'value': 55000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليفي كولويل', 'hi': 'लेवी कोलविल', 'bn': 'লেভি কলউইল'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'hi': 'एल. कोलविल', 'bn': 'এল. কলউইল'}}",21.0,18.0,,,9.0,9.0,9.0,13.0,2.0,,,,90.0,41.0,7.3,7.0,0.00444701,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,2.0,,4.0,,2.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,0.2282,0.3697,,,,,,,,,,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",32.0,30.0,,,22.0,23.0,8.0,9.0,6.0,,,,90.0,51.0,6.5,8.0,0.0114722,"{'original': 6.5, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,10.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,,2.0,,,,,,,,,,0.0265,,4.0,1.0,1.0,,,,,,,,,,
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,120510,M,Enzo8,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",38.0,26.0,8.0,4.0,14.0,20.0,12.0,18.0,3.0,,,,90.0,52.0,7.8,16.0,0.019885,"{'original': 7.8, 'alternative': 7.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,4.0,6.0,2.0,,,1.0,2.0,,1.0,,2.0,,,,,,,3.0,2.0,1.0,1.5084,1.6135,,2.0,,1.0,1.0,,,,,,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",19.0,12.0,1.0,1.0,6.0,8.0,7.0,13.0,6.0,,,,66.0,36.0,6.5,15.0,0.0265905,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,2.0,,,,1.0,,,1.0,,2.0,,,,,,2.0,,,4.0,,,,3.0,,,,1.0,1.0,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",19.0,18.0,,,10.0,11.0,10.0,13.0,1.0,,,,45.0,31.0,5.6,5.0,0.060415,"{'original': 5.6, 'alternative': 5.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,1.0,4.0,5.0,,,,,2.0,1.0,4.0,,1.0,,,,,,5.0,,,1.0,,,,1.0,,1.0,,2.0,,,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",12.0,8.0,,,4.0,4.0,4.0,10.0,,,,,81.0,31.0,6.8,13.0,0.00641203,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,6.0,5.0,,,,1.0,1.0,,1.0,,2.0,,,,,,2.0,,,3.0,0.0274,,,6.0,1.0,2.0,,,,1.0,,,,,
