minute,value
1.0,-3
2.0,6
3.0,-10
4.0,-19
5.0,-10
6.0,-4
7.0,-1
8.0,11
9.0,33
10.0,58
11.0,29
12.0,9
13.0,3
14.0,-1
15.0,-3
16.0,-2
17.0,11
18.0,38
19.0,19
20.0,19
21.0,14
22.0,46
23.0,17
24.0,55
25.0,20
26.0,-13
27.0,-1
28.0,3
29.0,11
30.0,4
31.0,1
32.0,5
33.0,-10
34.0,-10
35.0,-13
36.0,-3
37.0,-14
38.0,-36
39.0,-5
40.0,24
41.0,6
42.0,-14
43.0,-46
44.0,-25
45.0,-2
45.5,-31
46.0,-8
47.0,-13
48.0,-23
49.0,-56
50.0,-39
51.0,-27
52.0,-19
53.0,-16
54.0,-41
55.0,-29
56.0,-64
57.0,-42
58.0,-48
59.0,-30
60.0,-32
61.0,-24
62.0,-39
63.0,-26
64.0,-8
65.0,34
66.0,14
67.0,-25
68.0,-16
69.0,-4
70.0,-29
71.0,-32
72.0,-22
73.0,-17
74.0,-25
75.0,-18
76.0,-21
77.0,-17
78.0,-46
79.0,-8
80.0,-40
81.0,-11
82.0,-18
83.0,-52
84.0,-85
85.0,-57
86.0,-81
87.0,-54
88.0,-70
89.0,-45
90.0,-33
90.5,-55
