name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,duelWon,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,wonTackle,aerialLost,aerialWon,bigChanceMissed,shotOffTarget,outfielderBlock,errorLeadToAGoal,unsuccessfulTouch,fouls,expectedGoals,wonContest,wasFouled,keyPass,bigChanceCreated,blockedScoringAttempt,onTargetScoringAttempt,totalOffside,expectedGoalsOnTarget,sofascoreId,goals,goalAssist,goodHighClaim,hitWoodwork
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",32.0,24.0,4.0,2.0,6.0,7.0,19.0,30.0,6.0,,2.0,,,,,86.0,54.0,7.0,18.0,0.430709,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,1.0,5.0,,9.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,0.3301,4.0,,2.0,1.0,,2.0,,0.9708,,,,,
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180,3573,M,907072,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,962582400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",29.0,24.0,2.0,1.0,6.0,6.0,18.0,26.0,5.0,2.0,2.0,,,,,45.0,40.0,6.9,12.0,0.0932979,"{'original': 6.9, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,3.0,,,1.0,,1.0,1.0,,,2.0,,,,,,3.0,,0.2916,,,1.0,1.0,1.0,,,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",35.0,28.0,3.0,,7.0,7.0,21.0,33.0,3.0,,2.0,,,,,23.0,47.0,6.3,15.0,0.0202973,"{'original': 6.3, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,5.0,,,,2.0,,,,,,,,,,,,1.0,0.0154,,,,,1.0,,,,,,,,
Myles Peart-Harris,myles-peart-harris,M. Peart-Harris,M,25,187,181,M,980649,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1032307200,"{'value': 875000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايلز بيرت-هاريس', 'hi': 'माइल्स पीयर्ट-हैरिस', 'bn': 'মাইলস পিয়ার্ট-হ্যারিস'}, 'shortNameTranslation': {'ar': 'م. بيرت-هاريس', 'hi': 'एम. पीयर्ट-हैरिस', 'bn': 'এম. পিয়ার্ট-হ্যারিস'}}",4.0,3.0,,,1.0,1.0,2.0,3.0,2.0,,,,,,,11.0,6.0,6.6,2.0,0.00094768,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,
Michael Olakigbe,olakigbe-michael,M. Olakigbe,M,37,180,76,M,1014556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1082851200,"{'value': 535000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولاكيجبي، مايكل', 'hi': 'ओलाकिग्बे, माइकल', 'bn': 'ওলাকিগবে, মাইকেল'}, 'shortNameTranslation': {'ar': 'م. أولاكيجبي', 'hi': 'एम. ओलाकिग्बे', 'bn': 'এম. ওলাকিগবে'}}",5.0,5.0,,,1.0,1.0,4.0,5.0,,,,,,,,11.0,9.0,6.8,1.0,0.00528264,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,2.0,,1.0,,,,,,,,1.0,,,,,0.0173,1.0,1.0,,,,,,,,,,,
Thomas Strakosha,thomas-strakosha,T. Strakosha,G,1,191,1699,M,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Angelini,vincent-angelini,V. Angelini,G,,186,30,M,1167601,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1063324800,"{'value': 80000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينسنت أنجليني', 'hi': 'विन्सेंट एंजेलिनी', 'bn': 'ভিনসেন্ট অ্যাঞ্জেলিনি'}, 'shortNameTranslation': {'ar': 'ف. أنجليني', 'hi': 'वी. एंजेलिनी', 'bn': 'ভি. অ্যাঞ্জেলিনি'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Vincent Angelini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valintino Adedokun,val-adedokun,V. Adedokun,D,23,175,40,M,1127815,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1045180800,"{'value': 120000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فال أديديوكون', 'hi': 'वैल एडेडोकुन', 'bn': 'ভ্যাল আদেডোকুন'}, 'shortNameTranslation': {'ar': 'ف. أديديوكون', 'hi': 'वी. एडेडोकुन', 'bn': 'ভি. আদেদোকুন'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Brierley,ethan-brierley,E. Brierley,M,6,173,43,M,998841,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069545600,"{'value': 370000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان برييرلي', 'hi': 'एथन ब्रियरली', 'bn': 'ইথান ব্রিয়ারলি'}, 'shortNameTranslation': {'ar': 'إ. برييرلي', 'hi': 'ई. ब्रियरली', 'bn': 'ই. ব্রিয়ারলি'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
