name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,shotOffTarget,fouls,clearanceOffLine,keyPass,onTargetScoringAttempt,goals,goalAssist,totalOffside,firstName,lastName,ownGoals,bigChanceCreated,bigChanceMissed
Alisson,alisson,Alisson,G,1,193,66760,M,243609,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,717984000,"{'value': 18700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",35.0,30.0,8.0,4.0,28.0,31.0,2.0,4.0,,8.0,,,1.0,,90.0,41.0,6.4,5.0,0.0,0.0,0.00160768,"{'original': 6.4, 'alternative': 6.4}",0,-0.9252,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,AlissonBecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Gomez,joe-gomez,J. Gomez,D,2,188,14017,M,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",61.0,54.0,4.0,3.0,31.0,33.0,25.0,34.0,3.0,10.0,,,,,90.0,92.0,6.6,16.0,0.0,0.0,0.0627918,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,joegomez5,6.0,2.0,1.0,,6.0,3.0,3.0,1.0,1.0,,,,1.0,3.0,1.0,2.0,,,,,1.0,,,,,,,,,
Joël Matip,joel-matip,J. Matip,D,,195,3499,M,51501,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,681609600,,"{'nameTranslation': {'ar': 'جويل ماتيب', 'hi': 'जोएल माटिप', 'bn': 'জোয়েল মাতিপ'}, 'shortNameTranslation': {'ar': 'ج. ماتيب', 'hi': 'जे. माटिप', 'bn': 'জে. মাতিপ'}}",98.0,89.0,6.0,1.0,49.0,54.0,40.0,44.0,5.0,13.0,,,,,90.0,111.0,7.1,11.0,0.0,0.0,0.0232496,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,joelmatip,,,1.0,2.0,3.0,3.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10706,M,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",80.0,77.0,3.0,3.0,45.0,46.0,32.0,34.0,5.0,4.0,,,,,83.0,91.0,7.2,3.0,0.0,0.0,0.00981671,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,jarellquansah,,,2.0,2.0,3.0,5.0,1.0,,,,,,2.0,3.0,3.0,,,,,,,,,,,,,,,
Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,25243,M,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",79.0,73.0,3.0,2.0,30.0,31.0,45.0,55.0,2.0,4.0,,,,,90.0,103.0,7.9,13.0,0.4155,0.7544,0.107573,"{'original': 7.9, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,andyrobertson94,7.0,2.0,,1.0,3.0,3.0,1.0,1.0,,,,,2.0,2.0,2.0,1.0,,,1.0,,2.0,1.0,1.0,,,,,,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,66101,M,869856,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,972432000,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",99.0,82.0,11.0,4.0,24.0,30.0,58.0,72.0,2.0,7.0,,,,,90.0,118.0,7.3,23.0,0.1558,0.0572,0.0691214,"{'original': 7.3, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,DomSzobo,3.0,,1.0,1.0,5.0,5.0,2.0,1.0,1.0,,,,,2.0,2.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",46.0,40.0,1.0,1.0,21.0,22.0,19.0,24.0,,1.0,,,,,45.0,55.0,6.7,7.0,0.0,0.0,0.0138828,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Macca10,,,,1.0,4.0,5.0,2.0,1.0,,,,1.0,,3.0,1.0,,1.0,,1.0,,,,,,,,,,,
Curtis Jones,curtis-jones,C. Jones,M,17,185,17493,M,927353,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,980812800,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",76.0,72.0,,,28.0,28.0,44.0,48.0,1.0,4.0,,,,,90.0,89.0,7.0,7.0,0.0,0.0,0.0282834,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,curtisjones,,,,,4.0,5.0,1.0,1.0,4.0,2.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,
Mohamed Salah,mohamed-salah,M. Salah,M,11,175,561305,M,159665,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,708566400,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",24.0,18.0,,,5.0,5.0,14.0,20.0,,1.0,,,,,89.0,32.0,8.2,10.0,0.242,0.0,1.46906,"{'original': 8.2, 'alternative': 8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,MoSalah,1.0,1.0,,1.0,3.0,3.0,,,3.0,,,,,1.0,1.0,1.0,1.0,,,,5.0,1.0,,2.0,,,,,2.0,
Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,53434,M,862967,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,926035200,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",13.0,10.0,,,2.0,3.0,8.0,10.0,,2.0,,,,,56.0,24.0,7.3,6.0,1.0815,0.9735,0.00666777,"{'original': 7.3, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,CodyGakpo,,,2.0,,5.0,3.0,1.0,1.0,2.0,1.0,,,,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,
Diogo Jota,diogo-jota,D. Jota,F,,178,33671,M,606164,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,849657600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو جوتا', 'hi': 'डियोगो जोटा', 'bn': 'ডিওগো জোটা'}, 'shortNameTranslation': {'ar': 'د. جوتا', 'hi': 'डी. जोटा', 'bn': 'ডি. জোটা'}}",18.0,15.0,1.0,1.0,4.0,4.0,11.0,15.0,,2.0,,,,,56.0,29.0,7.0,7.0,0.1355,0.0,0.101052,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,DiogoJ18,1.0,,,,3.0,5.0,2.0,1.0,3.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
Luis Díaz,luis-diaz,L. Díaz,F,14,178,140854,M,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",33.0,25.0,3.0,2.0,3.0,4.0,22.0,29.0,,1.0,,,,,45.0,49.0,6.9,13.0,0.2577,0.0883,0.45542,"{'original': 6.9, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,LuisDíaz,,,,1.0,6.0,4.0,3.0,1.0,1.0,,1.0,,,3.0,1.0,3.0,,1.0,1.0,,2.0,1.0,,,,,,,1.0,1.0
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170,21929,M,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",30.0,24.0,3.0,1.0,8.0,8.0,16.0,22.0,,2.0,,,,,34.0,33.0,7.1,6.0,0.0894,0.0,0.143402,"{'original': 7.1, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,harvelliott,,,,1.0,,1.0,,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,
Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,74506,M,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",16.0,10.0,1.0,,,,10.0,16.0,,2.0,,,,,34.0,22.0,6.5,8.0,0.1713,0.4221,0.226696,"{'original': 6.5, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Darwin,,,,,3.0,2.0,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,1.0
Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27389,M,826215,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,927590400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",18.0,17.0,2.0,1.0,11.0,12.0,6.0,6.0,1.0,,,,,,20.0,20.0,7.1,1.0,0.0,0.0,0.0142125,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,ibrahimakonate,,,,1.0,,2.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,
Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,30819,M,904897,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1021507200,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",3.0,2.0,,,1.0,2.0,1.0,1.0,,1.0,,,,,10.0,9.0,6.5,3.0,0.0,0.0,0.000384,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,ryanjiro,,,,,3.0,2.0,1.0,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
Caoimhin Kelleher,caoimhin-kelleher,C. Kelleher,G,1,188,10299,M,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,caoimhinkelleher98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16780,M,786259,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,831859200,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس تسيميكاس', 'hi': 'कोंस्टांटिनोस सिमिक्स', 'bn': 'কনস্টান্টিনোস সিমিকাস'}, 'shortNameTranslation': {'ar': 'ك. تسيميكاس', 'hi': 'के. सिमिक्स', 'bn': 'কে. সিমিকাস'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,TK21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan Bajčetić,stefan-bajcetic,S. Bajčetić,M,43,185,9883,M,1142636,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1098403200,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفان بايتشتيتش', 'hi': 'स्टीफ़न बैजेटिक', 'bn': 'স্টেফান বাজচেটিক'}, 'shortNameTranslation': {'ar': 'س. بايتشتيتش', 'hi': 'एस. बैजेटिक', 'bn': 'এস. বাজচেটিক'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,stefanbajcetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wataru Endo,wataru-endo,W. Endo,M,3,178,19922,M,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,endowataru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
