name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,totalTackle,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,duelLost,challengeLost,totalContest,totalClearance,outfielderBlock,unsuccessfulTouch,dispossessed,wonContest,interceptionWon,wonTackle,fouls,sofascoreId,aerialWon,wasFouled,accurateCross,keyPass,shotOffTarget,hitWoodwork,expectedGoals,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,onTargetScoringAttempt,expectedGoalsOnTarget,goals,goalAssist
Adam Smith,adam-smith,A. Smith,D,15,180,465,M,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",32.0,20.0,9.0,3.0,9.0,11.0,13.0,26.0,9.0,4.0,3.0,,,,,,90.0,62.0,7.8,18.0,0.271141,"{'original': 7.8, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,5.0,3.0,6.0,,2.0,,4.0,,,1.0,,1.0,2.0,,2.0,3.0,2.0,1.0,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",44.0,28.0,17.0,4.0,20.0,26.0,8.0,18.0,3.0,5.0,1.0,,,,,,90.0,57.0,6.8,16.0,0.00423998,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,4.0,8.0,2.0,,7.0,1.0,,,,,1.0,3.0,IlliaZabarnyi,2.0,1.0,,,,,,,,,,,,
Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,4999,M,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",45.0,36.0,10.0,2.0,23.0,25.0,14.0,21.0,1.0,,,,,,,,90.0,54.0,7.5,10.0,0.0702479,"{'original': 7.5, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,5.0,,,2.0,1.0,,1.0,,2.0,,4.0,,1.0,,1.0,1.0,1.0,,0.6018,,,,1.0,0.577,1.0,
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,24997,M,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",27.0,19.0,7.0,3.0,11.0,14.0,8.0,13.0,2.0,2.0,1.0,,,,,,90.0,38.0,7.0,11.0,0.0104987,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Milos,Kerkez,,1.0,3.0,,,1.0,,1.0,,,,1.0,2.0,miloskerkez,1.0,,,,,,,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",40.0,33.0,4.0,2.0,18.0,19.0,16.0,22.0,5.0,6.0,2.0,,,,,,90.0,57.0,6.8,11.0,0.059008,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,6.0,2.0,,3.0,,2.0,2.0,,3.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",39.0,28.0,8.0,2.0,15.0,18.0,16.0,29.0,13.0,10.0,6.0,,,,,,90.0,69.0,7.6,21.0,0.270981,"{'original': 7.6, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,8.0,,5.0,2.0,5.0,,,2.0,1.0,3.0,3.0,3.0,,,1.0,3.0,3.0,3.0,,,,,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185,33799,M,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",22.0,16.0,2.0,1.0,3.0,5.0,14.0,19.0,4.0,2.0,2.0,,,,,,62.0,36.0,6.9,12.0,0.035794,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,4.0,7.0,1.0,1.0,2.0,,3.0,,,,2.0,1.0,antoinesemenyo42,1.0,1.0,1.0,1.0,,,0.1163,,,,1.0,0.1079,,
Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,7016,M,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",10.0,7.0,1.0,,,,7.0,10.0,1.0,1.0,1.0,,,,,,62.0,20.0,6.1,10.0,0.0153987,"{'original': 6.1, 'alternative': 5.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,10.0,2.0,3.0,,,1.0,3.0,,,,2.0,justinkluivert,,,,,1.0,,0.0935,,,,,,,
Luis Sinisterra,luis-sinisterra,L. Sinisterra,F,17,176,6517,M,836070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,929577600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس سينيستيرا', 'hi': 'लुइस सिनिस्टर्रा', 'bn': 'লুইস সিনিস্টেরা'}, 'shortNameTranslation': {'ar': 'ل. سينيستيرا', 'hi': 'एल. सिनिस्टर्रा', 'bn': 'এল. সিনিস্টেরা'}}",23.0,20.0,4.0,4.0,7.0,7.0,13.0,16.0,6.0,5.0,2.0,,,,,,79.0,36.0,7.7,5.0,0.0187448,"{'original': 7.7, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,4.0,1.0,1.0,,,1.0,,,,1.0,,Sinisterra29,4.0,,,2.0,2.0,,0.2578,1.0,1.0,,,,,1.0
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186,10997,M,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",12.0,8.0,,,1.0,1.0,7.0,11.0,6.0,3.0,,,,,,,88.0,30.0,6.8,12.0,0.0283713,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,8.0,,6.0,1.0,,3.0,2.0,3.0,1.0,,,Dom_Solanke,3.0,,,,,,0.2344,,1.0,,1.0,0.162,,
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1676,M,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",12.0,11.0,1.0,,6.0,6.0,6.0,7.0,,4.0,,,,,,,28.0,19.0,6.5,5.0,0.0554861,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,3.0,,2.0,,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,
Philip Billing,philip-billing,P. Billing,M,8,193,1832,M,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",9.0,7.0,,,2.0,2.0,5.0,7.0,2.0,2.0,,,,,,,28.0,14.0,7.0,5.0,0.356731,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,,1.0,,,1.0,,,,,,,2.0,,,1.0,,,,1.0,,,,,,1.0
Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,32038,M,1106451,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,1013385600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",7.0,2.0,1.0,,,2.0,2.0,5.0,1.0,,1.0,,,,,,11.0,12.0,6.4,5.0,0.0008467,"{'original': 6.4, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Dango Ouattara,,,1.0,2.0,1.0,,1.0,,,,,,,1.0,d.ouattara15,,,,,,,0.0099,,1.0,,,,,
Kieffer Moore,kieffer-moore,K. Moore,F,19,195,1406,M,298366,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,713232000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفر مور', 'hi': 'किफ़र मूर', 'bn': 'কিফার মুর'}, 'shortNameTranslation': {'ar': 'ك. مور', 'hi': 'के. मूर', 'bn': 'কে. মুর'}}",4.0,3.0,,,1.0,1.0,2.0,3.0,2.0,2.0,,,,,,,8.0,6.0,7.7,1.0,0.0147768,"{'original': 7.7, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,0.5823,,,,1.0,0.8409,1.0,
Mark Travers,mark-travers,M. Travers,G,12,191,606,M,856720,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,926985600,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك ترافيرس', 'hi': 'मार्क ट्रैवर्स', 'bn': 'মার্ক ট্র্যাভার্স'}, 'shortNameTranslation': {'ar': 'م. ترافيرس', 'hi': 'एम. ट्रैवर्स', 'bn': 'এম. ট্রাভার্স'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Mepham,chris-mepham,C. Mepham,D,2,191,392,M,865740,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,878688000,"{'value': 3300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ميفام', 'hi': 'क्रिस मेफम', 'bn': 'ক্রিস মেফাম'}, 'shortNameTranslation': {'ar': 'ك. ميفام', 'hi': 'डी. बर्टौड', 'bn': 'সি. মেফাম'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Brooks,david-brooks,D. Brooks,M,7,173,1194,M,855731,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,868320000,"{'value': 11000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافيد بروكس', 'hi': 'डेविड ब्रूक्स', 'bn': 'ডেভিড ব্রুকস'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'hi': 'डी. ब्रूक्स', 'bn': 'ডি. ব্রুকস'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavin Kilkenny,gavin-kilkenny,G. Kilkenny,M,18,175,127,M,989345,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,949363200,"{'value': 340000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جافين كيلكيني', 'hi': 'गैविन किलकेनी', 'bn': 'গ্যাভিন কিলকেনি'}, 'shortNameTranslation': {'ar': 'ج. كيلكيني', 'hi': 'जी. किलकेनी', 'bn': 'জি. কিলকেনি'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Rothwell,joe-rothwell,J. Rothwell,M,6,185,269,M,190853,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789782400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو روثويل', 'hi': 'जो रोथवेल', 'bn': 'জো রথওয়েল'}, 'shortNameTranslation': {'ar': 'ج. روثويل', 'hi': 'जे. रोथवेल', 'bn': 'জে. রথওয়েল'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
