name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,expectedGoals,firstName,lastName,totalCross,accurateCross,outfielderBlock,lastManTackle,clearanceOffLine,interceptionWon,keyPass,aerialWon,dispossessed,wonContest,totalOffside,blockedScoringAttempt,bigChanceCreated,onTargetScoringAttempt,goals,expectedGoalsOnTarget,bigChanceMissed,punches,totalKeeperSweeper,accurateKeeperSweeper,penaltyWon
Ollie Watkins,ollie-watkins,O. Watkins,F,11,179,19613,M,OllieWatkins,555386,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,820281600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",31.0,28.0,,,2.0,2.0,2.0,26.0,29.0,1.0,,,,,90.0,50.0,8.2,10.0,0.466958,"{'original': 8.2, 'alternative': 7.8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,3.0,,3.0,2.0,,,,2.0,,1.0,,0.3275,,,,,,,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,0.1562,1.0,,,,
Diego Carlos,diego-carlos,D. Carlos,D,34,185,2789,M,,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",4.0,4.0,,,0.0,3.0,3.0,1.0,1.0,,,,,,9.0,5.0,6.6,,0.00054083,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaine Kesler-Hayden,kaine-hayden,K. Kesler-Hayden,M,20,175,290,M,,1099074,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1035331200,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاين كيسلر-هايدن'}, 'shortNameTranslation': {'ar': 'ك. كيسلر-هايدن'}}",,,,,0.0,,,,,,,,,,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhon Durán,jhon-duran,J. Durán,F,10,185,30568,M,jaderduran9,974577,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1071273600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون دوران', 'hi': 'जॉन डुरान', 'bn': 'জন ডুরান'}, 'shortNameTranslation': {'ar': 'ج. دوران', 'hi': 'जे. डुरान', 'bn': 'জে. ডুরান'}}",1.0,,,,0.0,,,,1.0,,,,,,1.0,1.0,,1.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Robin Olsen,robin-olsen,R. Olsen,G,30,198,1336,M,,26025,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,631756800,"{'value': 750000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبين أولسن', 'hi': 'रॉबिन ओल्सन', 'bn': 'রবিন ওলসেন'}, 'shortNameTranslation': {'ar': 'ر. أولسن', 'hi': 'आर. ओल्सन', 'bn': 'আর. ওলসেন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,8093,M,clement_lenglet,580550,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,803347200,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كليمو لينغليه', 'hi': 'क्लेमेंट लेंग्लेट', 'bn': 'ক্লেমেন্ট লেংলেট'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'hi': 'सी. लेंग्लेट', 'bn': 'সি. লেংলেট'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calum Chambers,calum-chambers,C. Chambers,D,12,183,615,M,,227942,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,790560000,"{'value': 965000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم تشامبرز', 'hi': 'कैलम चैम्बर्स', 'bn': 'ক্যালাম চেম্বারস'}, 'shortNameTranslation': {'ar': 'ك. تشامبرز', 'hi': 'सी. चैम्बर्स', 'bn': 'সি. চেম্বারস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finley Munroe,finley-munroe,F. Munroe,D,26,181,71,M,,1186812,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1107820800,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينلي مونرو'}, 'shortNameTranslation': {'ar': 'ف. مونرو'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Iroegbunam,tim-iroegbunam,T. Iroegbunam,M,42,182,708,M,,1085950,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1056931200,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم إيروغبونام', 'hi': 'टिम इरोएगबुनम', 'bn': 'টিম ইরোগবুনাম'}, 'shortNameTranslation': {'ar': 'ت. إيروغبونام', 'hi': 'टी. इरोएगबुनम', 'bn': 'টি. ইরোগবুনাম'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Kellyman,omari-kellyman,O. Kellyman,F,8,191,3327,M,,1162083,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1127606400,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عمري كيليمان', 'hi': 'ओमारी केलीमैन', 'bn': 'ওমারি কেলিম্যান'}, 'shortNameTranslation': {'ar': 'ع. كيليمان', 'hi': 'ओ. केलीमैन', 'bn': 'ও. কেলিম্যান'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,Omari Kellyman,,,,,,,,,,,,,,,,,,,,,,
Neto,neto,Neto,G,22,190,5304,M,Neto_Murara,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",21.0,18.0,10.0,7.0,0.0,13.0,14.0,5.0,7.0,4.0,,1.0,,2.0,90.0,31.0,6.6,3.0,0.00106292,"{'original': 6.6, 'alternative': 6.2}",0,-0.7049,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,
Adam Smith,adam-smith,A. Smith,D,15,180,465,M,,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",11.0,6.0,3.0,,0.0,1.0,3.0,5.0,8.0,,,,,,45.0,18.0,6.2,8.0,0.00511797,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,3.0,1.0,,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,IlliaZabarnyi,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",46.0,42.0,4.0,2.0,0.0,32.0,34.0,10.0,12.0,5.0,,,,,90.0,58.0,6.8,4.0,0.00389443,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,4.0,1.0,,,4.0,4.0,2.0,,,,1.0,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,
Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,4999,M,,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",37.0,25.0,15.0,5.0,0.0,14.0,14.0,11.0,23.0,5.0,,,,,63.0,43.0,6.4,12.0,0.0249274,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,1.0,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191,2786,M,,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",52.0,48.0,7.0,5.0,0.0,25.0,27.0,24.0,26.0,6.0,,,,,90.0,61.0,6.8,8.0,0.0821282,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,,,,2.0,,,2.0,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",46.0,40.0,3.0,,0.0,25.0,26.0,16.0,22.0,11.0,,,,,90.0,57.0,6.8,8.0,0.0187584,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,,,,1.0,,,1.0,,,1.0,,,,2.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",28.0,26.0,5.0,5.0,0.0,14.0,15.0,13.0,15.0,4.0,,,,,76.0,47.0,7.5,8.0,0.13682,"{'original': 7.5, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,5.0,,4.0,1.0,1.0,1.0,,2.0,,1.0,,0.0311,,,2.0,1.0,1.0,,,2.0,5.0,,1.0,3.0,,,,,,,,,,,
