name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,expectedGoals,firstName,lastName,totalCross,accurateCross,outfielderBlock,lastManTackle,clearanceOffLine,interceptionWon,keyPass,aerialWon,dispossessed,wonContest,totalOffside,blockedScoringAttempt,bigChanceCreated,onTargetScoringAttempt,goals,expectedGoalsOnTarget,bigChanceMissed,punches,totalKeeperSweeper,accurateKeeperSweeper,penaltyWon
Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,32038,M,d.ouattara15,1106451,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,1013385600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",22.0,14.0,2.0,1.0,0.0,6.0,8.0,8.0,14.0,4.0,,,,,82.0,36.0,6.4,11.0,0.0201072,"{'original': 6.4, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,5.0,4.0,,2.0,1.0,3.0,2.0,2.0,1.0,,1.0,,0.2771,Dango Ouattara,,,,,,,1.0,,1.0,,,1.0,,,1.0,,0.0673,1.0,,,,
Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,7016,M,justinkluivert,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",11.0,7.0,1.0,,0.0,1.0,2.0,6.0,9.0,3.0,,,,,76.0,22.0,6.5,7.0,0.0224162,"{'original': 6.5, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,2.0,,2.0,,,,,1.0,,1.0,3.0,0.0702,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,0.1198,,,,,
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,24997,M,miloskerkez,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",29.0,24.0,3.0,1.0,0.0,9.0,11.0,15.0,22.0,2.0,,,,,90.0,49.0,6.9,14.0,0.0148077,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,2.0,0.04,Milos,Kerkez,4.0,,,,,,2.0,,,,,,,,,,,,,,1.0
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186,10997,M,Dom_Solanke,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",16.0,12.0,1.0,1.0,0.0,8.0,9.0,4.0,7.0,2.0,,,,,90.0,27.0,6.9,9.0,0.00155472,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,4.0,1.0,1.0,,1.0,,,2.0,,2.0,1.0,0.8484,,,,,,,,,,2.0,2.0,,1.0,1.0,,1.0,1.0,0.9945,,,,,
Max Aarons,max-aarons,M. Aarons,D,3,178,1292,M,,943645,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,946944000,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس آرونز', 'hi': 'मैक्स आरोन्स', 'bn': 'ম্যাক্স অ্যারোনস'}, 'shortNameTranslation': {'ar': 'م. آرونز', 'hi': 'एम. आरोन्स', 'bn': 'এম. অ্যারোনস'}}",22.0,18.0,2.0,,0.0,10.0,12.0,8.0,10.0,1.0,,,,,45.0,30.0,6.4,4.0,0.00441117,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185,33799,M,antoinesemenyo42,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",6.0,5.0,,,0.0,1.0,1.0,4.0,6.0,2.0,,,,,27.0,16.0,6.8,5.0,0.00087582,"{'original': 6.8, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,4.0,2.0,2.0,1.0,1.0,2.0,,,2.0,,,2.0,0.1176,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,0.037,,,,,
Alex Scott,alex-scott,A. Scott,M,8,178,2151,M,,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",12.0,12.0,,,0.0,3.0,3.0,10.0,10.0,2.0,,,,,14.0,20.0,7.2,1.0,0.110246,"{'original': 7.2, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,3.0,,3.0,1.0,,1.0,1.0,,,,,0.0389,Alex Scott,,1.0,1.0,,,,,1.0,,,2.0,,1.0,1.0,,,,,,,,
Philip Billing,philip-billing,P. Billing,M,8,193,1832,M,,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",9.0,8.0,2.0,1.0,0.0,2.0,2.0,6.0,8.0,2.0,,,,,14.0,10.0,6.5,2.0,0.00283943,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
Enes Ünal,enes-unal,E. Ünal,F,26,185,3670,M,EnesUnal16,336655,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,863222400,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إينيس أونال', 'hi': 'एनेस उनाल', 'bn': 'এনেস উনাল'}, 'shortNameTranslation': {'ar': 'إ. أونال', 'hi': 'ई. उनाल', 'bn': 'ই. উনাল'}}",,,,,0.0,,,,,,,,,,8.0,2.0,5.7,,,"{'original': 5.7, 'alternative': 5.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,,,,,,,,,,,,0.3444,,,,,,,,,,,,,1.0,,,2.0,,0.3511,2.0,,,,
Callan McKenna,callan-mckenna,C. McKenna,G,46,192,89,M,,1214988,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1136073600,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالان مكينا'}, 'shortNameTranslation': {'ar': 'ك. مكينا'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,Callan McKenna,,,,,,,,,,,,,,,,,,,,,,
Mark Travers,mark-travers,M. Travers,G,12,191,606,M,,856720,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,926985600,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك ترافيرس', 'hi': 'मार्क ट्रैवर्स', 'bn': 'মার্ক ট্র্যাভার্স'}, 'shortNameTranslation': {'ar': 'م. ترافيرس', 'hi': 'एम. ट्रैवर्स', 'bn': 'এম. ট্রাভার্স'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Hill,james-hill,J. Hill,D,23,184,378,M,,1156586,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1010620800,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس هيل', 'hi': 'जेम्स हिल', 'bn': 'জেমস হিল'}, 'shortNameTranslation': {'ar': 'ج. هيل', 'hi': 'जे. हिल', 'bn': 'জে. হিল'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Dacosta Gonzalez,michael-dacosta-gonzalez,M. D. Gonzalez,F,24,186,135,M,,1463438,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1109980800,,"{'nameTranslation': {'ar': 'مايكل داكوستا غونزاليس', 'hi': 'माइकल डैकोस्टा गोंजालेज', 'bn': 'মাইকেল ডাকোস্টা গঞ্জালেজ'}, 'shortNameTranslation': {'ar': 'م. د. غونزاليس', 'hi': 'एम.डी. गोंजालेज', 'bn': 'এম. ডি. গঞ্জালেজ'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,Michael Dacosta Gonzalez,,,,,,,,,,,,,,,,,,,,,,
