name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,dispossessed,bigChanceMissed,shotOffTarget,expectedGoals,blockedScoringAttempt,firstName,errorLeadToAShot,bigChanceCreated,onTargetScoringAttempt,hitWoodwork,expectedGoalsOnTarget,lastName,goalAssist,goals,punches,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,lastManTackle,totalOffside
Neto,neto,Neto,G,22,190.0,5304,M,Neto_Murara,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",29.0,15.0,18.0,4.0,12.0,15.0,3.0,14.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,90.0,38.0,7.1,15.0,0.00069313,"{'original': 7.1, 'alternative': 7.4}",0,0.2733,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,adam-smith,A. Smith,D,15,180.0,465,M,,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",43.0,36.0,4.0,,23.0,26.0,15.0,21.0,3.0,1.0,,6.0,,,,89.0,64.0,6.7,13.0,0.136628,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175.0,837,M,,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",60.0,47.0,5.0,1.0,30.0,37.0,18.0,29.0,5.0,1.0,1.0,8.0,,,,90.0,76.0,7.0,20.0,0.0415245,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,3.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189.0,16673,M,IlliaZabarnyi,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",62.0,53.0,13.0,5.0,34.0,36.0,19.0,26.0,6.0,,,3.0,,,,90.0,76.0,7.0,11.0,0.00718304,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,3.0,4.0,1.0,5.0,1.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191.0,2786,M,,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",59.0,47.0,11.0,4.0,26.0,29.0,21.0,32.0,7.0,,,10.0,,,,90.0,89.0,7.2,22.0,0.00835925,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,2.0,3.0,,7.0,1.0,2.0,2.0,5.0,3.0,2.0,,1.0,1.0,1.0,0.1414,,,,,,,,,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178.0,1202,M,,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",42.0,37.0,6.0,5.0,14.0,14.0,23.0,28.0,4.0,,,9.0,,,,90.0,58.0,7.3,8.0,0.029629,"{'original': 7.3, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,4.0,,1.0,3.0,2.0,1.0,2.0,2.0,1.0,,1.0,,,0.025,1.0,,,,,,,,,,,,,,,
Alex Scott,alex-scott,A. Scott,M,8,178.0,2151,M,,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",35.0,29.0,1.0,,18.0,19.0,11.0,16.0,4.0,3.0,1.0,2.0,,,,45.0,45.0,6.3,10.0,0.0172036,"{'original': 6.3, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,5.0,2.0,,,1.0,,1.0,2.0,,1.0,1.0,,,,,Alex Scott,1.0,,,,,,,,,,,,,
Philip Billing,philip-billing,P. Billing,M,8,193.0,1832,M,,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",21.0,16.0,,,4.0,5.0,13.0,19.0,5.0,2.0,1.0,2.0,,,,64.0,42.0,7.6,10.0,0.117455,"{'original': 7.6, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,1.0,2.0,5.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,0.3052,1.0,,,1.0,2.0,1.0,0.3204,,,,,,,,,
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178.0,1676,M,,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",28.0,24.0,2.0,1.0,5.0,7.0,19.0,25.0,3.0,8.0,3.0,4.0,,,,90.0,56.0,6.3,21.0,0.0156461,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,1.0,,10.0,1.0,1.0,1.0,,,6.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186.0,10997,M,Dom_Solanke,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",12.0,8.0,,,2.0,2.0,6.0,11.0,5.0,1.0,1.0,2.0,,,,89.0,24.0,6.9,9.0,0.0174032,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,2.0,6.0,,,,1.0,1.0,3.0,1.0,2.0,,1.0,,1.0,0.1025,,,,,,,,,,,,,,,,
Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177.0,32038,M,d.ouattara15,1106451,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,1013385600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",19.0,12.0,4.0,2.0,7.0,8.0,5.0,12.0,2.0,2.0,,,,,,63.0,32.0,6.4,14.0,0.00755956,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,2.0,5.0,,2.0,1.0,,,1.0,,,1.0,3.0,,,,,Dango Ouattara,,,,,,,,,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185.0,33799,M,antoinesemenyo42,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",13.0,9.0,,,3.0,5.0,6.0,8.0,8.0,8.0,5.0,1.0,,,,45.0,32.0,7.0,11.0,0.0585209,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,2.0,9.0,1.0,1.0,,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,,0.1105,,,,1.0,1.0,,0.1507,,1.0,,,,,,,
