minute,value
1.0,-3
2.0,-35
3.0,-24
4.0,-14
5.0,9
6.0,11
7.0,28
8.0,39
9.0,22
10.0,12
11.0,6
12.0,19
13.0,14
14.0,7
15.0,4
16.0,15
17.0,-13
18.0,-7
19.0,-15
20.0,-1
21.0,-4
22.0,-5
23.0,69
24.0,38
25.0,26
26.0,-47
27.0,-18
28.0,-2
29.0,1
30.0,6
31.0,12
32.0,12
33.0,11
34.0,-21
35.0,-6
36.0,17
37.0,61
38.0,100
39.0,84
40.0,42
41.0,22
42.0,11
43.0,5
44.0,49
45.0,26
45.5,7
46.0,8
47.0,-12
48.0,-21
49.0,-17
50.0,-39
51.0,-46
52.0,-10
53.0,6
54.0,-3
55.0,1
56.0,-3
57.0,-4
58.0,-10
59.0,-13
60.0,16
61.0,14
62.0,17
63.0,33
64.0,17
65.0,8
66.0,-14
67.0,45
68.0,20
69.0,10
70.0,4
71.0,-27
72.0,-20
73.0,-14
74.0,-9
75.0,-11
76.0,-10
77.0,-23
78.0,-11
79.0,-4
80.0,25
81.0,21
82.0,16
83.0,73
84.0,52
85.0,100
86.0,71
87.0,55
88.0,7
89.0,10
90.0,5
90.5,-44
