minute,value
1.0,7
2.0,1
3.0,11
4.0,14
5.0,39
6.0,66
7.0,40
8.0,24
9.0,46
10.0,25
11.0,26
12.0,-77
13.0,-24
14.0,-8
15.0,-1
16.0,5
17.0,17
18.0,30
19.0,14
20.0,8
21.0,-37
22.0,-41
23.0,61
24.0,34
25.0,1
26.0,3
27.0,-94
28.0,-100
29.0,-70
30.0,-18
31.0,-8
32.0,6
33.0,38
34.0,26
35.0,-52
36.0,-31
37.0,-34
38.0,-43
39.0,-32
40.0,-32
41.0,-2
42.0,20
43.0,17
44.0,-22
45.0,-27
45.5,-16
46.0,7
47.0,-24
48.0,-34
49.0,-35
50.0,-23
51.0,-48
52.0,-52
53.0,-31
54.0,-22
55.0,-6
56.0,-22
57.0,-13
58.0,-91
59.0,-57
60.0,-45
61.0,-28
62.0,-20
63.0,-26
64.0,-23
65.0,-44
66.0,-65
67.0,-42
68.0,-35
69.0,-59
70.0,-36
71.0,-22
72.0,-28
73.0,-14
74.0,-5
75.0,-38
76.0,-26
77.0,-19
78.0,-15
79.0,-19
80.0,-13
81.0,-11
82.0,-6
83.0,13
84.0,-15
85.0,10
86.0,6
87.0,23
88.0,-15
89.0,3
90.0,5
90.5,-40
