name,firstName,lastName,slug,shortName,position,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,jerseyNumber,sofascoreId
Tim Iroegbunam,,,tim-iroegbunam,T. Iroegbunam,M,708,M,1085950,"{'nameTranslation': {'ar': 'تيم إيروغبونام', 'hi': 'टिम इरोएगबुनम', 'bn': 'টিম ইরোগবুনাম'}, 'shortNameTranslation': {'ar': 'ت. إيروغبونام', 'hi': 'टी. इरोएगबुनम', 'bn': 'টি. ইরোগবুনাম'}}",36.983333333333,42.311111111111,18,away,42,
Omari Kellyman,Omari Kellyman,,omari-kellyman,O. Kellyman,F,3327,M,1162083,"{'nameTranslation': {'ar': 'عمري كيليمان', 'hi': 'ओमारी केलीमैन', 'bn': 'ওমারি কেলিম্যান'}, 'shortNameTranslation': {'ar': 'ع. كيليمان', 'hi': 'ओ. केलीमैन', 'bn': 'ও. কেলিম্যান'}}",50.088888888889,51.877777777778,9,away,8,
Ollie Watkins,,,ollie-watkins,O. Watkins,F,19613,M,555386,"{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",65.1,58.216,25,away,11,OllieWatkins
John McGinn,,,john-mcginn,J. McGinn,M,3796,M,250223,"{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",47.020588235294,72.952941176471,34,away,7,
Finley Munroe,,,finley-munroe,F. Munroe,D,71,M,1186812,"{'nameTranslation': {'ar': 'فينلي مونرو'}, 'shortNameTranslation': {'ar': 'ف. مونرو'}}",27.94,92.98,5,away,26,
Moussa Diaby,,,diaby-moussa,M. Diaby,M,7519,M,855817,"{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",58.98125,23.109375,32,away,19,moussadiaby
Jhon Durán,,,jhon-duran,J. Durán,F,30568,M,974577,"{'nameTranslation': {'ar': 'جون دوران', 'hi': 'जॉन डुरान', 'bn': 'জন ডুরান'}, 'shortNameTranslation': {'ar': 'ج. دوران', 'hi': 'जे. डुरान', 'bn': 'জে. ডুরান'}}",63.007692307692,40.430769230769,39,away,10,jaderduran9
Calum Chambers,,,calum-chambers,C. Chambers,D,615,M,227942,"{'nameTranslation': {'ar': 'كالوم تشامبرز', 'hi': 'कैलम चैम्बर्स', 'bn': 'ক্যালাম চেম্বারস'}, 'shortNameTranslation': {'ar': 'ك. تشامبرز', 'hi': 'सी. चैम्बर्स', 'bn': 'সি. চেম্বারস'}}",38.4484375,34.5734375,64,away,12,
Lucas Digne,,,lucas-digne,L. Digne,D,4445,M,96538,"{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",38.52602739726,80.438356164384,73,away,12,LDigne
Robin Olsen,,,robin-olsen,R. Olsen,G,1336,M,26025,"{'nameTranslation': {'ar': 'روبين أولسن', 'hi': 'रॉबिन ओल्सन', 'bn': 'রবিন ওলসেন'}, 'shortNameTranslation': {'ar': 'ر. أولسن', 'hi': 'आर. ओल्सन', 'bn': 'আর. ওলসেন'}}",8.20125,46.69125,80,away,30,
Diego Carlos,,,diego-carlos,D. Carlos,D,2789,M,604232,"{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",27.134090909091,33.531818181818,88,away,34,
Clément Lenglet,,,clement-lenglet,C. Lenglet,D,8093,M,580550,"{'nameTranslation': {'ar': 'كليمو لينغليه', 'hi': 'क्लेमेंट लेंग्लेट', 'bn': 'ক্লেমেন্ট লেংলেট'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'hi': 'सी. लेंग्लेट', 'bn': 'সি. লেংলেট'}}",26.15243902439,70.087804878049,82,away,15,clement_lenglet
Douglas Luiz,,,douglas-luiz,D. Luiz,M,11414,M,867887,"{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",41.056,56.745333333333,75,away,12,Douglas_Luiz
Ezri Konsa,,,ezri-konsa,E. Konsa,D,3125,M,827679,"{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",38.9,12.089156626506,83,away,4,
