name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalContest,wonContest,totalTackle,duelLost,wonTackle,fouls,aerialLost,interceptionWon,keyPass,totalCross,challengeLost,dispossessed,bigChanceCreated,unsuccessfulTouch,totalOffside,accurateCross,blockedScoringAttempt,expectedGoals,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,wasFouled,expectedGoalsOnTarget,goals,goodHighClaim,outfielderBlock
Dean Henderson,,,dean-henderson,D. Henderson,G,1,188.0,5014,M,deanhenderson,788134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858124800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",10.0,8.0,4.0,2.0,0.0,7.0,7.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,90.0,18.0,7.4,3.0,0.00024292,"{'original': 7.4, 'alternative': 7.5}",0,1.2371,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,175.0,674,M,,43215,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,670809600,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",43.0,43.0,2.0,2.0,0.0,25.0,25.0,18.0,18.0,,3.0,2.0,2.0,,,,90.0,48.0,7.2,,0.00775277,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Joachim Andersen,,,joachim-andersen,J. Andersen,D,5,190.0,2408,M,,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",86.0,72.0,15.0,5.0,0.0,48.0,52.0,24.0,34.0,2.0,3.0,5.0,8.0,,,,87.0,93.0,6.8,14.0,0.0138255,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Chris Richards,,,chris-richards,C. Richards,D,26,188.0,2004,M,,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",62.0,58.0,3.0,2.0,0.0,36.0,36.0,22.0,26.0,,1.0,1.0,3.0,,,,90.0,67.0,7.2,5.0,0.00597235,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,2.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
Daniel Muñoz,,,daniel-munoz,D. Muñoz,M,2,183.0,11977,M,daniel.chitiva,870360,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833068800,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",46.0,44.0,1.0,,1.0,12.0,12.0,32.0,35.0,1.0,3.0,,6.0,,,,90.0,58.0,7.8,6.0,0.381459,"{'original': 7.8, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,8.0,2.0,2.0,2.0,,5.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
Adam Wharton,,,adam-wharton,A. Wharton,M,20,182.0,5314,M,,1109771,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1076025600,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",68.0,61.0,5.0,3.0,0.0,18.0,19.0,43.0,49.0,,3.0,,3.0,,,,87.0,76.0,7.1,9.0,0.0613699,"{'original': 7.1, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,3.0,2.0,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,
Marc Guéhi,,,marc-guehi,M. Guéhi,D,6,182.0,7807,M,MarcGuehi13,877994,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,963446400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",44.0,42.0,2.0,1.0,0.0,17.0,17.0,25.0,27.0,,1.0,1.0,4.0,,,,76.0,48.0,6.9,2.0,0.0424478,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,1.0,3.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,
Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174.0,1365,M,,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",38.0,30.0,2.0,1.0,0.0,9.0,10.0,23.0,32.0,2.0,6.0,1.0,5.0,,,,90.0,59.0,7.4,13.0,0.0841831,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,1.0,2.0,,,1.0,1.0,4.0,1.0,,,2.0,,2.0,1.0,0.0463,,,,,,,,
Michael Olise,,,michael-olise,M. Olise,M,17,185.0,65968,M,MOlise,978838,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1008115200,"{'value': 125000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أوليس', 'hi': 'माइकल ओलिस', 'bn': 'মাইকেল ওলিস'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'hi': 'एम. ओलिस', 'bn': 'এম. ওলিস'}}",56.0,47.0,3.0,2.0,1.0,10.0,11.0,37.0,49.0,1.0,5.0,,3.0,,,,90.0,89.0,7.6,23.0,0.387649,"{'original': 7.6, 'alternative': 7.3}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,1.0,,8.0,,3.0,,,1.0,4.0,,1.0,1.0,2.0,,,1.0,0.6436,1.0,3.0,2.0,3.0,0.5977,,,
Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178.0,55112,M,eze,864921,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899078400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",37.0,33.0,,,1.0,9.0,9.0,24.0,29.0,,7.0,,8.0,,,,88.0,64.0,10.0,11.0,0.140256,"{'original': 10, 'alternative': 9.7}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,4.0,5.0,3.0,1.0,1.0,,1.0,1.0,,2.0,1.0,3.0,1.0,,1.0,0.2827,,,4.0,2.0,0.7814,2.0,,
