name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,totalClearance,totalTackle,wonTackle,penaltyConceded,fouls,aerialWon,shotOffTarget,interceptionWon,totalOffside,expectedGoals,outfielderBlock,wasFouled,accurateCross,wonContest,keyPass,dispossessed,blockedScoringAttempt,sofascoreId,totalKeeperSweeper,accurateKeeperSweeper,onTargetScoringAttempt,expectedGoalsOnTarget,goalAssist,bigChanceCreated,goals,penaltyWon
David Raya,,,david-raya,D. Raya,G,1,183,25247,M,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",28.0,23.0,11.0,6.0,19.0,19.0,4.0,9.0,8.0,,,,,90.0,35.0,7.1,5.0,0.00109001,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,1.0,,,,,,,,,,,,,,,,,d_raya1,1.0,1.0,,,,,,
Ben White,,,benjamin-white,B. White,D,4,186,13312,M,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",39.0,37.0,1.0,,21.0,21.0,16.0,18.0,5.0,1.0,,,,69.0,52.0,7.0,4.0,0.0181649,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,3.0,3.0,1.0,,1.0,2.0,2.0,,1.0,,,2.0,,,,1.0,,,,,,benwhite,,,,,,,,
William Saliba,,,william-saliba,W. Saliba,D,2,193,43547,M,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",90.0,81.0,4.0,2.0,58.0,63.0,23.0,28.0,4.0,,,,,90.0,94.0,6.9,10.0,0.00615939,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,1.0,3.0,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,WSaliba4,,,,,,,,
Gabriel Magalhães,,,gabriel-magalhaes,Gabriel,D,6,190,45357,M,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",90.0,85.0,6.0,3.0,73.0,75.0,12.0,15.0,6.0,,,,,90.0,102.0,7.7,5.0,0.0140418,"{'original': 7.7, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,3.0,5.0,1.0,,1.0,2.0,2.0,,1.0,2.0,,1.0,,0.0168,2.0,2.0,,,,,,GabrielMagalhães,,,1.0,0.4745,,,,
Jakub Kiwior,,,kiwior-jakub,J. Kiwior,D,4,189,15251,M,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",53.0,45.0,1.0,1.0,28.0,31.0,17.0,22.0,1.0,,,,,90.0,66.0,7.5,9.0,0.00729518,"{'original': 7.5, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,4.0,,,1.0,2.0,1.0,,2.0,2.0,,1.0,,,,,,,1.0,,,j_kiwior,,,,,1.0,1.0,,
Martin Ødegaard,,,martin-odegaard,M. Ødegaard,M,8,178,81763,M,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",72.0,61.0,3.0,2.0,22.0,24.0,40.0,49.0,4.0,4.0,,,,90.0,89.0,8.9,17.0,0.745694,"{'original': 8.9, 'alternative': 8.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,,4.0,4.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,0.1774,,1.0,1.0,1.0,3.0,2.0,,Ødegaard,,,2.0,0.5958,1.0,,1.0,
Declan Rice,,,declan-rice,D. Rice,M,41,188,60954,M,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",56.0,50.0,6.0,3.0,23.0,26.0,27.0,30.0,2.0,1.0,,,,79.0,64.0,6.9,8.0,0.0102226,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,3.0,3.0,,,2.0,1.0,1.0,,,2.0,,,,0.014,1.0,,,,,1.0,1.0,DeclanRice,,,,,,,,
Kai Havertz,,,kai-havertz,K. Havertz,F,29,193,71176,M,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",30.0,22.0,,,11.0,12.0,11.0,18.0,4.0,2.0,,,,84.0,49.0,7.8,12.0,0.0533688,"{'original': 7.8, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,6.0,12.0,1.0,1.0,2.0,1.0,1.0,,1.0,8.0,,,,0.6365,,2.0,,1.0,1.0,2.0,1.0,KaiHav,,,1.0,0.0759,,,1.0,
Bukayo Saka,,,bukayo-saka,B. Saka,F,7,178,187094,M,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",31.0,24.0,2.0,1.0,8.0,9.0,16.0,25.0,4.0,2.0,,,,69.0,48.0,8.4,14.0,0.237112,"{'original': 8.4, 'alternative': 8.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,6.0,3.0,2.0,2.0,1.0,2.0,2.0,,2.0,,,,,0.9078,,,,1.0,,,1.0,BSaka7,,,2.0,1.2268,,,2.0,
Leandro Trossard,,,leandro-trossard,L. Trossard,F,19,172,31309,M,135666,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,786499200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لياندرو تروسارد', 'hi': 'लिएंड्रो ट्रोसार्ड', 'bn': 'লিয়েন্দ্রো ট্রসার্ড'}, 'shortNameTranslation': {'ar': 'ل. تروسارد', 'hi': 'एल. ट्रोसार्ड', 'bn': 'এল. ট্রসার্ড'}}",14.0,7.0,3.0,1.0,5.0,7.0,2.0,7.0,2.0,3.0,,,,69.0,28.0,7.8,11.0,0.0012336,"{'original': 7.8, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,3.0,,,2.0,1.0,1.0,,,1.0,2.0,,1.0,0.3065,,1.0,,,,1.0,,leandrotrossard,,,1.0,0.1436,,,1.0,1.0
Gabriel Martinelli,,,gabriel-martinelli,G. Martinelli,F,11,180,71135,M,922573,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,992822400,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}",28.0,22.0,1.0,1.0,6.0,7.0,16.0,23.0,6.0,3.0,,,,90.0,52.0,6.6,19.0,0.173461,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,12.0,5.0,2.0,7.0,,,,,1.0,2.0,,,,0.0215,,2.0,,2.0,2.0,3.0,1.0,GabiMartinelli,,,,,,,,
Reiss Nelson,,,reiss-nelson,R. Nelson,M,11,175,4985,M,826139,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944784000,"{'value': 15400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس نيلسون', 'hi': 'रीस नेल्सन', 'bn': 'রেইস নেলসন'}, 'shortNameTranslation': {'ar': 'ر. نيلسون', 'hi': 'आर. नेल्सन', 'bn': 'আর. নেলসন'}}",13.0,13.0,,,2.0,2.0,11.0,13.0,2.0,2.0,,,,21.0,22.0,6.8,6.0,0.0399651,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,1.0,2.0,,,,2.0,,,,,,,,,,,,,1.0,1.0,,reissnelson,,,,,,,,
Cédric Soares,,,cedric-soares,C. Soares,M,6,172,2753,M,44760,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,683596800,"{'value': 740000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيدريك سواريس', 'hi': 'सेड्रिक सोरेस', 'bn': 'সেড্রিক সোয়ারেস'}, 'shortNameTranslation': {'ar': 'س. سواريس', 'hi': 'सी. सोरेस', 'bn': 'সি. সোয়ারেস'}}",17.0,15.0,2.0,2.0,8.0,8.0,7.0,10.0,1.0,,,,,21.0,23.0,6.7,3.0,0.00933479,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Edward Nketiah,,,edward-nketiah,E. Nketiah,F,9,175,6808,M,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",9.0,6.0,,,,,6.0,9.0,1.0,1.0,,,,21.0,14.0,6.7,5.0,0.0185227,"{'original': 6.7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,2.0,1.0,1.0,,,,,,2.0,2.0,,,0.2322,,,,,,,,EN9,,,,,,,,
Jorginho,,,jorginho,Jorginho,M,21,180,32651,M,132874,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,693187200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}, 'shortNameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}}",28.0,26.0,4.0,4.0,15.0,16.0,11.0,12.0,1.0,1.0,,,,11.0,31.0,6.9,3.0,0.0154162,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,1.0,,,,,,,,,,jorginhofrello,,,,,,,,
Emile Smith Rowe,,,emile-smith-rowe,E. Smith Rowe,M,32,182,7637,M,867445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964742400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيميل سميث رو', 'hi': 'एमिल स्मिथ रोवे', 'bn': 'এমিল স্মিথ রো'}, 'shortNameTranslation': {'ar': 'إ. سميث رو', 'hi': 'ई. स्मिथ', 'bn': 'ই. স্মিথ রো'}}",5.0,5.0,,,1.0,1.0,4.0,4.0,,1.0,,,,16.0,10.0,6.6,1.0,0.0274267,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,,,,,,,,,,,,0.047,,1.0,,,,,1.0,esr,,,,,,,,
Aaron Ramsdale,,,aaron-ramsdale,A. Ramsdale,G,32,191,8776,M,839410,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,895104000,"{'value': 12600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسديل', 'hi': 'आरोन रामस्डेल', 'bn': 'অ্যারন রামসডেল'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'hi': 'ए. रामस्डेल', 'bn': 'এ. রামসডেল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,ARamsdale,,,,,,,,
James Sweet,James Sweet,,james-sweet,J. Sweet,D,12,180,147,M,1138140,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,1067817600,"{'value': 245000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس سويت'}, 'shortNameTranslation': {'ar': 'ج. سويت'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauro Bandeira,Mauro Bandeira,,mauro-bandeira,M. Bandeira,M,,178,119,M,1089546,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,1069113600,"{'value': 54000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماورو بانديرا', 'hi': 'माउरो बांडेरा', 'bn': 'মাউরো বান্দেইরা'}, 'shortNameTranslation': {'ar': 'م. بانديرا', 'hi': 'एम. बांडेरा', 'bn': 'এম. বান্দেইরা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Elneny,,,mohamed-elneny,M. Elneny,M,17,180,18954,M,159675,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,710812800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد النني', 'hi': 'मोहम्मद एल्नेनी', 'bn': 'মোহাম্মদ এলনেনি'}, 'shortNameTranslation': {'ar': 'م. النني', 'hi': 'एम. एल्नेनी', 'bn': 'এম. এলনেনি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,elnennym,,,,,,,,
