name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalContest,wonContest,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,challengeLost,interceptionWon,unsuccessfulTouch,wasFouled,fouls,outfielderBlock,totalTackle,wonTackle,aerialLost,shotOffTarget,keyPass,sofascoreId,totalOffside,totalCross,accurateCross,dispossessed,goalAssist,onTargetScoringAttempt,blockedScoringAttempt,firstName,lastName,goals,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated
Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4205,M,994363,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1029628800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بارت فيربروغين', 'hi': 'बार्ट वर्ब्रुगेन', 'bn': 'বার্ট ভারব্রুগেন'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'hi': 'बी. वर्ब्रुगेन', 'bn': 'বি. ভারব্রুগেন'}}",57.0,50.0,16.0,10.0,48.0,50.0,2.0,7.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,90.0,66.0,7.2,7.0,0.0,0.0,0.0003516,"{'original': 7.2, 'alternative': 6.9}",0,-0.5951,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joël Veltman,joel-veltman,J. Veltman,D,34,184,1159,M,219572,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,695433600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل فيلتمان', 'hi': 'जोएल वेल्टमैन', 'bn': 'জোয়েল ভেল্টম্যান'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'hi': 'जे. वेल्टमैन', 'bn': 'জে. ভেল্টম্যান'}}",41.0,37.0,3.0,3.0,18.0,21.0,19.0,20.0,,2.0,,,1.0,2.0,,,,,90.0,51.0,6.5,6.0,0.0,0.0,0.0176049,"{'original': 6.5, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189,2983,M,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",87.0,83.0,1.0,,60.0,63.0,23.0,24.0,2.0,4.0,,,2.0,4.0,,,,,90.0,97.0,7.2,4.0,0.0,0.0,0.00772646,"{'original': 7.2, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1872,M,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",84.0,77.0,10.0,6.0,52.0,55.0,25.0,29.0,2.0,2.0,,,3.0,5.0,,,,,90.0,91.0,7.0,8.0,0.0127,0.0,0.0159623,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,3.0,1.0,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
Pervis Estupiñán,pervis-estupinan,P. Estupiñán,D,2,175,14340,M,805465,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,885340800,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرفيس إستوبينيان', 'hi': 'परविस एस्टुपिनान', 'bn': 'পারভিস এস্তুপিনান'}, 'shortNameTranslation': {'ar': 'ب. إستوبينيان', 'hi': 'पी. एस्टुपिनान', 'bn': 'পি. এস্তুপিনান'}}",34.0,27.0,1.0,,12.0,15.0,15.0,19.0,2.0,3.0,1.0,,3.0,9.0,,,,,90.0,59.0,7.1,10.0,0.0225,0.0,0.0442966,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,3.0,1.0,,1.0,,1.0,,,1.0,2.0,pervisestupinan,1.0,,,,,,,,,,,,,
Pascal Groß,pascal-gross,P. Groß,M,13,181,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",54.0,46.0,5.0,1.0,26.0,28.0,23.0,30.0,,6.0,3.0,2.0,,4.0,,,,,89.0,77.0,7.2,16.0,0.0,0.0,0.185285,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,,2.0,2.0,1.0,1.0,,3.0,,1.0,,2.0,pascalgross65,,4.0,3.0,3.0,,,,,,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",65.0,57.0,6.0,2.0,30.0,31.0,27.0,34.0,,1.0,,,,4.0,,,,,77.0,72.0,7.1,10.0,0.0196,0.1018,0.172722,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,4.0,,1.0,1.0,,,,,,,2.0,billygilmour,,,,,1.0,1.0,,,,,,,,
Solly March,solly-march,S. March,M,7,180,1260,M,301288,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,774662400,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سولي مارتش', 'hi': 'सोली मार्च', 'bn': 'সলি মার্চ'}, 'shortNameTranslation': {'ar': 'س. مارتش', 'hi': 'एस. मार्च', 'bn': 'এস. মার্চ'}}",27.0,23.0,1.0,1.0,5.0,5.0,21.0,26.0,2.0,6.0,3.0,1.0,,4.0,,,,,81.0,48.0,7.1,11.0,0.0254,0.0,0.136955,"{'original': 7.1, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,9.0,1.0,2.0,2.0,2.0,3.0,,1.0,1.0,1.0,1.0,,,2.0,4.0,3.0,2.0,,,,,,,,,,
João Pedro,joao-pedro,J. Pedro,F,20,182,86665,M,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",19.0,16.0,,,7.0,8.0,9.0,11.0,2.0,7.0,1.0,1.0,1.0,3.0,,,,,77.0,39.0,7.3,10.0,0.2174,0.0,0.00892237,"{'original': 7.3, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,2.0,3.0,4.0,1.0,,,,,2.0,2.0,joaopedro,,,,3.0,,,,,,,,,,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",20.0,17.0,,,2.0,2.0,15.0,19.0,,3.0,7.0,2.0,,6.0,,,,,90.0,38.0,6.7,9.0,0.1762,0.2081,0.170171,"{'original': 6.7, 'alternative': 6.4}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,9.0,2.0,,,1.0,1.0,,,,1.0,,3.0,KaoruM,2.0,1.0,,,1.0,1.0,3.0,,,,,,,
