name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,blockedScoringAttempt,totalClearance,totalTackle,unsuccessfulTouch,aerialWon,wonContest,shotOffTarget,wonTackle,wasFouled,sofascoreId,fouls,dispossessed,outfielderBlock,interceptionWon,onTargetScoringAttempt,keyPass,accurateCross,totalOffside,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper
Sam Johnstone,sam-johnstone,S. Johnstone,G,31,193,643,M,98427,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,733017600,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",26.0,16.0,17.0,7.0,12.0,15.0,4.0,11.0,6.0,4.0,5.0,90.0,38.0,8.2,11.0,0.0,0.0,0.00052181,"{'original': 8.2, 'alternative': 8.5}",0,0.5131,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,joel-ward,J. Ward,D,,188,256,M,39183,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,625622400,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",56.0,47.0,10.0,5.0,28.0,29.0,19.0,28.0,4.0,,,90.0,72.0,6.7,15.0,0.0331,0.0,0.0103786,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2408,M,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",71.0,60.0,12.0,6.0,44.0,44.0,16.0,27.0,2.0,,,90.0,81.0,7.4,11.0,0.055,0.0,0.00802672,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,6.0,,1.0,,4.0,1.0,,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
Marc Guéhi,marc-guehi,M. Guéhi,D,6,182,7807,M,877994,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,963446400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",64.0,58.0,9.0,5.0,43.0,45.0,15.0,19.0,7.0,,,90.0,73.0,7.3,6.0,0.0,0.0,0.0628508,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,2.0,6.0,,1.0,,6.0,1.0,,3.0,1.0,,1.0,1.0,MarcGuehi13,1.0,,,,,,,,,,
Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",37.0,25.0,5.0,1.0,13.0,17.0,12.0,21.0,7.0,,,90.0,61.0,6.9,17.0,0.0,0.0,0.00708893,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,4.0,1.0,,1.0,,5.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,
Cheick Doucouré,cheick-doucoure,C. Doucouré,M,28,181,1459,M,906047,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,947289600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخ دوكوري', 'hi': 'चेक डौकोरे', 'bn': 'ডউকোরে'}, 'shortNameTranslation': {'ar': 'ش. دوكوري', 'hi': 'सी. डौकोरे', 'bn': 'সি. ডউকোরে'}}",50.0,43.0,1.0,,24.0,26.0,19.0,24.0,5.0,,,90.0,59.0,6.9,8.0,0.0,0.0,0.013773,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,4.0,3.0,,3.0,,2.0,1.0,,,2.0,,1.0,,,1.0,,,2.0,,,,,,,
Will Hughes,will-hughes,W. Hughes,M,19,185,1013,M,193554,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,798076800,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",57.0,54.0,,,24.0,24.0,30.0,33.0,10.0,,,90.0,84.0,7.7,7.0,0.0358,0.0557,0.0441289,"{'original': 7.7, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,6.0,9.0,1.0,2.0,,3.0,4.0,,,2.0,,3.0,3.0,,1.0,4.0,,3.0,1.0,1.0,,,,,
Jordan Ayew,jordan-ayew,J. Ayew,F,9,182,14311,M,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",41.0,30.0,1.0,,16.0,21.0,14.0,26.0,7.0,,,90.0,62.0,6.8,21.0,0.0,0.0,0.0102475,"{'original': 6.8, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,6.0,11.0,10.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,4.0,jordanayew9,2.0,2.0,,,,,,,,,
Jeffrey Schlupp,jeffrey-schlupp,J. Schlupp,D,27,178,762,M,148710,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,725068800,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",17.0,12.0,1.0,,8.0,10.0,4.0,7.0,4.0,,,70.0,34.0,6.8,14.0,0.0,0.0,0.00921449,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,6.0,7.0,,2.0,,,1.0,5.0,2.0,1.0,,,3.0,,2.0,3.0,1.0,,,1.0,,,,,
Eberechi Eze,eberechi-eze,E. Eze,F,10,178,55112,M,864921,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899078400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",31.0,26.0,2.0,1.0,12.0,13.0,16.0,24.0,7.0,,,90.0,69.0,6.8,24.0,0.1107,0.0576,0.340838,"{'original': 6.8, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,1.0,15.0,6.0,3.0,12.0,1.0,,1.0,2.0,,5.0,1.0,,,eze,1.0,3.0,,1.0,1.0,3.0,2.0,,,,
Odsonne Édouard,odsonne-edouard,O. Édouard,F,19,187,5777,M,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",16.0,12.0,,,5.0,6.0,7.0,11.0,2.0,,,89.0,25.0,6.6,9.0,0.0,0.0,0.00815402,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,3.0,6.0,5.0,,2.0,,1.0,1.0,2.0,2.0,1.0,,,1.0,,1.0,1.0,,,,,,2.0,,,
Jean-Philippe Mateta,jean-philippe-mateta,J. Mateta,F,14,192,9259,M,848276,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,867456000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",7.0,3.0,,,1.0,2.0,2.0,5.0,2.0,,,20.0,11.0,6.9,5.0,0.0632,0.6343,0.0032372,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,3.0,,,,,,1.0,2.0,,,,1.0,Matetajphilippe,,,,,1.0,,,1.0,,,
Jesurun Rak-Sakyi,jesurun-rak-sakyi,J. Rak-Sakyi,M,19,178,1031,M,1101362,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1033776000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيسورون راك-ساكيي', 'hi': 'जेसुरुन राक-साकी', 'bn': 'জেসুরুন রাক-সাকি'}, 'shortNameTranslation': {'ar': 'ج. راك-ساكيي', 'hi': 'जे. राक-साकी', 'bn': 'জে. রাক-সাকাই'}}",2.0,2.0,,,,,2.0,2.0,,,,1.0,3.0,,1.0,0.0,0.0,0.00189942,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
Remi Matthews,remi-matthews,R. Matthews,G,31,184,187,M,581610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,760838400,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمي ماثيوز', 'hi': 'रेमी मैथ्यूज़', 'bn': 'রেমি ম্যাথিউস'}, 'shortNameTranslation': {'ar': 'ر. ماثيوز', 'hi': 'आर. मैथ्यूज़', 'bn': 'আর. ম্যাথিউস'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Henderson,dean-henderson,D. Henderson,G,1,188,5014,M,788134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858124800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,deanhenderson,,,,,,,,,,,
