name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,dispossessed,totalContest,wonContest,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,accurateCross,onTargetScoringAttempt,interceptionWon,expectedGoals,expectedGoalsOnTarget,keyPass,challengeLost,shotOffTarget,errorLeadToAGoal,bigChanceCreated,blockedScoringAttempt,outfielderBlock,bigChanceMissed,totalOffside,sofascoreId,goals,goalAssist
James Trafford,,,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",33.0,29.0,6.0,2.0,27.0,28.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,90.0,38.0,6.4,4.0,0.00143277,"{'original': 6.4, 'alternative': 6.3}",0,-0.1877,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitinho,,,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",47.0,37.0,3.0,,20.0,25.0,17.0,26.0,6.0,1.0,1.0,,,90.0,82.0,6.3,24.0,0.0202873,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",99.0,77.0,10.0,2.0,52.0,57.0,26.0,43.0,6.0,7.0,,,,90.0,110.0,6.9,22.0,0.0621305,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,2.0,,,,2.0,2.0,,,1.0,1.0,1.0,2.0,0.0767,0.2883,1.0,,,,,,,,,,,
Jordan Beyer,,,jordan-beyer,J. Beyer,D,5,187,316,M,927175,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,958694400,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان باير', 'hi': 'जॉर्डन बेयर', 'bn': 'জর্ডান বেয়ার'}, 'shortNameTranslation': {'ar': 'ج. باير', 'hi': 'जे. बेयर', 'bn': 'জে. বেয়ার'}}",88.0,80.0,6.0,4.0,68.0,72.0,12.0,16.0,3.0,2.0,,,,86.0,97.0,6.2,9.0,0.00570184,"{'original': 6.2, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,2.0,,,,3.0,2.0,,1.0,,,,1.0,0.0648,,,1.0,1.0,1.0,,,,,,,,
Charlie Taylor,,,charlie-taylor,C. Taylor,D,29,183,281,M,166381,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748224000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي تايلور', 'hi': 'चार्ली टेलर', 'bn': 'চার্লি টেলর'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'hi': 'सी. टेलर', 'bn': 'সি. টেলর'}}",67.0,58.0,12.0,5.0,33.0,36.0,26.0,36.0,3.0,2.0,,,,90.0,93.0,6.8,17.0,0.0543337,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,2.0,1.0,5.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,0.0058,,2.0,,1.0,,1.0,,,,,,,
Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",38.0,36.0,5.0,4.0,9.0,9.0,32.0,39.0,3.0,5.0,1.0,,,89.0,55.0,8.3,8.0,0.448974,"{'original': 8.3, 'alternative': 8.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,5.0,,1.0,0.2222,,5.0,1.0,2.0,,1.0,1.0,,,,,,
Sander Berge,,,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",70.0,65.0,3.0,3.0,38.0,38.0,27.0,32.0,6.0,2.0,3.0,,,90.0,78.0,7.1,5.0,0.0164558,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,3.0,4.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,
Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",60.0,53.0,5.0,3.0,22.0,25.0,31.0,40.0,6.0,6.0,2.0,,,90.0,73.0,7.3,12.0,0.0653382,"{'original': 7.3, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,5.0,5.0,2.0,7.0,,1.0,1.0,,1.0,1.0,,2.0,,1.0,2.0,0.029,0.1358,2.0,,,,,,,,,,,
Luca Koleosho,Luca Koleosho,,luca-koleosho,L. Koleosho,M,16,175,1493,M,1216282,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1095206400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكا كوليوشو', 'hi': 'लुका कोलेओशो', 'bn': 'লুকা কোলিওশো'}, 'shortNameTranslation': {'ar': 'ل. كوليوشو', 'hi': 'एल. कोलेओशो', 'bn': 'এল. কোলিওশো'}}",26.0,20.0,1.0,1.0,8.0,9.0,12.0,19.0,5.0,7.0,1.0,,,78.0,49.0,6.8,15.0,0.144864,"{'original': 6.8, 'alternative': 6.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,,7.0,1.0,6.0,2.0,,2.0,1.0,2.0,1.0,,1.0,,0.1798,0.0313,1.0,,2.0,,,1.0,,1.0,1.0,,,
Jay Rodriguez,,,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",21.0,11.0,3.0,1.0,3.0,4.0,8.0,17.0,4.0,2.0,,,,90.0,33.0,6.8,12.0,0.0251626,"{'original': 6.8, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,4.0,,1.0,1.0,,2.0,1.0,2.0,1.0,,1.0,1.0,0.3875,0.045,1.0,,2.0,,,,,1.0,1.0,,,
