minute,value
1.0,3
2.0,4
3.0,5
4.0,6
5.0,6
6.0,1
7.0,3
8.0,-10
9.0,-5
10.0,7
11.0,3
12.0,-3
13.0,-10
14.0,23
15.0,7
16.0,6
17.0,8
18.0,6
19.0,14
20.0,9
21.0,-17
22.0,-8
23.0,-67
24.0,-41
25.0,-2
26.0,-1
27.0,2
28.0,-23
29.0,-11
30.0,36
31.0,7
32.0,4
33.0,39
34.0,30
35.0,26
36.0,69
37.0,34
38.0,11
39.0,-14
40.0,-10
41.0,-16
42.0,-15
43.0,-14
44.0,-16
45.0,-15
45.5,1
46.0,-9
47.0,-11
48.0,-8
49.0,-6
50.0,-22
51.0,-14
52.0,-13
53.0,-9
54.0,-10
55.0,-4
56.0,-1
57.0,56
58.0,79
59.0,53
60.0,33
61.0,25
62.0,24
63.0,14
64.0,-17
65.0,-2
66.0,4
67.0,24
68.0,-52
69.0,-20
70.0,-73
71.0,-42
72.0,-20
73.0,-59
74.0,-37
75.0,-5
76.0,8
77.0,7
78.0,17
79.0,49
80.0,91
81.0,47
82.0,44
83.0,23
84.0,8
85.0,-23
86.0,-16
87.0,-49
88.0,-39
89.0,-35
90.0,-22
90.5,17
